evaluations raw_y
1 -298.0000000000
3 -297.0000000000
5 -296.0000000000
15 -295.0000000000
22 -294.0000000000
55 -293.0000000000
73 -292.0000000000
75 -291.0000000000
121 -290.0000000000
489 -289.0000000000
2137 -287.0000000000
3837 -285.0000000000
6418 -283.0000000000
10000 -297.0000000000
evaluations raw_y
1 -278.0000000000
57 -277.0000000000
186 -276.0000000000
619 -275.0000000000
747 -274.0000000000
2111 -273.0000000000
2367 -272.0000000000
7520 -271.0000000000
9757 -267.0000000000
10000 -277.0000000000
evaluations raw_y
1 -290.0000000000
2 -289.0000000000
7 -288.0000000000
8 -286.0000000000
98 -284.0000000000
121 -283.0000000000
513 -282.0000000000
1187 -281.0000000000
2168 -278.0000000000
10000 -290.0000000000
evaluations raw_y
1 -271.0000000000
5 -270.0000000000
10 -269.0000000000
37 -268.0000000000
56 -267.0000000000
71 -266.0000000000
689 -265.0000000000
1074 -264.0000000000
1247 -263.0000000000
1367 -262.0000000000
6902 -261.0000000000
10000 -265.0000000000
evaluations raw_y
1 -297.0000000000
3 -296.0000000000
7 -295.0000000000
12 -294.0000000000
43 -292.0000000000
55 -291.0000000000
83 -290.0000000000
263 -288.0000000000
482 -287.0000000000
615 -285.0000000000
626 -283.0000000000
1787 -282.0000000000
10000 -298.0000000000
evaluations raw_y
1 -297.0000000000
2 -296.0000000000
3 -295.0000000000
14 -294.0000000000
16 -293.0000000000
74 -292.0000000000
186 -291.0000000000
307 -290.0000000000
463 -289.0000000000
1134 -288.0000000000
1314 -287.0000000000
2423 -286.0000000000
2867 -285.0000000000
10000 -289.0000000000
evaluations raw_y
1 -283.0000000000
2 -282.0000000000
4 -281.0000000000
17 -279.0000000000
150 -278.0000000000
393 -277.0000000000
763 -276.0000000000
1168 -274.0000000000
7630 -273.0000000000
10000 -282.0000000000
evaluations raw_y
1 -288.0000000000
8 -287.0000000000
33 -286.0000000000
99 -285.0000000000
114 -284.0000000000
187 -283.0000000000
228 -282.0000000000
412 -281.0000000000
2303 -279.0000000000
6222 -275.0000000000
10000 -288.0000000000
evaluations raw_y
1 -290.0000000000
11 -289.0000000000
15 -288.0000000000
18 -287.0000000000
24 -286.0000000000
32 -285.0000000000
40 -284.0000000000
142 -283.0000000000
161 -282.0000000000
332 -280.0000000000
4297 -279.0000000000
10000 -290.0000000000
evaluations raw_y
1 -279.0000000000
2 -278.0000000000
15 -277.0000000000
55 -276.0000000000
97 -275.0000000000
137 -274.0000000000
275 -273.0000000000
414 -272.0000000000
1564 -271.0000000000
4388 -270.0000000000
6463 -269.0000000000
10000 -276.0000000000
evaluations raw_y
1 -278.0000000000
14 -277.0000000000
41 -276.0000000000
115 -275.0000000000
154 -274.0000000000
388 -273.0000000000
2271 -272.0000000000
3181 -271.0000000000
10000 -282.0000000000
evaluations raw_y
1 -295.0000000000
9 -294.0000000000
41 -293.0000000000
118 -292.0000000000
456 -290.0000000000
982 -289.0000000000
1684 -288.0000000000
4796 -286.0000000000
6627 -285.0000000000
10000 -296.0000000000
evaluations raw_y
1 -280.0000000000
9 -279.0000000000
27 -278.0000000000
117 -277.0000000000
