evaluations raw_y
1 -2047.0000000000
6 -2046.0000000000
43 -2045.0000000000
113 -2044.0000000000
128 -2043.0000000000
409 -2042.0000000000
436 -2041.0000000000
644 -2040.0000000000
812 -2039.0000000000
3235 -2036.0000000000
10000 -2045.0000000000
evaluations raw_y
1 -1985.0000000000
3 -1984.0000000000
4 -1983.0000000000
13 -1982.0000000000
15 -1980.0000000000
63 -1979.0000000000
106 -1978.0000000000
210 -1977.0000000000
311 -1976.0000000000
1788 -1973.0000000000
2672 -1972.0000000000
10000 -1974.0000000000
evaluations raw_y
1 -2036.0000000000
2 -2034.0000000000
3 -2032.0000000000
19 -2031.0000000000
32 -2030.0000000000
143 -2029.0000000000
187 -2028.0000000000
412 -2027.0000000000
525 -2026.0000000000
1792 -2025.0000000000
2600 -2023.0000000000
5717 -2022.0000000000
10000 -2037.0000000000
evaluations raw_y
1 -1981.0000000000
6 -1980.0000000000
9 -1978.0000000000
37 -1976.0000000000
43 -1975.0000000000
65 -1974.0000000000
270 -1973.0000000000
1308 -1972.0000000000
1592 -1971.0000000000
3258 -1970.0000000000
8296 -1969.0000000000
10000 -1979.0000000000
evaluations raw_y
1 -1988.0000000000
5 -1986.0000000000
87 -1985.0000000000
194 -1984.0000000000
263 -1983.0000000000
728 -1982.0000000000
878 -1981.0000000000
1038 -1980.0000000000
3249 -1979.0000000000
10000 -1991.0000000000
evaluations raw_y
1 -2012.0000000000
9 -2011.0000000000
11 -2010.0000000000
14 -2008.0000000000
32 -2007.0000000000
196 -2006.0000000000
726 -2005.0000000000
2510 -2004.0000000000
5459 -2003.0000000000
7049 -2001.0000000000
10000 -2007.0000000000
evaluations raw_y
1 -1978.0000000000
41 -1976.0000000000
121 -1975.0000000000
167 -1974.0000000000
437 -1973.0000000000
1111 -1972.0000000000
1848 -1970.0000000000
10000 -1982.0000000000
evaluations raw_y
1 -2015.0000000000
25 -2014.0000000000
73 -2013.0000000000
78 -2012.0000000000
159 -2010.0000000000
1857 -2009.0000000000
2889 -2008.0000000000
3270 -2007.0000000000
6062 -2005.0000000000
6171 -2004.0000000000
7480 -2003.0000000000
10000 -2019.0000000000
evaluations raw_y
1 -2024.0000000000
23 -2023.0000000000
74 -2022.0000000000
550 -2021.0000000000
1041 -2020.0000000000
2430 -2019.0000000000
3122 -2018.0000000000
8730 -2017.0000000000
10000 -2027.0000000000
evaluations raw_y
1 -2038.0000000000
3 -2036.0000000000
15 -2035.0000000000
47 -2033.0000000000
383 -2032.0000000000
1090 -2031.0000000000
1675 -2030.0000000000
4838 -2029.0000000000
9705 -2028.0000000000
10000 -2038.0000000000
evaluations raw_y
1 -2025.0000000000
18 -2024.0000000000
59 -2023.0000000000
72 -2022.0000000000
149 -2020.0000000000
663 -2019.0000000000
1502 -2018.0000000000
3551 -2017.0000000000
10000 -2020.0000000000
evaluations raw_y
1 -2025.0000000000
4 -2023.0000000000
5 -2021.0000000000
122 -2020.0000000000
657 -2019.0000000000
728 -2018.0000000000
2079 -2016.0000000000
3421 -2015.0000000000
