evaluations raw_y
1 13.7200000000
2 29.1100000000
3 32.7900000000
4 39.3500000000
5 41.7700000000
6 54.2200000000
7 66.3900000000
9 72.9700000000
10 94.4600000000
11 97.3700000000
12 100.9300000000
13 121.0600000000
14 132.3900000000
15 137.5900000000
16 138.4900000000
17 147.4400000000
19 151.9800000000
20 159.7300000000
21 175.9900000000
22 178.8500000000
422 179.8400000000
423 182.6300000000
905 185.5100000000
907 190.4400000000
1363 198.2800000000
1369 224.1500000000
100000 -1.0000000000
evaluations raw_y
1 2.5600000000
2 10.0200000000
5 20.3300000000
6 33.1100000000
7 41.6500000000
9 55.4700000000
10 65.2300000000
13 73.0200000000
14 75.2100000000
15 81.0900000000
16 86.7600000000
17 98.5600000000
19 105.3400000000
20 124.5500000000
22 138.4000000000
23 146.2600000000
26 166.4400000000
28 166.9400000000
32 168.5500000000
33 172.9100000000
917 174.7600000000
920 191.7200000000
4107 207.2700000000
4141 213.9500000000
6010 214.1200000000
6038 215.4600000000
100000 -1.0000000000
evaluations raw_y
1 10.1500000000
2 15.9900000000
3 36.5300000000
4 46.0700000000
7 52.2600000000
8 60.4900000000
9 80.3200000000
10 84.9400000000
11 86.4300000000
12 101.3600000000
13 109.6300000000
14 111.6300000000
16 115.9400000000
17 126.0500000000
19 130.3300000000
20 143.2400000000
21 150.2200000000
24 154.6700000000
25 174.7900000000
26 175.0400000000
897 177.8800000000
911 179.2800000000
3979 179.8100000000
3983 196.6900000000
7391 206.6300000000
7430 243.5800000000
26391 243.6500000000
26393 246.1700000000
99532 252.4700000000
99569 272.4900000000
100000 -1.0000000000
evaluations raw_y
1 4.7300000000
2 10.9000000000
3 21.6000000000
4 25.9600000000
6 42.2900000000
8 45.3800000000
9 70.4800000000
10 80.0000000000
11 83.3400000000
12 103.5100000000
13 111.0900000000
17 113.6100000000
18 134.0900000000
19 141.5700000000
21 148.3500000000
22 155.5500000000
23 166.2300000000
24 176.6900000000
25 177.8600000000
26 189.7000000000
156 195.7700000000
160 199.0600000000
3628 203.6900000000
3648 209.3400000000
5443 213.9500000000
5486 216.2800000000
86228 219.5300000000
86241 223.5500000000
100000 -1.0000000000
evaluations raw_y
1 9.4700000000
2 23.7400000000
6 42.6500000000
7 51.7100000000
9 54.8800000000
12 67.0700000000
13 79.4300000000
14 81.6700000000
15 94.7800000000
16 112.6500000000
17 115.0200000000
20 127.8200000000
25 135.2700000000
28 148.7800000000
29 155.1300000000
34 184.0900000000
45 189.6800000000
55 195.2000000000
58 204.4400000000
60 207.1500000000
2623 219.5300000000
2629 220.7400000000
9492 222.9200000000
9497 232.4200000000
38852 233.4700000000
38868 236.0200000000
80781 236.6900000000
80796 243.6400000000
100000 -1.0000000000
evaluations raw_y
1 13.2200000000
2 25.9900000000
3 33.2000000000
4 51.5800000000
7 66.2700000000
10 77.7200000000
11 97.2800000000
16 100.5200000000
18 110.6700000000
19 114.0400000000
20 130.7700000000
26 134.4500000000
27 135.2800000000
28 145.2600000000
30 152.6900000000
32 154.0600000000
34 167.4900000000
35 171.0900000000
36 183.5700000000
39 191.5400000000
9296 204.1300000000
9299 221.1700000000
100000 -1.0000000000
evaluations raw_y
1 3.6000000000
2 11.3100000000
3 20.2200000000
4 30.1300000000
6 40.2000000000
7 40.8100000000
8 49.7400000000
9 72.7300000000
11 94.0200000000
12 96.6100000000
13 100.5400000000
14 129.2900000000
19 139.0000000000
23 146.2600000000
24 155.7300000000
25 164.2800000000
26 169.5000000000
27 179.2400000000
29 194.6900000000
36 210.9000000000
35257 213.5700000000
35278 215.7100000000
59633 222.5200000000
59771 224.3200000000
65752 225.7100000000
65753 227.9600000000
67605 229.0300000000
67610 233.4200000000
100000 -1.0000000000
evaluations raw_y
1 5.4500000000
4 8.3800000000
5 8.4800000000
6 13.1500000000
7 25.9200000000
8 37.8300000000
9 38.6500000000
10 49.2300000000
11 52.8800000000
12 70.3000000000
13 83.3700000000
14 102.0700000000
19 105.4500000000
20 112.1500000000
22 139.3700000000
27 143.9700000000
34 150.8400000000
35 155.7500000000
37 164.0100000000
47 171.2300000000
689 176.3900000000
692 182.5800000000
7247 184.1100000000
7276 236.1300000000
7397 252.8500000000
7401 256.3000000000
7509 258.2900000000
7510 263.1500000000
12077 263.7300000000
12087 266.3500000000
13489 269.6000000000
13503 271.5300000000
16689 275.9800000000
16699 279.0200000000
70690 283.9100000000
70733 285.2700000000
72027 293.3500000000
72033 295.2000000000
72954 295.7600000000
72958 309.7900000000
73657 312.9000000000
73664 320.9200000000
90238 340.4200000000
91249 341.1600000000
100000 -1.0000000000
evaluations raw_y
1 6.2400000000
2 8.2600000000
3 9.9700000000
4 18.4800000000
5 34.3700000000
8 41.5400000000
10 60.1800000000
11 68.5500000000
12 72.5500000000
14 80.3000000000
15 94.2300000000
16 113.8000000000
21 134.1800000000
22 144.5700000000
24 146.7800000000
