evaluations raw_y
1 -2007.0000000000
2 -1989.0000000000
3 -1959.0000000000
5 -1954.0000000000
22 -1947.0000000000
26 -1935.0000000000
43 -1899.0000000000
67 -1891.0000000000
98 -1889.0000000000
102 -1884.0000000000
108 -1881.0000000000
113 -1871.0000000000
118 -1868.0000000000
131 -1864.0000000000
136 -1852.0000000000
145 -1844.0000000000
165 -1824.0000000000
176 -1821.0000000000
179 -1819.0000000000
195 -1812.0000000000
203 -1806.0000000000
242 -1795.0000000000
256 -1785.0000000000
263 -1780.0000000000
264 -1776.0000000000
289 -1775.0000000000
302 -1765.0000000000
318 -1753.0000000000
324 -1749.0000000000
360 -1747.0000000000
366 -1746.0000000000
375 -1743.0000000000
383 -1734.0000000000
411 -1732.0000000000
426 -1730.0000000000
455 -1729.0000000000
463 -1728.0000000000
492 -1727.0000000000
501 -1726.0000000000
521 -1724.0000000000
538 -1723.0000000000
540 -1722.0000000000
558 -1721.0000000000
574 -1719.0000000000
577 -1718.0000000000
583 -1715.0000000000
605 -1714.0000000000
618 -1713.0000000000
629 -1712.0000000000
635 -1711.0000000000
652 -1709.0000000000
664 -1707.0000000000
701 -1703.0000000000
743 -1702.0000000000
770 -1700.0000000000
780 -1699.0000000000
786 -1695.0000000000
809 -1694.0000000000
836 -1689.0000000000
867 -1688.0000000000
887 -1686.0000000000
937 -1685.0000000000
943 -1683.0000000000
969 -1682.0000000000
983 -1680.0000000000
992 -1679.0000000000
1006 -1678.0000000000
1023 -1677.0000000000
1028 -1674.0000000000
1047 -1670.0000000000
1080 -1669.0000000000
1083 -1667.0000000000
1115 -1666.0000000000
1140 -1665.0000000000
1152 -1664.0000000000
1162 -1662.0000000000
1201 -1661.0000000000
1210 -1660.0000000000
1222 -1658.0000000000
1238 -1656.0000000000
1246 -1655.0000000000
1276 -1653.0000000000
1292 -1652.0000000000
1307 -1651.0000000000
1332 -1648.0000000000
1351 -1645.0000000000
1374 -1644.0000000000
1383 -1642.0000000000
1402 -1641.0000000000
1405 -1639.0000000000
1435 -1636.0000000000
1466 -1633.0000000000
1483 -1630.0000000000
1505 -1629.0000000000
1515 -1628.0000000000
1516 -1627.0000000000
1538 -1624.0000000000
1563 -1623.0000000000
1594 -1622.0000000000
1610 -1618.0000000000
1644 -1617.0000000000
1658 -1616.0000000000
1672 -1615.0000000000
1686 -1614.0000000000
1730 -1613.0000000000
1733 -1612.0000000000
1737 -1611.0000000000
1744 -1609.0000000000
1763 -1608.0000000000
1785 -1607.0000000000
1817 -1605.0000000000
1829 -1603.0000000000
1851 -1602.0000000000
1880 -1601.0000000000
1886 -1600.0000000000
1903 -1598.0000000000
1920 -1597.0000000000
1951 -1596.0000000000
1969 -1595.0000000000
1971 -1594.0000000000
1990 -1592.0000000000
2006 -1589.0000000000
2021 -1588.0000000000
2055 -1587.0000000000
2074 -1585.0000000000
2081 -1583.0000000000
2102 -1582.0000000000
2108 -1581.0000000000
2141 -1580.0000000000
2163 -1578.0000000000
2176 -1577.0000000000
2195 -1576.0000000000
2206 -1574.0000000000
2224 -1573.0000000000
2235 -1571.0000000000
2261 -1570.0000000000
2289 -1569.0000000000
2298 -1568.0000000000
2304 -1567.0000000000
2319 -1565.0000000000
2328 -1564.0000000000
2344 -1563.0000000000
2347 -1562.0000000000
2362 -1561.0000000000
2370 -1560.0000000000
2392 -1557.0000000000
2415 -1556.0000000000
2445 -1555.0000000000
2454 -1554.0000000000
2462 -1552.0000000000
2486 -1549.0000000000
2522 -1546.0000000000
2547 -1545.0000000000
2551 -1543.0000000000
2583 -1541.0000000000
2606 -1540.0000000000
2620 -1538.0000000000
2629 -1535.0000000000
2635 -1534.0000000000
2660 -1533.0000000000
2672 -1532.0000000000
2684 -1531.0000000000
2701 -1529.0000000000
2731 -1528.0000000000
2745 -1526.0000000000
2767 -1525.0000000000
2781 -1523.0000000000
2787 -1522.0000000000
2813 -1520.0000000000
2838 -1519.0000000000
2843 -1518.0000000000
2862 -1514.0000000000
2881 -1511.0000000000
2918 -1510.0000000000
2921 -1508.0000000000
2962 -1506.0000000000
2968 -1505.0000000000
2989 -1504.0000000000
2991 -1503.0000000000
2998 -1502.0000000000
3003 -1501.0000000000
3019 -1500.0000000000
3023 -1498.0000000000
3045 -1497.0000000000
3061 -1495.0000000000
3102 -1493.0000000000
3105 -1492.0000000000
3126 -1488.0000000000
3141 -1487.0000000000
3181 -1484.0000000000
3221 -1483.0000000000
3230 -1480.0000000000
3250 -1479.0000000000
3281 -1475.0000000000
3293 -1474.0000000000
3323 -1473.0000000000
3333 -1472.0000000000
3343 -1469.0000000000
3363 -1466.0000000000
3385 -1462.0000000000
3409 -1461.0000000000
3442 -1460.0000000000
3466 -1459.0000000000
3482 -1458.0000000000
3485 -1457.0000000000
3524 -1455.0000000000
3527 -1453.0000000000
3558 -1451.0000000000
3574 -1450.0000000000
3604 -1449.0000000000
3605 -1448.0000000000
3623 -1445.0000000000
3643 -1444.0000000000
3661 -1443.0000000000
3671 -1442.0000000000
3684 -1441.0000000000
3696 -1438.0000000000
3714 -1437.0000000000
3725 -1435.0000000000
3747 -1432.0000000000
3751 -1429.0000000000
3793 -1428.0000000000
3804 -1427.0000000000
3830 -1425.0000000000
3861 -1423.0000000000
3865 -1422.0000000000
3879 -1421.0000000000
3911 -1420.0000000000
3931 -1418.0000000000
3968 -1416.0000000000
4010 -1415.0000000000
4014 -1414.0000000000
4015 -1411.0000000000
4021 -1409.0000000000
4067 -1405.0000000000
4101 -1404.0000000000
4103 -1403.0000000000
4118 -1402.0000000000
4123 -1400.0000000000
4145 -1399.0000000000
4165 -1398.0000000000
4182 -1397.0000000000
4206 -1395.0000000000
4209 -1394.0000000000
4228 -1393.0000000000
4240 -1392.0000000000
4246 -1391.0000000000
4262 -1387.0000000000
4297 -1386.0000000000
4304 -1384.0000000000
4323 -1382.0000000000
4370 -1381.0000000000
4379 -1379.0000000000
4388 -1377.0000000000
4401 -1375.0000000000
4425 -1373.0000000000
4441 -1372.0000000000
4462 -1371.0000000000
4465 -1370.0000000000
4481 -1369.0000000000
4504 -1368.0000000000
4507 -1367.0000000000
4526 -1363.0000000000
4564 -1362.0000000000
4591 -1361.0000000000
4608 -1359.0000000000
4623 -1358.0000000000
4659 -1354.0000000000
4694 -1352.0000000000
4704 -1349.0000000000
4738 -1348.0000000000
4742 -1346.0000000000
4781 -1344.0000000000
4804 -1343.0000000000
4808 -1342.0000000000
4825 -1341.0000000000
4828 -1340.0000000000
4837 -1339.0000000000
4855 -1336.0000000000
4899 -1335.0000000000
4904 -1334.0000000000
4946 -1333.0000000000
4965 -1332.0000000000
4981 -1330.0000000000
5009 -1328.0000000000
5010 -1325.0000000000
5022 -1324.0000000000
5054 -1320.0000000000
5085 -1319.0000000000
5107 -1317.0000000000
5142 -1315.0000000000
5171 -1314.0000000000
5184 -1313.0000000000
5194 -1312.0000000000
5203 -1309.0000000000
5247 -1306.0000000000
5269 -1304.0000000000
5302 -1303.0000000000
5315 -1302.0000000000
5321 -1301.0000000000
5326 -1300.0000000000
5333 -1299.0000000000
5341 -1298.0000000000
5367 -1297.0000000000
5382 -1295.0000000000
5404 -1293.0000000000
5423 -1292.0000000000
5458 -1291.0000000000
5475 -1287.0000000000
5524 -1286.0000000000
5531 -1284.0000000000
5567 -1283.0000000000
5609 -1282.0000000000
5611 -1281.0000000000
5630 -1280.0000000000
5664 -1279.0000000000
5675 -1278.0000000000
5707 -1276.0000000000
5722 -1275.0000000000
5747 -1274.0000000000
5758 -1273.0000000000
5762 -1272.0000000000
5765 -1271.0000000000
5794 -1270.0000000000
5808 -1268.0000000000
5835 -1267.0000000000
5870 -1266.0000000000
5888 -1265.0000000000
5895 -1264.0000000000
5904 -1263.0000000000
5950 -1262.0000000000
5951 -1261.0000000000
5976 -1259.0000000000
5984 -1258.0000000000
5992 -1257.0000000000
6001 -1256.0000000000
6027 -1254.0000000000
6035 -1253.0000000000
6046 -1252.0000000000
6047 -1250.0000000000
6062 -1247.0000000000
6086 -1246.0000000000
6112 -1243.0000000000
6134 -1242.0000000000
6152 -1241.0000000000
6177 -1240.0000000000
6189 -1237.0000000000
6228 -1236.0000000000
6242 -1234.0000000000
6261 -1233.0000000000
6286 -1232.0000000000
6319 -1231.0000000000
6342 -1230.0000000000
6401 -1229.0000000000
6404 -1228.0000000000
6413 -1227.0000000000
6421 -1225.0000000000
6446 -1224.0000000000
6494 -1223.0000000000
6495 -1222.0000000000
6508 -1220.0000000000
6534 -1219.0000000000
6547 -1216.0000000000
6565 -1215.0000000000
6568 -1214.0000000000
6592 -1213.0000000000
6598 -1208.0000000000
6651 -1205.0000000000
6674 -1204.0000000000
6695 -1203.0000000000
6703 -1202.0000000000
6721 -1201.0000000000
6727 -1200.0000000000
6740 -1199.0000000000
6754 -1198.0000000000
6768 -1197.0000000000
6803 -1195.0000000000
6827 -1192.0000000000
6842 -1191.0000000000
6890 -1190.0000000000
6902 -1189.0000000000
6943 -1187.0000000000
6948 -1185.0000000000
6983 -1184.0000000000
7001 -1183.0000000000
7023 -1182.0000000000
7032 -1181.0000000000
7042 -1180.0000000000
7043 -1179.0000000000
7065 -1178.0000000000
7086 -1177.0000000000
7103 -1175.0000000000
7158 -1174.0000000000
7165 -1173.0000000000
7183 -1172.0000000000
7188 -1170.0000000000
7203 -1168.0000000000
7242 -1167.0000000000
7255 -1166.0000000000
7273 -1165.0000000000
7281 -1164.0000000000
7316 -1162.0000000000
7327 -1161.0000000000
7360 -1160.0000000000
7364 -1159.0000000000
7373 -1157.0000000000
7405 -1156.0000000000
7424 -1154.0000000000
7441 -1153.0000000000
7474 -1151.0000000000
7489 -1150.0000000000
7491 -1149.0000000000
7515 -1147.0000000000
7541 -1146.0000000000
7563 -1145.0000000000
7591 -1143.0000000000
7603 -1142.0000000000
7642 -1141.0000000000
7645 -1140.0000000000
7651 -1139.0000000000
7689 -1138.0000000000
7710 -1135.0000000000
7725 -1134.0000000000
7733 -1133.0000000000
7749 -1132.0000000000
7764 -1130.0000000000
7782 -1129.0000000000
7807 -1128.0000000000
7829 -1126.0000000000
7854 -1125.0000000000
7876 -1124.0000000000
7888 -1123.0000000000
7911 -1122.0000000000
7912 -1121.0000000000
7926 -1120.0000000000
7953 -1119.0000000000
7963 -1117.0000000000
8004 -1116.0000000000
8029 -1114.0000000000
8033 -1113.0000000000
8044 -1112.0000000000
8064 -1107.0000000000
8100 -1106.0000000000
8128 -1103.0000000000
8162 -1102.0000000000
8172 -1101.0000000000
8182 -1100.0000000000
8208 -1098.0000000000
8210 -1097.0000000000
8242 -1094.0000000000
8272 -1092.0000000000
8301 -1091.0000000000
8322 -1090.0000000000
8381 -1088.0000000000
8384 -1087.0000000000
8409 -1085.0000000000
8424 -1084.0000000000
8487 -1082.0000000000
8498 -1081.0000000000
8506 -1080.0000000000
8539 -1079.0000000000
8569 -1077.0000000000
8582 -1076.0000000000
8615 -1075.0000000000
8621 -1074.0000000000
8641 -1073.0000000000
8646 -1072.0000000000
8663 -1070.0000000000
8683 -1069.0000000000
8690 -1068.0000000000
8694 -1067.0000000000
8705 -1065.0000000000
8741 -1064.0000000000
8772 -1062.0000000000
8796 -1061.0000000000
8831 -1060.0000000000
8844 -1059.0000000000
8882 -1056.0000000000
8941 -1055.0000000000
8948 -1054.0000000000
8969 -1053.0000000000
8973 -1052.0000000000
8983 -1051.0000000000
8999 -1049.0000000000
9023 -1048.0000000000
9029 -1047.0000000000
9032 -1046.0000000000
9050 -1043.0000000000
9082 -1042.0000000000
9086 -1040.0000000000
