evaluations raw_y
1 0.0000000000
2 69.0000000000
3 286.0000000000
6 326.0000000000
7 388.0000000000
895 397.0000000000
1466 403.0000000000
1558 405.0000000000
2114 406.0000000000
2786 410.0000000000
3634 413.0000000000
4076 415.0000000000
7156 416.0000000000
7926 419.0000000000
8353 423.0000000000
8528 425.0000000000
10000 -1.0000000000
evaluations raw_y
1 79.0000000000
3 223.0000000000
4 244.0000000000
5 319.0000000000
7 346.0000000000
9 376.0000000000
218 382.0000000000
445 393.0000000000
1184 398.0000000000
1556 402.0000000000
1725 405.0000000000
1836 410.0000000000
3086 414.0000000000
5985 418.0000000000
7107 419.0000000000
10000 -2.0000000000
evaluations raw_y
1 0.0000000000
3 130.0000000000
7 184.0000000000
13 258.0000000000
14 350.0000000000
16 370.0000000000
17 379.0000000000
215 380.0000000000
227 394.0000000000
307 401.0000000000
990 405.0000000000
1088 410.0000000000
1765 415.0000000000
2179 419.0000000000
7040 425.0000000000
10000 -4.0000000000
evaluations raw_y
1 162.0000000000
3 221.0000000000
5 272.0000000000
7 302.0000000000
8 340.0000000000
9 407.0000000000
405 409.0000000000
1103 414.0000000000
3462 417.0000000000
4121 422.0000000000
4826 426.0000000000
10000 -1.0000000000
evaluations raw_y
1 90.0000000000
4 291.0000000000
6 327.0000000000
7 395.0000000000
9 398.0000000000
466 400.0000000000
553 401.0000000000
1178 404.0000000000
1454 407.0000000000
3086 415.0000000000
3412 418.0000000000
6081 419.0000000000
6168 420.0000000000
10000 -1.0000000000
evaluations raw_y
1 61.0000000000
2 204.0000000000
3 253.0000000000
4 285.0000000000
5 311.0000000000
6 347.0000000000
7 367.0000000000
12 388.0000000000
16 393.0000000000
440 396.0000000000
1308 404.0000000000
1490 410.0000000000
1632 414.0000000000
3632 415.0000000000
6595 417.0000000000
7625 419.0000000000
10000 419.0000000000
evaluations raw_y
1 97.0000000000
2 166.0000000000
3 275.0000000000
4 304.0000000000
5 318.0000000000
6 383.0000000000
7 404.0000000000
368 408.0000000000
1503 416.0000000000
1947 420.0000000000
2448 424.0000000000
7269 426.0000000000
8721 427.0000000000
9248 429.0000000000
10000 -1.0000000000
evaluations raw_y
