evaluations raw_y
1 0.0000000000
2 39.3700000000
4 41.4100000000
5 42.8600000000
8 69.7600000000
9 75.3600000000
10 95.5400000000
13 101.5600000000
46 105.6400000000
156 110.0600000000
797 110.9700000000
1001 113.4300000000
3627 115.2200000000
7338 118.4300000000
10000 97.0900000000
evaluations raw_y
1 0.0000000000
4 10.3100000000
5 11.8500000000
8 25.1600000000
10 46.1700000000
11 51.1000000000
12 67.0400000000
13 73.0700000000
16 83.0500000000
24 84.7900000000
39 86.8200000000
118 88.1700000000
156 93.5500000000
227 95.5400000000
565 96.0200000000
1314 96.1100000000
1565 96.1800000000
1846 98.1600000000
2036 100.8300000000
7400 101.2400000000
10000 -1.0000000000
evaluations raw_y
1 0.0000000000
3 13.6900000000
4 29.6200000000
5 45.9400000000
6 66.9100000000
7 88.3100000000
20 93.7900000000
503 95.2000000000
1140 96.3500000000
2623 97.1100000000
3303 104.0900000000
5538 105.9000000000
10000 73.1000000000
evaluations raw_y
1 0.0000000000
8 4.5700000000
10 5.5000000000
11 22.8200000000
12 31.3700000000
15 41.8300000000
16 42.4500000000
17 50.1700000000
19 51.6800000000
20 52.4700000000
21 65.7800000000
22 88.0900000000
36 89.4700000000
96 89.5600000000
172 90.7700000000
195 91.4700000000
196 96.6400000000
1776 97.5900000000
2539 103.9000000000
7770 105.9000000000
10000 -2.0000000000
evaluations raw_y
1 11.9800000000
5 13.3800000000
6 17.2700000000
7 24.0500000000
8 63.4700000000
9 93.4300000000
10 101.9900000000
12 102.8300000000
153 107.6200000000
275 108.3400000000
484 108.4100000000
696 109.3700000000
1543 112.1700000000
1871 112.2500000000
6506 114.0000000000
10000 -2.0000000000
evaluations raw_y
1 11.7200000000
2 12.2500000000
4 28.0100000000
5 47.7600000000
6 51.7000000000
7 56.0000000000
8 56.8600000000
9 57.2100000000
10 72.6800000000
18 73.2000000000
21 76.8700000000
58 81.7200000000
177 82.7800000000
280 83.4700000000
389 87.4400000000
1086 101.1500000000
10000 72.0300000000
evaluations raw_y
1 11.3400000000
2 36.8500000000
3 50.0400000000
4 68.0800000000
6 78.7200000000
7 82.8000000000
8 95.6600000000
15 103.2200000000
24 105.0400000000
51 105.2500000000
247 119.0400000000
10000 -2.0000000000
evaluations raw_y
1 0.0000000000
2 13.3900000000
4 17.7500000000
7 51.0700000000
8 68.7200000000
9 77.5200000000
14 83.1900000000
21 83.9400000000
28 89.3200000000
86 90.4900000000
177 97.5000000000
627 98.7600000000
1798 99.3000000000
2776 101.0100000000
7667 101.0300000000
10000 75.2700000000
evaluations raw_y
1 16.5000000000
2 41.9000000000
4 45.2000000000
5 47.2100000000
6 71.7500000000
7 80.8600000000
8 88.7700000000
17 97.2600000000
19 103.2500000000
29 106.3400000000
73 109.3600000000
139 115.9300000000
527 116.2600000000
1725 121.3600000000
5332 125.1800000000
10000 -1.0000000000
evaluations raw_y
1 20.8700000000
2 33.5400000000
3 58.0100000000
8 58.9600000000
9 63.6500000000
10 67.4600000000
11 87.9700000000
104 90.8000000000
125 90.8800000000
261 102.7200000000
2320 106.2600000000
10000 80.0900000000
evaluations raw_y
1 5.3500000000
2 20.1300000000
4 38.3600000000
5 68.6800000000
6 83.9900000000
7 88.6000000000
24 97.7400000000
132 99.7100000000
291 103.9000000000
844 105.3000000000
2426 105.5300000000
3506 108.7500000000
10000 -1.0000000000
evaluations raw_y
1 0.0000000000
2 17.6700000000
3 20.6400000000
4 20.6500000000
5 51.3600000000
6 76.9100000000
7 77.8300000000
8 109.7200000000
15 113.4700000000
16 126.0700000000
22 131.6200000000
35 133.8900000000
100 135.6600000000
282 136.0100000000
288 136.6100000000
345 142.0600000000
1208 142.2400000000
1476 146.8600000000
2035 148.1500000000
2182 149.4100000000
3224 150.8700000000
10000 -1.0000000000
evaluations raw_y
1 8.5900000000
2 27.1300000000
3 27.7300000000
4 73.2600000000
5 90.6800000000
6 94.0700000000
7 94.7000000000
24 104.0900000000
277 106.7600000000
427 107.5400000000
1590 108.7600000000
1823 116.6900000000
10000 -1.0000000000
evaluations raw_y
1 3.1000000000
2 7.5400000000
3 9.2300000000
5 23.8300000000
6 26.6200000000
9 40.6500000000
10 47.7600000000
12 65.8300000000
13 76.7100000000
14 82.4800000000
18 89.8600000000
28 99.8800000000
36 102.7800000000
45 106.5300000000
165 112.9500000000
623 115.4500000000
1619 119.5800000000
2903 126.8200000000
10000 102.8900000000
evaluations raw_y
1 0.0000000000
2 4.5700000000
4 5.8400000000
5 6.8800000000
6 10.0100000000
7 12.1500000000
8 14.5300000000
10 17.1900000000
12 18.5600000000
14 42.7600000000
15 46.3400000000
16 53.7700000000
20 70.5600000000
222 79.1900000000
6282 82.1500000000
9199 82.8600000000
10000 49.6200000000
evaluations raw_y
1 12.0000000000
3 23.3900000000
4 40.4600000000
7 46.9200000000
9 48.1000000000
11 63.2200000000
15 64.2700000000
17 67.3700000000
18 68.3700000000
71 71.6700000000
85 76.7500000000
202 79.3700000000
495 80.8700000000
534 87.4000000000
10000 -1.0000000000
evaluations raw_y
1 0.0000000000
2 11.3000000000
3 38.5500000000
4 38.7800000000
5 52.2900000000
6 59.1200000000
8 63.5900000000
10 69.3300000000
11 78.4400000000
14 79.8000000000
18 82.3100000000
30 84.5200000000
59 93.6400000000
148 94.4800000000
406 98.7700000000
4598 99.8500000000
8284 102.1200000000
8987 102.3400000000
9684 107.0100000000
10000 68.5100000000
evaluations raw_y
1 0.0000000000
3 12.6500000000
4 18.6400000000
5 22.5100000000
7 25.4700000000
8 32.6900000000
9 34.1200000000
10 49.9000000000
11 55.8500000000
12 56.7200000000
15 63.3200000000
19 68.6700000000
161 68.7700000000
184 71.1800000000
228 72.2000000000
251 74.9900000000
602 78.1300000000
3644 81.2100000000
8756 82.0500000000
10000 -1.0000000000
evaluations raw_y
1 0.0000000000
2 1.8400000000
4 2.0100000000
5 4.0100000000
6 4.4000000000
7 5.0100000000
8 5.6800000000
9 20.2600000000
10 28.9600000000
11 30.8300000000
12 46.4200000000
15 48.2600000000
18 48.7900000000
25 61.3000000000
31 67.0600000000
344 68.8400000000
427 69.0300000000
479 72.0700000000
1139 72.3700000000
1565 74.0100000000
9296 74.4400000000
10000 -1.0000000000
evaluations raw_y
1 3.0000000000
2 8.1900000000
3 16.1400000000
4 41.8300000000
5 44.3900000000
9 48.9200000000
10 67.0300000000
13 69.8600000000
17 72.1900000000
22 77.5000000000
45 81.4400000000
150 84.4800000000
1115 84.6300000000
1649 84.8900000000
2400 85.4200000000
2469 89.2400000000
2474 93.6700000000
10000 -3.0000000000
evaluations raw_y
1 0.0000000000
2 9.5100000000
3 25.9700000000
4 41.6000000000
9 51.5400000000
10 57.2900000000
11 77.8200000000
12 79.7900000000
14 95.4100000000
23 97.6000000000
165 99.8700000000
168 101.3100000000
184 107.9700000000
551 109.2900000000
10000 73.9600000000
evaluations raw_y
1 23.2700000000
2 41.1900000000
3 53.9400000000
4 57.9400000000
5 59.7500000000
8 72.6100000000
14 98.4800000000
15 103.6800000000
78 105.9600000000
88 106.3100000000
159 106.5400000000
378 110.0900000000
1193 110.6000000000
1318 111.3300000000
1544 115.3300000000
2162 122.3400000000
9668 126.3400000000
10000 -3.0000000000
evaluations raw_y
1 0.0000000000
2 14.6000000000
7 32.1100000000
8 33.6100000000
9 35.4800000000
10 45.8500000000
11 59.9600000000
13 71.8500000000
14 80.0500000000
19 80.3600000000
23 85.8200000000
45 95.2500000000
1304 96.7700000000
1582 102.2100000000
10000 82.2900000000
evaluations raw_y
1 0.0000000000
2 32.4000000000
3 35.4200000000
4 35.6100000000
5 64.2500000000
10 84.9100000000
13 94.4700000000
28 95.2500000000
37 97.0400000000
40 97.8400000000
71 100.7100000000
79 108.9000000000
471 109.3000000000
958 111.2500000000
1652 113.1300000000
