evaluations raw_y
1 73.0000000000
2 167.0000000000
3 267.0000000000
4 336.0000000000
5 363.0000000000
6 413.0000000000
7 442.0000000000
8 478.0000000000
9 492.0000000000
10 505.0000000000
10000 -1.0000000000
evaluations raw_y
1 103.0000000000
2 165.0000000000
3 213.0000000000
4 248.0000000000
5 319.0000000000
6 363.0000000000
7 380.0000000000
8 423.0000000000
9 442.0000000000
10 464.0000000000
10000 -1.0000000000
evaluations raw_y
1 100.0000000000
2 205.0000000000
3 275.0000000000
4 348.0000000000
5 368.0000000000
6 402.0000000000
7 428.0000000000
8 448.0000000000
9 467.0000000000
10 487.0000000000
10000 -1.0000000000
evaluations raw_y
1 95.0000000000
3 174.0000000000
4 220.0000000000
5 291.0000000000
6 341.0000000000
7 380.0000000000
8 405.0000000000
9 438.0000000000
10 471.0000000000
11 484.0000000000
10000 -1.0000000000
evaluations raw_y
1 106.0000000000
2 198.0000000000
3 258.0000000000
4 327.0000000000
5 363.0000000000
6 405.0000000000
7 429.0000000000
8 442.0000000000
9 455.0000000000
10 462.0000000000
10000 -1.0000000000
evaluations raw_y
1 72.0000000000
2 166.0000000000
3 225.0000000000
4 265.0000000000
5 327.0000000000
6 360.0000000000
7 383.0000000000
8 414.0000000000
9 449.0000000000
10 478.0000000000
10000 -1.0000000000
evaluations raw_y
1 69.0000000000
2 110.0000000000
3 157.0000000000
4 241.0000000000
5 285.0000000000
6 308.0000000000
7 349.0000000000
8 376.0000000000
9 403.0000000000
10 428.0000000000
10000 -1.0000000000
evaluations raw_y
1 99.0000000000
2 183.0000000000
3 246.0000000000
4 287.0000000000
5 332.0000000000
6 374.0000000000
7 426.0000000000
8 455.0000000000
9 486.0000000000
10 511.0000000000
10000 -1.0000000000
evaluations raw_y
1 82.0000000000
2 187.0000000000
3 273.0000000000
4 336.0000000000
5 374.0000000000
6 412.0000000000
7 451.0000000000
8 471.0000000000
9 484.0000000000
10 503.0000000000
10000 -1.0000000000
evaluations raw_y
1 80.0000000000
2 167.0000000000
3 212.0000000000
4 270.0000000000
5 335.0000000000
6 366.0000000000
7 406.0000000000
8 447.0000000000
9 476.0000000000
10 485.0000000000
10000 -1.0000000000
evaluations raw_y
1 107.0000000000
2 202.0000000000
3 248.0000000000
4 294.0000000000
5 341.0000000000
6 376.0000000000
7 408.0000000000
8 449.0000000000
9 472.0000000000
10 481.0000000000
10000 -1.0000000000
evaluations raw_y
1 120.0000000000
2 208.0000000000
3 265.0000000000
4 318.0000000000
5 359.0000000000
6 407.0000000000
7 436.0000000000
8 451.0000000000
9 486.0000000000
10 509.0000000000
10000 -1.0000000000
evaluations raw_y
1 63.0000000000
2 163.0000000000
3 233.0000000000
4 287.0000000000
5 335.0000000000
6 370.0000000000
7 394.0000000000
8 429.0000000000
9 463.0000000000
10 492.0000000000
10000 478.0000000000
evaluations raw_y
1 112.0000000000
2 168.0000000000
3 277.0000000000
4 337.0000000000
5 386.0000000000
6 412.0000000000
7 452.0000000000
8 479.0000000000
9 510.0000000000
10 519.0000000000
10000 -1.0000000000
evaluations raw_y
1 109.0000000000
2 175.0000000000
3 246.0000000000
4 296.0000000000
5 338.0000000000
6 384.0000000000
7 400.0000000000
8 433.0000000000
9 448.0000000000
10 483.0000000000
10000 -1.0000000000
evaluations raw_y
1 103.0000000000
2 172.0000000000
3 249.0000000000
4 294.0000000000
5 330.0000000000
6 358.0000000000
7 387.0000000000
8 406.0000000000
9 422.0000000000
10 452.0000000000
10000 -1.0000000000
evaluations raw_y
1 117.0000000000
2 199.0000000000
3 285.0000000000
4 335.0000000000
5 370.0000000000
6 401.0000000000
7 432.0000000000
8 455.0000000000
9 479.0000000000
