evaluations raw_y
1 6.9200000000
2 14.3400000000
3 17.9800000000
4 38.0100000000
5 41.5400000000
6 60.5300000000
10 65.6700000000
11 89.1300000000
12 96.4000000000
13 115.3600000000
14 118.7100000000
15 127.2200000000
16 138.2100000000
17 139.3700000000
18 145.4000000000
20 147.4100000000
21 178.7100000000
23 183.0900000000
24 191.4900000000
26 222.2400000000
10000 -1.0000000000
evaluations raw_y
1 13.9700000000
2 22.8400000000
3 35.8300000000
5 43.2600000000
6 53.2100000000
7 55.8600000000
8 68.5300000000
9 70.7500000000
10 82.2700000000
11 86.6700000000
12 93.9400000000
13 94.7900000000
14 103.5200000000
15 103.5800000000
17 108.9500000000
18 134.2000000000
20 141.4300000000
21 161.5800000000
23 185.5500000000
24 189.3500000000
8832 200.7500000000
8862 206.6200000000
10000 -1.0000000000
evaluations raw_y
1 5.7800000000
2 9.9400000000
3 15.0000000000
4 20.3200000000
6 22.5500000000
7 43.6000000000
8 45.0800000000
9 48.5000000000
10 53.1900000000
11 60.1500000000
13 67.1100000000
14 72.8400000000
15 86.2800000000
17 90.2800000000
18 91.1400000000
20 94.3800000000
21 106.3100000000
22 113.6200000000
24 117.6400000000
25 125.6000000000
5287 126.3100000000
5289 134.4900000000
10000 -1.0000000000
evaluations raw_y
1 5.6700000000
2 27.2700000000
3 30.3100000000
6 42.5600000000
7 45.5600000000
8 48.8500000000
9 55.7900000000
10 62.1400000000
11 69.0100000000
12 75.1300000000
13 83.9000000000
14 89.0200000000
15 91.3800000000
16 96.5100000000
17 111.3300000000
18 123.8600000000
19 136.5900000000
21 136.9200000000
23 146.0600000000
25 164.9500000000
10000 -1.0000000000
evaluations raw_y
1 5.9700000000
2 14.5600000000
3 16.4400000000
4 27.6700000000
5 38.9700000000
6 48.0000000000
7 60.9400000000
8 74.3900000000
12 76.4300000000
13 87.9000000000
15 91.0800000000
16 100.0000000000
17 127.9400000000
20 135.5600000000
21 152.4400000000
22 167.7300000000
28 169.3600000000
29 170.0900000000
31 178.0800000000
33 190.7000000000
1047 194.5300000000
1051 205.6000000000
10000 -1.0000000000
evaluations raw_y
1 5.2400000000
2 6.4500000000
3 9.6000000000
4 26.2700000000
6 46.2700000000
7 49.9800000000
8 52.8600000000
9 70.3300000000
13 78.5100000000
14 92.1500000000
15 96.2400000000
17 109.7300000000
18 114.1200000000
19 125.5400000000
22 140.4900000000
25 155.9800000000
28 170.5000000000
34 290.3700000000
35 307.2200000000
36 310.1100000000
1598 316.0600000000
1614 317.3100000000
10000 -1.0000000000
evaluations raw_y
1 7.2100000000
2 19.8600000000
3 28.2600000000
4 39.3000000000
5 39.7700000000
6 45.3500000000
7 49.1600000000
8 50.5500000000
9 52.9100000000
10 67.9000000000
11 72.0500000000
12 94.9500000000
14 99.3700000000
15 102.6000000000
16 105.8200000000
18 106.8400000000
19 113.1000000000
20 126.5900000000
21 131.0100000000
22 152.5100000000
10000 -1.0000000000
evaluations raw_y
1 1.5300000000
2 5.5200000000
3 9.5000000000
4 20.4200000000
5 34.2200000000
6 46.8300000000
9 62.0900000000
11 77.5800000000
13 81.8900000000
14 82.1200000000
