evaluations raw_y
1 -384.0000000000
4 -382.0000000000
5 -379.0000000000
90 -377.0000000000
305 -376.0000000000
319 -375.0000000000
531 -374.0000000000
1124 -373.0000000000
2694 -372.0000000000
4015 -371.0000000000
8184 -369.0000000000
8829 -368.0000000000
10000 -385.0000000000
evaluations raw_y
1 -351.0000000000
15 -349.0000000000
26 -348.0000000000
80 -347.0000000000
94 -346.0000000000
134 -345.0000000000
847 -344.0000000000
948 -343.0000000000
1019 -342.0000000000
1868 -341.0000000000
7588 -340.0000000000
10000 -354.0000000000
evaluations raw_y
1 -369.0000000000
3 -368.0000000000
5 -367.0000000000
6 -366.0000000000
9 -365.0000000000
84 -364.0000000000
112 -363.0000000000
255 -362.0000000000
319 -361.0000000000
603 -360.0000000000
1054 -359.0000000000
1176 -358.0000000000
1999 -357.0000000000
10000 -369.0000000000
evaluations raw_y
1 -340.0000000000
5 -339.0000000000
31 -338.0000000000
34 -337.0000000000
47 -336.0000000000
155 -335.0000000000
179 -334.0000000000
359 -333.0000000000
1849 -332.0000000000
4511 -330.0000000000
10000 -336.0000000000
evaluations raw_y
1 -380.0000000000
4 -379.0000000000
6 -378.0000000000
36 -376.0000000000
125 -375.0000000000
181 -374.0000000000
397 -373.0000000000
427 -372.0000000000
1331 -371.0000000000
1683 -370.0000000000
7093 -369.0000000000
10000 -377.0000000000
evaluations raw_y
1 -377.0000000000
2 -376.0000000000
6 -375.0000000000
8 -374.0000000000
34 -371.0000000000
169 -370.0000000000
180 -369.0000000000
392 -367.0000000000
1911 -366.0000000000
3651 -365.0000000000
4601 -364.0000000000
10000 -378.0000000000
evaluations raw_y
1 -370.0000000000
2 -368.0000000000
24 -367.0000000000
59 -366.0000000000
151 -364.0000000000
1063 -363.0000000000
1374 -361.0000000000
1701 -360.0000000000
7475 -359.0000000000
9996 -358.0000000000
10000 -368.0000000000
evaluations raw_y
1 -361.0000000000
2 -360.0000000000
3 -359.0000000000
5 -357.0000000000
31 -356.0000000000
48 -354.0000000000
139 -353.0000000000
289 -352.0000000000
496 -351.0000000000
673 -350.0000000000
5231 -349.0000000000
5525 -347.0000000000
10000 -352.0000000000
evaluations raw_y
1 -376.0000000000
5 -375.0000000000
27 -374.0000000000
54 -373.0000000000
223 -372.0000000000
648 -371.0000000000
1584 -370.0000000000
2419 -369.0000000000
10000 -377.0000000000
evaluations raw_y
1 -367.0000000000
2 -365.0000000000
4 -363.0000000000
9 -362.0000000000
34 -361.0000000000
281 -360.0000000000
597 -359.0000000000
1630 -358.0000000000
2549 -355.0000000000
6974 -354.0000000000
10000 -370.0000000000
evaluations raw_y
1 -355.0000000000
3 -352.0000000000
34 -351.0000000000
55 -350.0000000000
202 -349.0000000000
263 -348.0000000000
394 -347.0000000000
824 -345.0000000000
5961 -344.0000000000
10000 -353.0000000000
evaluations raw_y
1 -368.0000000000
4 -367.0000000000
20 -366.0000000000
104 -365.0000000000
139 -364.0000000000
540 -363.0000000000
675 -362.0000000000
1084 -361.0000000000
1709 -360.0000000000
8062 -358.0000000000
10000 -367.0000000000
evaluations raw_y
1 -368.0000000000
3 -366.0000000000
7 -365.0000000000
12 -364.0000000000
63 -363.0000000000
240 -362.0000000000
885 -361.0000000000
1530 -360.0000000000
3658 -359.0000000000
8480 -358.0000000000
10000 -371.0000000000
evaluations raw_y
1 -352.0000000000
