evaluations raw_y
1 702401.4032495749
4 702916.0958578285
5 703349.9338580312
7 703629.2373922850
10 704132.3867716334
19 704442.2790030289
28 704964.3166590106
43 705248.9177394357
50 705279.4881071763
56 705728.7093403056
71 706171.1598011742
77 706378.4299257342
97 706684.8360771679
99 707305.7806959919
116 707378.2703074532
133 707634.9950334316
168 707823.8728443652
171 708566.4322090470
186 708670.5382145534
194 708902.4313940335
215 709092.8097517713
219 709338.2939483953
234 709372.8214346727
240 710083.4433778410
249 710336.6382293816
253 710383.8083636328
265 711132.0153337729
268 712291.6803681578
307 712458.7078664949
374 712533.9819156817
383 712559.7282193797
393 712789.6905495098
410 712910.5447981185
431 713219.3186716931
457 713990.2005476733
534 714014.6573278958
567 714151.3333213206
583 714523.0261700528
651 715640.5198364764
669 715669.5334681242
741 715988.8110702046
743 716327.8865967513
761 716804.1466542323
766 716919.7361735851
776 718118.2667444961
818 718883.3918341571
940 718923.9319656093
1029 719499.4236540021
1086 721125.4621723554
1118 721284.0714984625
1262 722286.4804406494
1288 723466.7832740570
1458 724395.3026293588
1523 725687.8446876605
1734 725742.1411958658
1763 726164.2132338861
1764 727009.5357676911
1879 727320.7835924928
1947 728051.6833498249
2180 730021.8464062421
2448 730724.8473919951
2540 731189.1171806775
2595 731206.5017413024
2793 731893.4447297939
2945 732078.4911159341
2951 732293.4963449189
2953 732718.1413000146
3030 732925.0946138776
3052 733613.3391396267
3096 733790.9722654094
3353 733794.5020588202
3442 734663.9354896902
3824 735161.5049070471
3931 735444.1279651594
3992 735492.5894137644
4105 735888.1236008205
4131 736213.1134046398
4170 736547.2308199570
4388 736995.1900256015
4517 737130.4850913610
4576 738106.7429732757
4783 739529.0578994534
4908 739909.6495931309
5035 740265.4298851195
5039 741781.2979581981
5470 742069.3279072011
5491 742687.0324022704
5777 742765.2667998814
6043 742944.6824216932
6263 743037.9486566641
6273 743214.7414378864
6330 743344.0961030503
6463 743745.8969601393
6495 744668.2240311559
6943 744777.4584590034
6984 745591.0683281382
7037 747264.0386879216
7176 747309.4063661500
7372 748133.2341701292
7426 748675.4106348377
7674 749103.2199507583
8618 749302.5746676128
8717 749782.3465665125
8975 750539.0106596805
9132 751144.3596022329
9152 751224.6418698725
9227 751840.2786890507
9440 752268.8111337676
9713 753717.7622058996
9883 753759.1234025055
9958 754272.9529662090
10000 739783.1372720328
evaluations raw_y
1 660968.9758050655
10 661372.0935278221
13 661800.7093854239
29 662668.5606546261
34 663326.4784644969
35 663756.9589126040
44 664679.3326921577
53 665039.1991952911
82 665164.7503627809
88 666024.2000433430
162 666629.6058499224
166 666730.1048596844
224 667898.7915957292
301 668561.5792193878
351 669540.2318597657
407 670031.0699802960
408 670697.0583015686
460 671244.8924575271
472 671477.2736100886
490 671632.4306664044
499 671812.1635242451
517 672435.4477134692
543 672563.2804978038
556 673204.5346286717
636 673785.1507588560
671 673787.2389720775
740 674658.1187519892
815 674662.0633912022
830 675240.0432659085
878 675298.6574420428
924 675528.5061780884
938 675575.2554498644
1023 675615.1554542967
1027 675707.2192413482
1057 676490.2185023329
1126 676962.1449011804
1172 678234.1143576648
1247 678815.0001268005
1321 679083.6704791758
1384 680090.7222852798
1465 680393.1903569665
1519 681049.4488060521
1545 682000.8869354277
1657 682258.6408242452
1658 682999.9395125598
1693 683479.0663750856
1800 683594.2827085267
1861 683670.9236886161
1980 683772.2501360996
2013 683784.9608008233
2031 684719.5632768257
2192 685065.1087518459
2323 685138.4616875213
2337 685748.7520064553
2431 685892.8984881013
2500 686419.1142345957
2533 687482.4919736026
2587 687603.5323743135
2605 688332.4443209675
2791 688995.7602656715
2919 689100.0419574255
2969 689146.1589476625
3004 689282.7025002424
3095 689498.4309833738
3221 689776.2347771082
3289 690351.7807228733
3362 690476.8098231865
3424 691396.7568363855
3521 691805.3863871258
3579 692272.1231025156
3740 693549.0224847861
3919 693631.1786049407
3956 694078.6048789157
4101 694483.7835938623
4212 695105.5767173041
4363 695727.5139331970
4685 696523.3257353323
4722 697041.7288503697
4906 697196.1458291786
5280 697692.0140798696
5347 697809.0923695659
5352 698719.8543636254
5535 699576.7639378984
5691 700050.1238402524
5821 701211.1645244757
5896 702171.2078096535
5996 702630.5764874176
6051 702698.6164759017
6137 702731.2054488506
6268 703171.6496835930
6372 703562.7746649459
6436 704249.1103333683
6643 706062.9930298685
6731 706086.0331248186
6848 706280.8491401030
7027 706597.7920301053
7162 706663.7552980625
7428 706671.2484515606
7454 707360.5016520680
7475 707526.5016990264
7506 708124.3812904292
7662 708409.3442171493
7975 709216.5624403363
8064 710650.0431958478
8272 711248.2920536533
8456 711258.1094504006
8660 712286.6423939263
9235 713826.6003358577
9262 715681.6127706093
9442 716319.9382834737
9590 716403.0959136522
9847 716439.2899971488
9881 716559.1471906204
10000 706188.6646237534
evaluations raw_y
1 694460.2988674709
8 695590.9782348590
9 696238.7488271520
28 697215.9717228272
55 697263.7437184155
92 697679.8287906423
96 698298.5753956577
101 698414.4321345618
104 698867.8175549990
123 700364.7768832118
125 700834.4804236658
164 701561.1652624105
174 701919.9936534422
183 702561.0399659879
201 703119.6010753848
206 703677.0008481189
213 704533.1484496209
281 705440.8236052741
291 705921.4662456907
343 706093.5902535766
359 706139.6741572607
361 706594.1362115873
380 706828.9040222373
427 707922.7497349667
491 708094.6224631522
569 709196.4768375568
592 709938.5970787683
638 710420.3506041573
690 710980.5045034853
746 711221.5379116150
994 711471.6718171528
1094 711596.8264703020
1197 712055.0935906047
1284 712267.3414438566
1335 712953.6929047814
1338 713081.7424427549
1382 713957.8444497947
1407 714799.5119541568
1410 714901.0360792349
1629 714946.7196666397
1690 715880.9679473096
1743 716020.8284741316
1813 716560.6564619113
1828 716905.9571765889
1881 717108.9924901553
1898 717668.7320339668
1977 717817.7481990989
2000 718673.9535479492
2057 719621.1960385100
2280 720272.9593847300
2453 720334.7602064508
2489 720914.0878255032
2584 722867.6252256050
2682 722955.4280927998
2774 723617.7871483399
2861 723773.4090016328
2984 724189.5694782970
3175 724667.8778802793
3213 724841.6296364297
3451 725647.8765588386
3468 725845.1216233106
3484 726183.8858506841
3528 726402.4196548228
3651 726795.3691256089
3693 727104.4687116870
4060 727167.9866059108
4213 727464.0851224697
4609 728472.8283735255
4651 728817.9851789408
4727 729621.7572716933
4891 729730.5811879163
4937 731152.9735107230
5147 731693.9837374564
5279 732368.9698112997
5362 733147.0642426603
5557 733324.9821245166
5931 733735.1944631597
6047 734018.0871266116
6049 734605.4674846823
6247 734916.5410808671
6400 735312.7292409712
6487 736190.3193634708
6509 736200.1401454314
6623 736242.1964606417
6693 736799.8079536229
6869 738554.3168721012
7092 738953.9772014598
7214 739206.6359643722
7299 740716.4748945413
7627 741368.9736893529
7661 742352.7690283403
7773 742502.8829926921
8489 743687.3573555680
8870 744112.7243169702
8871 744236.9567563069
9215 745006.8421027357
9243 745026.6482342936
9381 745687.1269701170
