evaluations raw_y
1 -2120748.0000000005
3 -2112777.0000000005
8 -2098695.0000000005
23 -2093727.0000000005
44 -2092718.0000000005
47 -2075570.0000000005
69 299259.2214424860
81 300051.0885451474
86 309554.3712169002
109 310668.0287697018
149 310779.2459491327
154 311078.4003879210
161 311853.0600249315
167 312048.9638547268
190 315337.0096562892
207 316101.9439644761
264 317367.4744241547
268 318482.5788654474
312 319111.1798941005
344 319557.5188865213
363 319925.0587027294
368 320819.1287753489
374 321055.4899513958
383 321258.3738699210
396 321525.1203595885
406 321580.9911906927
451 321922.0966983758
500 322555.4965246980
504 322755.4359784140
524 323257.0727104046
586 323370.2319309140
593 323440.0330236714
604 324708.4222614453
626 325227.7510405254
647 325766.0738813399
694 326484.3540440943
715 326855.3509058965
721 327443.2485452113
744 327670.3323517434
774 327782.3886107808
806 327893.3437197682
811 328066.6730449934
822 328754.5604680654
849 329101.0382788121
881 329154.7393578865
884 329275.6606477861
894 329496.0662178459
900 329540.2048550969
901 329574.0776778398
905 329721.9800565572
912 329961.4029874795
922 330417.8873178793
972 330491.8319399965
989 330874.6074379223
1011 331199.8148533404
1025 331612.1315969269
1055 331881.7164672700
1059 331999.6731786554
1068 332305.9215866847
1071 332409.0938002028
1090 332760.6553506861
1117 333380.6433070081
1158 333630.6155976388
1167 334344.9475921306
1206 334360.5964690626
1233 334570.7957766438
1237 334642.5580417398
1242 335023.4631022980
1245 335114.5101382129
1267 335130.9108637865
1271 335678.5936403138
1281 335723.3707810229
1292 336134.6590781551
1307 336407.4391905353
1330 337007.6912306627
1367 337187.6501991318
1368 337225.9357572282
1375 337228.9782898110
1384 338082.1756674555
1402 338321.6387749543
1473 338472.5272877913
1482 338646.1543954526
1484 338965.2735935771
1546 339745.7798443668
1607 339791.5002806521
1619 340271.3904471988
1657 340475.3833465876
1677 340501.3231302114
1695 341141.2962806304
1720 341184.7265010735
1728 341283.1814757516
1757 341566.9191477146
1764 341688.0106286037
1790 342044.8998373807
1810 342813.3909461672
1858 343327.2373200733
1913 343372.0671904476
1915 344205.7264752984
1924 344364.3906099530
1984 344552.0418187425
2002 344650.2242741626
2027 345053.1333011407
2076 345193.2491110448
2093 345485.4595477892
2108 345862.4859794154
2136 345877.1630615244
2161 345971.8223113251
2200 346357.0356287578
2222 346583.6081065526
2259 346762.0847771555
2260 346954.7297007181
2280 346992.8097985144
2300 347104.3019828000
2331 347613.7780443067
2352 348203.2494641196
2358 348296.7179707485
2393 348992.1174774435
2445 349278.6450206497
2448 349660.1368720588
2515 350169.8081717163
2561 350447.5502176245
2592 350489.3445553769
2599 350505.8138475982
2614 350726.6147051452
2621 350905.1652246468
2644 351261.5694982696
2655 351296.5272035574
2680 351328.6674872534
2705 351363.2302399789
2721 352173.8661565018
2761 352217.2902986878
2776 352755.9040205873
2804 353191.5035163839
2860 354021.7219422104
2874 354147.8771297353
2910 354232.1794958189
2924 354479.0542092521
2941 354507.9089015177
2946 354698.4925455463
2953 355766.6540547593
2981 355820.7612304501
3014 356205.7235964186
3027 356314.0952053511
3043 356729.1735278454
3078 356856.5329106597
3087 356967.3785545467
3107 358501.5487385584
3178 358860.6961722574
3234 359094.9219775837
3258 359178.3585584002
3281 359684.7407230812
3284 359749.3821259205
3316 359918.1294754636
3367 359922.6487693425
3374 360289.9967201271
3397 360473.6083938804
3400 360474.0346671074
3403 360554.0454355525
3404 361140.8222795080
3435 361814.8592091762
3471 362584.9508329337
3493 362657.6992330168
3533 362998.6279171042
3543 363158.3359511973
3557 363168.8566984672
3562 363264.1803725144
3584 363644.1622487830
3593 363886.4011037310
3604 363944.0503774880
3608 364244.3782030163
3629 364263.6769624789
3635 364328.3667868776
3640 364717.5507360777
3663 365153.0291914619
3667 365225.8976370253
3690 365269.0569357999
3711 365424.1371449085
3726 365442.3406047332
3741 365770.0073680420
3789 365789.4473264284
3801 366324.2708568019
3843 366472.0726777072
3848 366598.0852672366
3864 366857.7239461002
3878 366927.8514521067
3886 367685.8887638979
3963 367802.3984656709
3976 368224.1368548250
3991 368542.7896216467
4032 369427.4119686284
4072 369706.1076810033
4091 370099.7649556712
4140 370450.9967283218
4142 370480.0705010894
4147 370620.3145285096
4191 371221.2262865127
4214 371412.1680399948
4269 371834.0488572590
4310 372075.9912508203
4326 372097.0546931028
4329 372458.9710393331
4363 372491.5017038787
4448 372513.9343842379
4481 372926.6868952702
4508 373383.6819967018
4541 373487.7490924122
4588 373560.9229352899
4599 373670.9804815388
4632 374119.1316154390
4647 374280.3345378657
4657 374326.8199048234
4660 374329.1114459081
4666 374921.0858525875
4685 375574.5299095183
4746 376159.6480407729
4865 376356.5107878681
4896 376512.9448186160
4917 376723.1325465697
4936 377042.9461970535
5005 377379.8617620357
5044 377761.4679586635
5058 377829.8519599867
5068 378155.5519058737
5084 378229.7302676066
5093 378558.5900583534
5122 378896.4619835017
5142 379221.7000023832
5166 379402.8633585658
5238 379664.8985759242
5276 379685.9519219240
5315 380001.9628874127
5327 380276.2280699742
5355 380392.2164193461
5361 380981.3710643573
5391 381000.5006272830
5404 381028.2676169865
5428 382289.7477006249
5502 382528.5478592710
5510 382619.6676331267
5532 382826.5644402415
5548 383165.7237382079
5594 383258.9019722594
5621 383466.2077571327
5693 383559.3654672989
5697 383560.2711635753
5710 383708.3106332032
5711 384354.0045399845
5740 384702.5757278473
5813 385137.3745263223
5823 385500.4885676578
5852 385616.3596227986
5863 385923.1081650749
5887 386417.0835052020
5898 386606.2356268478
5941 386770.7878972545
5964 386782.0098898476
5969 387673.4057757011
6026 387712.5187223431
6029 387760.4149637655
6049 388226.8743856429
6079 388313.4800033990
6085 388545.3145782201
6087 388644.5210517829
6093 389036.8825353264
6117 389053.8607503111
6130 389064.7809759700
6143 389168.8473432227
6162 389174.7737899670
6186 390516.0635894403
6244 390573.7886296919
6253 390670.1719514754
6261 390869.0398680429
6266 390913.6147526661
6294 391070.9185129922
6342 391431.7822162102
6344 391619.9127281668
6345 391783.2483333570
6373 391846.9707210079
6395 391867.7583748090
6431 392580.7228085468
6464 392983.2873461695
6524 393011.6965025853
6528 394072.0408881406
6631 394279.5858885222
6647 394364.4442654172
6688 394602.7731432100
6701 395442.1368397131
6718 395680.0580666553
6751 395790.9143059513
6768 396603.3091782231
6851 396983.1204566923
6863 397071.2211688145
6876 397342.3787303672
6919 397603.0694787605
6926 397891.8219933160
6935 398086.3499385756
6970 398406.3307703985
6986 398721.4690272984
7022 398890.6107805863
7064 398990.4033272865
7082 399005.2656640820
7089 399081.8887033588
7132 399477.6001936352
7179 399697.8724678353
7205 400127.2799312522
7278 400212.5276891740
7308 400770.5830271607
7339 400928.7902226509
7435 401265.6406092721
7466 401320.0970338597
7487 401757.9564464876
7508 401973.2610994406
7528 402129.6997076946
7607 402379.6932091775
7655 402653.3893498837
7681 402801.0966452390
7721 403407.4772511562
7791 403421.1847027364
7828 403623.0555068289
7859 403630.0762325649
7887 403997.1133016807
8009 404550.2682644084
8061 404732.0290456982
8092 405139.4719333468
8169 405589.6097667280
8332 405623.4371499440
8350 406120.5497783066
8363 406923.7539438988
8423 406956.5769353335
8519 407326.9709922709
8568 407428.3232706192
8810 407697.1751266790
8862 407871.6939058730
9018 408361.1164601133
9219 408635.6979401716
9251 408706.7501224082
9293 408840.8252996288
9326 409185.9264441616
9366 409455.0013209691
9400 409781.3030003818
9443 409821.6500045926
9451 409901.8890379948
9525 410084.6267951504
9547 410198.9650102262
9587 410559.6331162024
9629 410773.7664998110
9637 410869.8157681497
9708 411567.5323408052
9836 411940.7254780097
9842 411945.7929300684
9958 412460.9347442047
9985 412638.1634939113
9986 412997.4163535694
