evaluations raw_y
1 110.0000000000
2 262.0000000000
3 321.0000000000
4 366.0000000000
7 411.0000000000
8 434.0000000000
10 473.0000000000
12 490.0000000000
164 497.0000000000
365 498.0000000000
1189 507.0000000000
1635 513.0000000000
1821 514.0000000000
2562 515.0000000000
2608 519.0000000000
11881 523.0000000000
19848 531.0000000000
24674 533.0000000000
26405 542.0000000000
27888 544.0000000000
37668 545.0000000000
64725 546.0000000000
100000 -2.0000000000
evaluations raw_y
1 98.0000000000
2 193.0000000000
3 240.0000000000
4 281.0000000000
5 317.0000000000
7 348.0000000000
8 371.0000000000
9 408.0000000000
10 434.0000000000
12 464.0000000000
209 472.0000000000
230 476.0000000000
291 477.0000000000
505 480.0000000000
533 481.0000000000
545 482.0000000000
786 486.0000000000
928 487.0000000000
969 493.0000000000
1483 504.0000000000
4494 507.0000000000
6846 517.0000000000
8239 518.0000000000
10191 519.0000000000
13080 521.0000000000
14110 525.0000000000
23934 526.0000000000
26382 528.0000000000
28656 531.0000000000
29098 541.0000000000
37309 544.0000000000
42174 547.0000000000
42304 550.0000000000
100000 -1.0000000000
evaluations raw_y
1 0.0000000000
2 75.0000000000
3 137.0000000000
4 219.0000000000
7 266.0000000000
8 367.0000000000
9 457.0000000000
13 467.0000000000
18 487.0000000000
979 497.0000000000
1082 502.0000000000
1678 506.0000000000
2025 512.0000000000
2318 523.0000000000
3037 525.0000000000
4394 532.0000000000
9281 534.0000000000
23919 537.0000000000
25369 540.0000000000
35242 541.0000000000
38126 542.0000000000
41077 543.0000000000
74339 545.0000000000
97455 548.0000000000
100000 -2.0000000000
evaluations raw_y
1 0.0000000000
3 123.0000000000
5 200.0000000000
6 281.0000000000
8 355.0000000000
10 393.0000000000
14 423.0000000000
15 473.0000000000
177 484.0000000000
222 485.0000000000
597 491.0000000000
1206 502.0000000000
1812 506.0000000000
1873 515.0000000000
1910 522.0000000000
1954 532.0000000000
9219 533.0000000000
11146 534.0000000000
12906 536.0000000000
13868 537.0000000000
15982 538.0000000000
20145 540.0000000000
34365 541.0000000000
55520 542.0000000000
56228 544.0000000000
74724 545.0000000000
76556 549.0000000000
79799 551.0000000000
100000 -1.0000000000
evaluations raw_y
1 0.0000000000
2 70.0000000000
3 182.0000000000
4 255.0000000000
5 343.0000000000
6 427.0000000000
7 466.0000000000
8 494.0000000000
46 496.0000000000
194 501.0000000000
1502 505.0000000000
2366 514.0000000000
2705 525.0000000000
3023 528.0000000000
6658 530.0000000000
15556 533.0000000000
20757 536.0000000000
20935 538.0000000000
30996 540.0000000000
36165 541.0000000000
36981 542.0000000000
38998 543.0000000000
51072 545.0000000000
52153 547.0000000000
59159 548.0000000000
60132 549.0000000000
61669 550.0000000000
62629 551.0000000000
73951 553.0000000000
100000 553.0000000000
evaluations raw_y
1 114.0000000000
2 199.0000000000
4 270.0000000000
10 356.0000000000
12 427.0000000000
13 442.0000000000
21 460.0000000000
22 486.0000000000
295 487.0000000000
898 505.0000000000
1576 514.0000000000
2753 518.0000000000
4230 519.0000000000
5558 520.0000000000
6750 522.0000000000
7169 528.0000000000
10690 530.0000000000
10917 532.0000000000
11416 538.0000000000
14000 539.0000000000
22576 540.0000000000
23538 541.0000000000
28205 546.0000000000
32786 549.0000000000
34537 552.0000000000
94260 553.0000000000
100000 -2.0000000000
evaluations raw_y
1 0.0000000000
2 113.0000000000
3 187.0000000000
6 330.0000000000
10 386.0000000000
11 461.0000000000
12 481.0000000000
14 492.0000000000
25 496.0000000000
627 499.0000000000
747 502.0000000000
1754 505.0000000000
1963 506.0000000000
2742 509.0000000000
3072 517.0000000000
5324 520.0000000000
6776 526.0000000000
11074 529.0000000000
11485 534.0000000000
12159 539.0000000000
12279 540.0000000000
26769 541.0000000000
29069 542.0000000000
29547 544.0000000000
53975 549.0000000000
90638 550.0000000000
100000 -1.0000000000
evaluations raw_y
1 96.0000000000
4 177.0000000000
5 316.0000000000
6 446.0000000000
7 491.0000000000
11 497.0000000000
430 508.0000000000
472 513.0000000000
1388 520.0000000000
2043 522.0000000000
4766 525.0000000000
11209 527.0000000000
14828 530.0000000000
19588 532.0000000000
20129 533.0000000000
23555 534.0000000000
37168 535.0000000000
58701 537.0000000000
75124 539.0000000000
89372 540.0000000000
100000 540.0000000000
evaluations raw_y
1 67.0000000000
4 137.0000000000
5 207.0000000000
6 317.0000000000
8 428.0000000000
11 453.0000000000
12 477.0000000000
396 488.0000000000
463 492.0000000000
614 497.0000000000
921 510.0000000000
1553 513.0000000000
2322 518.0000000000
5723 520.0000000000
6296 521.0000000000
7621 531.0000000000
9792 541.0000000000
13663 545.0000000000
18612 550.0000000000
26031 552.0000000000
40115 556.0000000000
72648 557.0000000000
87212 558.0000000000
100000 558.0000000000
evaluations raw_y
1 182.0000000000
2 289.0000000000
3 322.0000000000
5 413.0000000000
6 470.0000000000
7 484.0000000000
131 485.0000000000
443 492.0000000000
1345 494.0000000000
2146 505.0000000000
2181 512.0000000000
2726 526.0000000000
3096 532.0000000000
4267 536.0000000000
13233 538.0000000000
14406 539.0000000000
17840 540.0000000000
23154 545.0000000000
100000 545.0000000000
evaluations raw_y
1 85.0000000000
2 175.0000000000
4 217.0000000000
6 285.0000000000
7 387.0000000000
8 461.0000000000
9 479.0000000000
10 498.0000000000
19 505.0000000000
424 518.0000000000
955 526.0000000000
1584 528.0000000000
2415 530.0000000000
4570 532.0000000000
6180 535.0000000000
6851 537.0000000000
