evaluations raw_y
1 25.3800000000
2 37.1800000000
3 48.1400000000
4 57.4900000000
5 85.2500000000
6 97.7900000000
7 121.7800000000
9 123.2700000000
10 131.3700000000
11 149.1900000000
14 156.7300000000
16 174.0000000000
20 180.2900000000
35 181.9400000000
46 190.4900000000
203 203.0800000000
4807 208.8200000000
8329 210.2800000000
12350 213.0600000000
100000 -2.0000000000
evaluations raw_y
1 0.0000000000
2 2.8400000000
3 7.2700000000
4 9.8600000000
5 19.5500000000
6 19.8000000000
7 29.8400000000
8 55.7400000000
15 64.9400000000
16 72.1000000000
17 97.7300000000
18 108.4000000000
23 114.6300000000
24 118.4100000000
26 120.3800000000
31 125.7000000000
32 142.3900000000
35 149.4800000000
62 151.3500000000
81 155.3900000000
92 156.1500000000
171 157.4100000000
202 160.1900000000
376 160.9200000000
431 161.1300000000
492 161.1600000000
757 163.9200000000
1077 165.0500000000
1240 165.4800000000
1757 166.9900000000
3440 168.0400000000
4577 168.7400000000
9198 168.8000000000
11966 170.3100000000
12992 171.9500000000
17204 172.8000000000
51222 174.6700000000
80346 318.0200000000
80355 322.3800000000
80375 329.0000000000
80381 329.6800000000
80386 334.4100000000
80609 336.4100000000
80911 340.8100000000
82420 342.7000000000
84018 343.4000000000
88817 346.1100000000
94412 347.3000000000
100000 -2.0000000000
evaluations raw_y
1 0.0000000000
2 16.7800000000
10 23.3000000000
11 32.8000000000
12 41.6200000000
13 72.5100000000
14 85.6500000000
20 98.0000000000
22 109.5200000000
24 111.0300000000
26 124.8000000000
32 126.1600000000
33 131.2100000000
34 138.2900000000
35 160.4300000000
36 162.1500000000
37 165.2800000000
39 167.0000000000
40 176.1600000000
51 181.2500000000
78 184.8900000000
400 187.0900000000
415 191.1700000000
926 195.0700000000
1886 202.0400000000
29670 205.9600000000
31382 206.3400000000
37399 207.6400000000
55935 210.1100000000
73424 211.4700000000
75446 212.3000000000
100000 -2.0000000000
evaluations raw_y
1 11.2000000000
2 27.2000000000
3 63.3100000000
8 67.7600000000
13 75.0100000000
14 91.8400000000
15 100.5200000000
16 107.0800000000
17 114.1400000000
20 118.1300000000
21 118.3700000000
22 134.4800000000
23 139.1400000000
24 139.7300000000
26 169.0700000000
27 197.4900000000
28 212.9200000000
111 213.6000000000
203 214.3300000000
263 218.0900000000
278 221.8800000000
400 222.7500000000
3891 232.7100000000
100000 204.8600000000
evaluations raw_y
1 14.8100000000
2 20.8400000000
4 21.8600000000
5 23.1600000000
6 23.3800000000
7 27.2100000000
8 35.5700000000
9 45.6500000000
10 48.5100000000
11 59.0700000000
14 62.8600000000
15 67.1800000000
20 84.9800000000
21 113.7300000000
22 122.3800000000
23 137.9600000000
26 145.0000000000
27 149.8300000000
29 156.2500000000
31 159.2000000000
35 182.8900000000
55 189.3700000000
57 203.9700000000
340 206.6300000000
899 215.5400000000
13629 221.6300000000
74899 228.1600000000
100000 -1.0000000000
evaluations raw_y
1 18.5000000000
3 19.8500000000
4 25.3800000000
5 32.0100000000
6 55.6000000000
7 70.2900000000
8 82.6400000000
9 118.7300000000
10 119.1100000000
11 119.2000000000
13 125.3800000000
14 133.3900000000
17 134.0400000000
24 144.0800000000
89 145.6000000000
94 155.0600000000
314 155.5300000000
1712 162.0600000000
10125 163.9300000000
14516 164.8300000000
25278 165.0100000000
40953 170.6900000000
100000 123.3400000000
evaluations raw_y
1 0.0000000000
2 25.3200000000
3 34.7200000000
4 40.2900000000
5 52.1600000000
11 68.5400000000
12 71.7600000000
16 77.1600000000
17 96.5200000000
19 101.6500000000
20 107.8900000000
25 112.7800000000
26 115.2200000000
27 135.6900000000
30 152.4000000000
32 153.3700000000
33 166.5800000000
39 168.5700000000
43 172.6700000000
49 186.8500000000
76 187.6700000000
429 192.9000000000
554 193.4900000000
7032 193.8100000000
10387 195.8300000000
11319 197.2900000000
61034 197.4600000000
83371 197.4700000000
85863 197.6400000000
88242 326.2300000000
88245 326.7400000000
88246 332.6900000000
88256 344.8500000000
88271 345.8200000000
88493 346.3400000000
88547 347.2900000000
88681 350.3900000000
88744 360.2800000000
100000 323.5300000000
evaluations raw_y
1 18.3600000000
2 49.4800000000
3 63.1100000000
4 95.9000000000
5 98.9300000000
6 101.0200000000
7 101.3400000000
9 131.3200000000
10 142.4400000000
20 145.1200000000
21 150.6900000000
24 177.2700000000
33 185.6600000000
34 203.8600000000
120 207.3600000000
466 208.6000000000
574 209.8900000000
628 214.3600000000
1083 215.0300000000
1137 215.3700000000
1177 231.9500000000
100000 -2.0000000000
evaluations raw_y
1 12.5400000000
2 20.9100000000
5 20.9300000000
6 51.7100000000
7 55.6000000000
13 98.4300000000
14 112.6800000000
15 130.9700000000
16 157.5900000000
17 161.3100000000
22 169.1100000000
23 179.8400000000
26 182.0500000000
30 190.3000000000
60 192.1000000000
98 193.5000000000
121 198.2800000000
128 209.9200000000
1545 213.0400000000
2243 214.3700000000
9120 214.9900000000
16516 218.7400000000
24818 220.7000000000
36317 225.3900000000
51949 264.9200000000
51952 287.8100000000
51955 296.7800000000
51995 299.9900000000
52364 302.8300000000
52912 304.1300000000
53006 304.1800000000
53021 308.0400000000
53025 317.1500000000
54211 317.4600000000
54357 318.9200000000
54558 320.3700000000
61310 320.7600000000
61768 323.6000000000
62003 325.7200000000
62227 330.1000000000
64484 330.8600000000
66181 332.1500000000
67501 333.4600000000
74980 334.2200000000
80363 335.8300000000
100000 -2.0000000000
evaluations raw_y
1 0.0000000000
2 7.1900000000
3 22.2500000000
4 23.3200000000
5 48.2900000000
6 58.5600000000
7 100.1300000000
8 104.1500000000
9 108.2600000000
10 114.2100000000
11 122.0100000000
12 147.3700000000
13 157.3600000000
14 169.1000000000
16 173.2800000000
21 175.3300000000
22 180.7300000000
29 181.0400000000
37 189.7600000000
49 192.4000000000
290 193.6500000000
425 195.0100000000
1384 196.1600000000
1871 199.5700000000
5221 200.6700000000
6555 206.8600000000
15228 211.5800000000
51547 215.4300000000
100000 182.0700000000
evaluations raw_y
1 5.4700000000
3 18.0800000000
4 24.6000000000
5 42.1500000000
7 53.3200000000
8 60.8000000000
11 71.7800000000
17 84.8100000000
21 92.7200000000
23 94.9400000000
24 107.7200000000
30 109.1400000000
31 122.3200000000
33 138.3200000000
37 142.7400000000
39 145.4700000000
40 152.2200000000
41 152.9500000000
49 169.3200000000
52 175.5700000000
54 204.1300000000
55 216.1900000000
112 219.4100000000
177 220.8800000000
179 222.6300000000
192 237.2000000000
4742 239.9800000000
18743 242.3200000000
45121 245.8600000000
100000 -2.0000000000
evaluations raw_y
1 0.0000000000
3 8.0100000000
4 8.0500000000
5 16.6300000000
6 24.2200000000
7 29.1000000000
8 50.9200000000
9 51.7100000000
11 79.0600000000
12 88.2200000000
13 100.9900000000
14 111.0900000000
16 118.7100000000
17 126.4400000000
18 133.3200000000
21 136.5700000000
22 147.7300000000
23 155.7600000000
102 161.9200000000
104 166.4500000000
110 172.2100000000
883 174.1200000000
2788 174.1700000000
13238 175.5600000000
17173 178.0800000000
17293 180.6700000000
63040 183.9500000000
100000 -2.0000000000
evaluations raw_y
1 6.3400000000
2 14.7600000000
3 44.4200000000
6 76.3500000000
10 87.2900000000
11 169.5000000000
23 177.5900000000
25 179.9800000000
26 192.9100000000
27 197.7500000000
37 211.3000000000
204 212.6800000000
217 215.4900000000
253 217.5900000000
492 217.6600000000
852 221.5700000000
865 222.5700000000
1087 229.3900000000
3335 230.1800000000
6824 233.7500000000
37955 234.4000000000
38910 238.4300000000
100000 -2.0000000000
evaluations raw_y
1 0.0000000000
2 37.2500000000
3 38.0800000000
4 44.0000000000
5 59.9700000000
6 70.1200000000
7 78.6900000000
8 95.9300000000
9 112.7000000000
12 115.9200000000
13 132.4100000000
21 278.8900000000
22 298.8900000000
23 302.8900000000
25 303.3800000000
26 318.7100000000
30 319.0500000000
32 330.3400000000
42 330.3500000000
139 331.2400000000
248 334.0600000000
344 334.8700000000
376 336.9100000000
643 337.8300000000
1086 342.8700000000
1265 343.5100000000
4511 343.6400000000
5921 348.1500000000
17283 348.3000000000
50905 349.2500000000
55080 352.5900000000
100000 -2.0000000000
evaluations raw_y
1 11.3600000000
2 23.7400000000
3 45.1500000000
5 53.8600000000
8 69.1400000000
9 79.6000000000
13 81.4300000000
15 91.3100000000
19 105.7600000000
21 115.1800000000
22 117.6800000000
23 119.4700000000
24 144.8500000000
30 149.8700000000
57 155.6800000000
175 157.1600000000
212 157.3400000000
310 158.0300000000
556 159.3500000000
1001 167.0200000000
6010 172.7800000000
62687 175.4900000000
78113 176.2400000000
85134 271.6500000000
85140 275.8500000000
85142 285.4200000000
85159 292.0100000000
85195 293.4700000000
85444 304.3300000000
90025 304.7500000000
100000 -1.0000000000
evaluations raw_y
1 0.0000000000
3 9.9800000000
4 25.3100000000
5 25.7400000000
6 26.8900000000
8 37.2600000000
9 44.6200000000
10 61.0200000000
13 71.5800000000
15 88.5100000000
17 101.1300000000
18 106.6500000000
19 107.6700000000
20 125.2400000000
35 132.9600000000
37 146.3400000000
236 148.0000000000
285 148.0900000000
358 149.9600000000
792 156.5000000000
8302 157.0800000000
10571 160.9400000000
45405 161.7500000000
45443 163.6300000000
45543 167.5700000000
45591 172.9900000000
46199 174.2700000000
46212 176.2400000000
48708 176.9500000000
65335 178.1000000000
66826 182.5000000000
100000 -2.0000000000
evaluations raw_y
1 1.4600000000
2 19.7200000000
3 26.8400000000
4 53.3900000000
5 69.7600000000
6 84.6200000000
7 98.1000000000
9 102.6800000000
10 128.6100000000
11 147.0700000000
14 152.0100000000
16 162.4300000000
17 177.7900000000
19 182.0500000000
24 183.9000000000
37 187.7800000000
44 191.7600000000
130 192.9200000000
174 201.7200000000
1563 205.3900000000
6830 205.4300000000
6861 206.3700000000
15262 206.7500000000
15638 207.3200000000
36560 211.1800000000
80832 211.6600000000
90877 212.2400000000
100000 -1.0000000000
evaluations raw_y
1 0.0000000000
2 19.0200000000
3 23.5800000000
4 45.3900000000
6 64.7900000000
9 74.6700000000
11 99.8400000000
20 116.7400000000
21 145.3200000000
22 168.3600000000
24 173.0200000000
25 176.5600000000
27 184.4500000000
40 197.1400000000
72 205.9700000000
76 215.0200000000
