evaluations raw_y
1 64.0000000000
2 153.0000000000
3 210.0000000000
4 246.0000000000
5 300.0000000000
6 338.0000000000
7 354.0000000000
8 370.0000000000
9 392.0000000000
10 401.0000000000
100000 -1.0000000000
evaluations raw_y
1 59.0000000000
2 143.0000000000
3 184.0000000000
4 250.0000000000
5 283.0000000000
6 300.0000000000
7 331.0000000000
8 359.0000000000
9 378.0000000000
10 390.0000000000
100000 -1.0000000000
evaluations raw_y
1 68.0000000000
2 133.0000000000
3 199.0000000000
4 240.0000000000
5 288.0000000000
6 327.0000000000
7 349.0000000000
8 366.0000000000
9 379.0000000000
10 387.0000000000
100000 -1.0000000000
evaluations raw_y
1 72.0000000000
2 114.0000000000
3 180.0000000000
4 242.0000000000
5 292.0000000000
6 312.0000000000
7 334.0000000000
8 354.0000000000
9 373.0000000000
10 382.0000000000
100000 375.0000000000
evaluations raw_y
1 73.0000000000
2 146.0000000000
3 192.0000000000
4 216.0000000000
5 291.0000000000
6 315.0000000000
7 353.0000000000
8 365.0000000000
9 383.0000000000
10 395.0000000000
100000 -1.0000000000
evaluations raw_y
1 78.0000000000
2 135.0000000000
3 196.0000000000
4 261.0000000000
5 289.0000000000
6 322.0000000000
7 341.0000000000
8 364.0000000000
9 385.0000000000
10 398.0000000000
100000 -1.0000000000
evaluations raw_y
1 58.0000000000
2 139.0000000000
3 206.0000000000
4 256.0000000000
5 290.0000000000
6 318.0000000000
7 332.0000000000
8 345.0000000000
9 362.0000000000
10 372.0000000000
100000 -1.0000000000
evaluations raw_y
1 83.0000000000
2 139.0000000000
3 179.0000000000
4 222.0000000000
5 260.0000000000
6 294.0000000000
7 327.0000000000
8 354.0000000000
9 377.0000000000
10 397.0000000000
100000 -1.0000000000
evaluations raw_y
1 81.0000000000
2 131.0000000000
3 181.0000000000
4 229.0000000000
6 278.0000000000
7 309.0000000000
8 335.0000000000
9 352.0000000000
10 378.0000000000
11 396.0000000000
100000 -1.0000000000
evaluations raw_y
1 101.0000000000
2 144.0000000000
3 219.0000000000
4 245.0000000000
5 276.0000000000
6 294.0000000000
7 310.0000000000
8 337.0000000000
9 362.0000000000
10 389.0000000000
100000 -1.0000000000
evaluations raw_y
1 84.0000000000
2 162.0000000000
3 212.0000000000
4 255.0000000000
5 299.0000000000
6 324.0000000000
7 346.0000000000
8 361.0000000000
9 364.0000000000
10 369.0000000000
100000 -1.0000000000
evaluations raw_y
1 85.0000000000
2 145.0000000000
3 189.0000000000
4 229.0000000000
5 251.0000000000
6 285.0000000000
7 297.0000000000
8 317.0000000000
9 353.0000000000
10 374.0000000000
100000 -1.0000000000
evaluations raw_y
1 68.0000000000
2 153.0000000000
3 218.0000000000
4 251.0000000000
5 294.0000000000
6 326.0000000000
7 337.0000000000
8 347.0000000000
9 361.0000000000
10 380.0000000000
100000 -1.0000000000
evaluations raw_y
1 76.0000000000
2 149.0000000000
3 190.0000000000
4 224.0000000000
5 254.0000000000
6 296.0000000000
7 318.0000000000
8 322.0000000000
9 346.0000000000
10 372.0000000000
100000 -1.0000000000
evaluations raw_y
1 95.0000000000
2 179.0000000000
3 230.0000000000
4 267.0000000000
5 290.0000000000
6 316.0000000000
7 335.0000000000
8 356.0000000000
9 387.0000000000
10 401.0000000000
100000 -1.0000000000
evaluations raw_y
1 68.0000000000
2 133.0000000000
3 189.0000000000
4 222.0000000000
5 262.0000000000
6 313.0000000000
7 323.0000000000
8 343.0000000000
9 354.0000000000
10 358.0000000000
100000 -1.0000000000
evaluations raw_y
1 72.0000000000
2 145.0000000000
3 192.0000000000
4 254.0000000000
5 288.0000000000
6 321.0000000000
7 339.0000000000
8 357.0000000000
9 380.0000000000
10 389.0000000000
100000 -1.0000000000
evaluations raw_y
1 98.0000000000
2 146.0000000000
3 209.0000000000
4 244.0000000000
5 285.0000000000
6 310.0000000000
8 333.0000000000
9 362.0000000000
10 365.0000000000
11 373.0000000000
100000 -1.0000000000
evaluations raw_y
1 88.0000000000
2 138.0000000000
3 169.0000000000
4 195.0000000000
5 261.0000000000
6 282.0000000000
7 306.0000000000
9 340.0000000000
10 360.0000000000
11 370.0000000000
100000 -1.0000000000
evaluations raw_y
1 81.0000000000
2 136.0000000000
3 200.0000000000
4 244.0000000000
5 275.0000000000
6 301.0000000000
7 340.0000000000
8 360.0000000000
9 392.0000000000
10 398.0000000000
100000 -1.0000000000
evaluations raw_y
1 90.0000000000
2 158.0000000000
3 218.0000000000
4 265.0000000000
5 296.0000000000
6 324.0000000000
7 359.0000000000
8 371.0000000000
9 378.0000000000
10 396.0000000000
100000 -1.0000000000
evaluations raw_y
1 62.0000000000
2 137.0000000000
3 203.0000000000
4 241.0000000000
5 285.0000000000
6 317.0000000000
7 336.0000000000
8 356.0000000000
9 366.0000000000
10 382.0000000000
100000 -1.0000000000
evaluations raw_y
1 43.0000000000
2 118.0000000000
3 142.0000000000
4 198.0000000000
5 242.0000000000
6 281.0000000000
7 313.0000000000
8 340.0000000000
9 360.0000000000
10 376.0000000000
100000 -1.0000000000
evaluations raw_y
1 85.0000000000
2 147.0000000000
3 191.0000000000
4 234.0000000000
5 287.0000000000
6 311.0000000000
7 341.0000000000
8 358.0000000000
9 384.0000000000
10 395.0000000000
100000 -1.0000000000
evaluations raw_y
1 48.0000000000
2 106.0000000000
3 171.0000000000
4 222.0000000000
5 253.0000000000
6 291.0000000000
7 329.0000000000
8 347.0000000000
9 373.0000000000
10 398.0000000000
100000 -1.0000000000
evaluations raw_y
1 85.0000000000
2 150.0000000000
3 187.0000000000
4 228.0000000000
5 252.0000000000
6 284.0000000000
8 309.0000000000
9 323.0000000000
10 338.0000000000
11 357.0000000000
100000 -1.0000000000
evaluations raw_y
1 100.0000000000
2 134.0000000000
3 202.0000000000
4 232.0000000000
5 283.0000000000
6 308.0000000000
7 321.0000000000
8 335.0000000000
9 351.0000000000
10 369.0000000000
100000 -1.0000000000
evaluations raw_y
1 70.0000000000
2 119.0000000000
3 186.0000000000
4 240.0000000000
5 293.0000000000
6 319.0000000000
7 338.0000000000
8 359.0000000000
9 365.0000000000
10 378.0000000000
100000 -1.0000000000
evaluations raw_y
1 98.0000000000
2 137.0000000000
3 177.0000000000
4 229.0000000000
5 263.0000000000
6 277.0000000000
7 320.0000000000
8 366.0000000000
9 388.0000000000
10 399.0000000000
100000 -1.0000000000
evaluations raw_y
1 70.0000000000
2 138.0000000000
3 194.0000000000
4 227.0000000000
5 277.0000000000
6 311.0000000000
7 336.0000000000
8 360.0000000000
9 378.0000000000
10 385.0000000000
100000 -1.0000000000
