evaluations raw_y
1 22.3000000000
2 24.7500000000
3 25.1100000000
4 43.3400000000
5 57.3700000000
6 68.1400000000
7 71.2000000000
8 82.8600000000
9 102.5000000000
13 109.3400000000
14 125.8700000000
15 136.8400000000
17 142.9000000000
19 145.0900000000
20 150.2600000000
21 164.2900000000
23 167.9200000000
24 191.0000000000
25 200.3000000000
34 206.8900000000
36 214.2500000000
39 240.8600000000
59 256.5200000000
68 256.5800000000
95 260.6200000000
98 267.2900000000
112 273.8500000000
113 283.8600000000
115 290.1000000000
116 292.1100000000
117 327.8900000000
144 330.8700000000
148 331.2400000000
154 335.1700000000
155 341.7400000000
159 352.4300000000
171 353.1800000000
175 361.0900000000
177 364.0300000000
178 364.1100000000
180 364.7600000000
185 369.7600000000
186 382.9500000000
187 387.1400000000
188 397.0300000000
190 397.8200000000
191 399.1400000000
197 410.1900000000
199 418.2900000000
201 422.9500000000
205 433.3400000000
210 437.3300000000
214 448.4300000000
222 448.7900000000
233 450.1400000000
234 455.5900000000
240 468.0600000000
250 474.6100000000
253 475.9300000000
254 491.7200000000
256 495.7100000000
257 499.8100000000
258 517.8900000000
271 534.4200000000
277 535.4500000000
283 541.2700000000
291 554.6200000000
297 561.5900000000
313 563.2000000000
316 565.0200000000
318 566.3600000000
326 570.7600000000
330 586.6000000000
340 594.1900000000
341 602.1300000000
345 602.2700000000
348 605.9300000000
349 610.5000000000
352 613.4500000000
354 613.5800000000
355 618.0600000000
358 624.1400000000
359 625.4800000000
360 641.6000000000
361 653.8300000000
407 710.1000000000
411 712.3600000000
412 726.5800000000
415 747.5900000000
433 828.5400000000
435 837.0700000000
472 840.7000000000
485 854.3800000000
526 859.5300000000
539 869.3300000000
669 875.7900000000
1114 877.6700000000
1135 886.3400000000
1136 909.6700000000
1137 917.3900000000
1147 918.7400000000
1153 919.2500000000
1154 923.6300000000
1155 931.1300000000
1338 934.7900000000
1340 944.9300000000
26344 945.9000000000
26380 962.2500000000
100000 -1.0000000000
evaluations raw_y
1 20.3600000000
2 27.6400000000
3 30.2800000000
4 38.6300000000
5 44.5200000000
6 84.6000000000
8 95.0300000000
9 98.4600000000
10 104.4200000000
12 111.1300000000
13 119.5700000000
14 127.6400000000
16 142.1800000000
17 152.8800000000
18 153.8900000000
19 163.7900000000
20 174.0400000000
21 183.4800000000
22 185.4600000000
24 189.9000000000
25 191.7400000000
26 192.2600000000
27 211.0700000000
28 216.2600000000
29 238.8700000000
31 265.6600000000
185 274.9700000000
191 278.5400000000
198 285.1300000000
202 301.1500000000
217 318.2300000000
223 320.4600000000
233 328.9800000000
285 333.8500000000
287 334.5500000000
288 344.5600000000
289 346.8700000000
290 354.5300000000
293 365.9400000000
297 366.1800000000
298 381.2900000000
304 383.1300000000
306 392.8400000000
315 414.2000000000
355 419.2400000000
407 422.9500000000
428 433.4200000000
430 443.7900000000
432 445.7000000000
434 462.1100000000
435 468.9700000000
441 472.3500000000
460 475.2900000000
465 482.2400000000
488 486.8200000000
490 514.0200000000
511 521.5100000000
548 527.8900000000
621 546.7300000000
771 592.5500000000
772 600.5500000000
773 610.9800000000
774 613.7800000000
775 629.9700000000
778 631.0200000000
779 654.0700000000
834 664.3600000000
1333 675.3800000000
1798 733.2800000000
1799 749.9200000000
1815 762.0600000000
1918 763.8300000000
1983 765.0100000000
1985 766.4400000000
1999 766.6200000000
2000 766.6700000000
2001 779.9100000000
2007 799.2100000000
2026 801.6800000000
2030 812.9900000000
2032 822.3400000000
2037 836.3600000000
2158 842.3600000000
2198 875.9300000000
2199 887.9800000000
2200 888.0000000000
2202 901.4400000000
2206 917.3000000000
2207 921.3800000000
2251 927.5000000000
2258 933.7400000000
2303 942.7000000000
2702 944.4200000000
2837 960.6100000000
3313 961.8700000000
3335 968.0400000000
3375 969.2800000000
3404 973.2600000000
3429 977.5200000000
3539 980.9900000000
4707 984.0900000000
4714 988.7400000000
34206 992.4800000000
35117 992.5900000000
47360 994.1700000000
47655 1050.8400000000
47725 1063.2100000000
47729 1072.4100000000
48898 1082.6200000000
48902 1087.4200000000
100000 -1.0000000000
evaluations raw_y
1 14.1600000000
2 24.4600000000
3 26.9400000000
4 47.7400000000
6 52.0300000000
10 54.4600000000
11 69.2700000000
13 69.7100000000
15 93.5000000000
19 101.5700000000
20 117.0100000000
21 139.1900000000
23 141.4500000000
24 144.4600000000
25 151.9800000000
26 169.3900000000
29 178.0500000000
30 185.4400000000
31 186.5300000000
32 200.3600000000
34 207.3300000000
35 217.6900000000
36 229.6400000000
37 241.3300000000
38 265.7600000000
52 270.2000000000
54 275.0000000000
55 284.1700000000
63 290.4700000000
64 299.7100000000
65 314.6000000000
66 315.7500000000
71 335.7600000000
73 340.7400000000
75 360.4500000000
78 368.9200000000
81 371.5500000000
92 379.9800000000
103 390.0600000000
109 394.0400000000
110 394.4800000000
112 407.0700000000
115 414.4800000000
117 416.1500000000
120 435.4600000000
129 441.8400000000
131 448.2300000000
137 456.3800000000
149 464.5200000000
151 468.3100000000
187 468.3700000000
191 477.5600000000
192 481.4000000000
194 496.0100000000
195 506.4000000000
199 507.7100000000
200 517.4600000000
203 517.7600000000
205 518.9600000000
206 533.3500000000
211 538.5900000000
213 544.3800000000
214 556.8300000000
215 560.0900000000
226 564.8900000000
227 565.6100000000
228 574.4100000000
229 594.9300000000
231 602.2200000000
260 614.1800000000
398 617.0500000000
413 620.1600000000
473 621.4200000000
492 624.3100000000
501 638.4200000000
510 638.6200000000
543 640.0400000000
