evaluations raw_y
1 0.6148548942
2 1.4450867052
3 1.5151515152
5 1.6425755585
8 1.7531556802
34 1.9747235387
145 2.1367521368
317 2.1663778163
1471 2.2603978300
1689 2.3629489603
1846 2.8868360277
25751 2.9411764706
26736 3.0562347188
125000 1.1737089202
evaluations raw_y
1 0.7543753772
2 1.2291052114
7 1.5151515152
29 1.6960651289
33 2.0000000000
116 2.0525451560
214 2.0798668885
682 2.3629489603
755 2.5987525988
2037 2.6881720430
4969 2.8344671202
22558 2.9976019185
22777 3.0562347188
42457 3.3875338753
125000 1.0072522160
evaluations raw_y
1 0.8261731659
2 1.2388503469
4 1.3116474292
5 1.4188422247
16 1.4450867052
23 1.7531556802
25 1.8355359765
202 1.9260400616
266 1.9500780031
488 2.1663778163
892 2.1968365554
1362 2.2603978300
1385 2.3992322457
1991 2.4752475248
5121 2.6427061311
5856 2.9411764706
6526 2.9976019185
73266 3.0562347188
103759 3.1806615776
125000 0.9758001561
evaluations raw_y
1 1.5605493134
4 1.6254876463
9 2.0525451560
136 2.1367521368
511 2.1663778163
1297 2.3992322457
1311 2.5150905433
1968 2.5562372188
6047 2.6427061311
6950 3.1806615776
125000 1.2291052114
evaluations raw_y
1 1.2007684918
3 1.3227513228
11 1.3691128149
12 1.5006002401
23 1.5762925599
33 1.7146776406
64 1.7934002869
84 2.5987525988
2262 2.8868360277
6453 2.9411764706
72480 2.9976019185
75745 3.1806615776
91207 3.3875338753
125000 1.1563367253
evaluations raw_y
1 1.0841283608
2 1.3007284079
7 1.5605493134
9 1.5762925599
19 1.7730496454
92 1.8355359765
109 2.0798668885
250 2.1968365554
256 2.2281639929
1287 2.4752475248
3680 2.5987525988
3794 2.6881720430
7654 2.8344671202
24379 3.1806615776
121304 3.2467532468
125000 0.9405568096
evaluations raw_y
1 1.0548523207
2 1.1563367253
5 1.2007684918
6 1.3691128149
19 1.6425755585
53 2.1079258010
61 2.1663778163
230 2.4366471735
258 2.5987525988
680 2.7352297593
4010 2.9411764706
14227 3.0562347188
62881 3.3156498674
114718 3.5410764873
125000 1.1649580615
evaluations raw_y
1 1.2100677638
4 2.0525451560
190 2.0798668885
279 2.5150905433
1149 2.5987525988
1372 2.6427061311
6457 2.8868360277
55205 2.9976019185
72373 3.1806615776
125000 0.7654623393
evaluations raw_y
1 1.8355359765
198 2.1079258010
773 2.6427061311
6797 3.1806615776
125000 1.4863258026
evaluations raw_y
1 1.0072522160
4 1.2007684918
5 1.2195121951
7 1.2899896801
10 1.3227513228
15 1.3572204126
19 1.8142235123
120 1.9260400616
168 2.0798668885
230 2.2281639929
848 2.4752475248
1324 2.5150905433
2829 2.6881720430
7233 2.7839643653
18646 2.8344671202
20526 2.9411764706
59373 2.9976019185
66047 3.0562347188
117362 3.4626038781
125000 1.6778523490
