evaluations raw_y
1 0.0000000000
2 1.0000000000
3 3.0000000000
12 4.0000000000
28 5.0000000000
102 6.0000000000
105 7.0000000000
384 8.0000000000
1301 10.0000000000
4385 16.0000000000
68261 17.0000000000
125000 0.0000000000
evaluations raw_y
1 1.0000000000
5 2.0000000000
6 3.0000000000
15 4.0000000000
65 5.0000000000
106 8.0000000000
182 9.0000000000
875 10.0000000000
3380 12.0000000000
3834 13.0000000000
11135 15.0000000000
11525 20.0000000000
125000 0.0000000000
evaluations raw_y
1 4.0000000000
32 7.0000000000
53 9.0000000000
2538 10.0000000000
5477 11.0000000000
16235 13.0000000000
18118 15.0000000000
125000 0.0000000000
evaluations raw_y
1 2.0000000000
3 3.0000000000
13 5.0000000000
29 6.0000000000
196 8.0000000000
1021 10.0000000000
12058 12.0000000000
21368 13.0000000000
82423 17.0000000000
125000 1.0000000000
evaluations raw_y
1 5.0000000000
252 6.0000000000
282 7.0000000000
292 9.0000000000
522 10.0000000000
599 14.0000000000
6500 15.0000000000
14225 18.0000000000
125000 0.0000000000
evaluations raw_y
1 2.0000000000
6 3.0000000000
28 4.0000000000
42 5.0000000000
120 6.0000000000
500 10.0000000000
4743 11.0000000000
7335 12.0000000000
10641 13.0000000000
58296 19.0000000000
125000 1.0000000000
evaluations raw_y
1 2.0000000000
20 3.0000000000
23 5.0000000000
67 7.0000000000
112 10.0000000000
4023 11.0000000000
6222 13.0000000000
17478 14.0000000000
37451 16.0000000000
76070 17.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
9 2.0000000000
13 7.0000000000
17 8.0000000000
936 9.0000000000
1922 10.0000000000
3685 11.0000000000
8616 12.0000000000
17590 14.0000000000
29422 17.0000000000
125000 1.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
4 7.0000000000
7 8.0000000000
297 9.0000000000
588 11.0000000000
5056 14.0000000000
6783 15.0000000000
125000 1.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
4 3.0000000000
12 4.0000000000
57 5.0000000000
59 8.0000000000
263 13.0000000000
10066 14.0000000000
85997 15.0000000000
105070 16.0000000000
118157 17.0000000000
125000 1.0000000000
