evaluations raw_y
1 23.0000000000
3 24.0000000000
4 29.0000000000
17 32.0000000000
34 35.0000000000
890 36.0000000000
5104 39.0000000000
125000 20.0000000000
evaluations raw_y
1 24.0000000000
2 27.0000000000
5 30.0000000000
22 32.0000000000
70 33.0000000000
652 35.0000000000
702 37.0000000000
3595 38.0000000000
5360 39.0000000000
21679 41.0000000000
125000 31.0000000000
evaluations raw_y
1 29.0000000000
9 31.0000000000
52 32.0000000000
145 33.0000000000
146 34.0000000000
927 35.0000000000
1798 36.0000000000
5824 37.0000000000
34605 38.0000000000
80985 40.0000000000
105243 41.0000000000
125000 30.0000000000
evaluations raw_y
1 29.0000000000
11 34.0000000000
40 37.0000000000
3032 38.0000000000
50076 39.0000000000
50855 40.0000000000
125000 32.0000000000
evaluations raw_y
1 24.0000000000
3 29.0000000000
13 34.0000000000
37 35.0000000000
2755 36.0000000000
6697 37.0000000000
9991 38.0000000000
15438 39.0000000000
125000 21.0000000000
evaluations raw_y
1 21.0000000000
2 26.0000000000
4 28.0000000000
5 29.0000000000
10 34.0000000000
51 36.0000000000
2435 37.0000000000
5647 39.0000000000
51226 40.0000000000
125000 22.0000000000
evaluations raw_y
1 23.0000000000
2 31.0000000000
37 32.0000000000
78 37.0000000000
4720 38.0000000000
10542 39.0000000000
40126 40.0000000000
125000 32.0000000000
evaluations raw_y
1 26.0000000000
8 31.0000000000
14 32.0000000000
120 34.0000000000
121 35.0000000000
1249 38.0000000000
49378 39.0000000000
125000 29.0000000000
evaluations raw_y
1 22.0000000000
2 31.0000000000
5 32.0000000000
32 33.0000000000
187 36.0000000000
1803 40.0000000000
125000 28.0000000000
evaluations raw_y
1 21.0000000000
2 23.0000000000
4 27.0000000000
8 31.0000000000
53 33.0000000000
282 35.0000000000
1266 36.0000000000
6559 37.0000000000
15651 39.0000000000
125000 25.0000000000
