evaluations raw_y
1 50.0000000000
4 52.0000000000
5 53.0000000000
14 54.0000000000
18 58.0000000000
20 62.0000000000
35 64.0000000000
486 66.0000000000
2335 67.0000000000
5976 69.0000000000
10000 46.0000000000
evaluations raw_y
1 40.0000000000
2 41.0000000000
3 47.0000000000
6 50.0000000000
10 54.0000000000
19 57.0000000000
37 60.0000000000
57 62.0000000000
150 63.0000000000
156 64.0000000000
859 65.0000000000
1812 69.0000000000
10000 50.0000000000
evaluations raw_y
1 45.0000000000
2 51.0000000000
4 57.0000000000
63 58.0000000000
75 64.0000000000
610 67.0000000000
7943 68.0000000000
10000 43.0000000000
evaluations raw_y
1 55.0000000000
3 57.0000000000
10 58.0000000000
24 63.0000000000
439 65.0000000000
6330 67.0000000000
10000 58.0000000000
evaluations raw_y
1 62.0000000000
168 63.0000000000
222 66.0000000000
5063 67.0000000000
6763 69.0000000000
10000 48.0000000000
evaluations raw_y
1 45.0000000000
2 52.0000000000
5 56.0000000000
13 58.0000000000
28 59.0000000000
29 61.0000000000
48 65.0000000000
49 69.0000000000
10000 44.0000000000
evaluations raw_y
1 54.0000000000
6 57.0000000000
18 58.0000000000
44 63.0000000000
72 65.0000000000
433 66.0000000000
1615 68.0000000000
5998 69.0000000000
6782 70.0000000000
9605 71.0000000000
10000 47.0000000000
evaluations raw_y
1 51.0000000000
3 54.0000000000
15 58.0000000000
49 60.0000000000
87 63.0000000000
162 65.0000000000
1198 66.0000000000
4757 67.0000000000
5964 69.0000000000
10000 43.0000000000
evaluations raw_y
1 55.0000000000
7 59.0000000000
9 62.0000000000
24 65.0000000000
895 66.0000000000
5253 67.0000000000
8023 69.0000000000
10000 44.0000000000
evaluations raw_y
1 51.0000000000
4 55.0000000000
6 59.0000000000
107 60.0000000000
275 64.0000000000
638 66.0000000000
2889 68.0000000000
10000 55.0000000000
evaluations raw_y
1 54.0000000000
6 58.0000000000
41 59.0000000000
44 60.0000000000
96 61.0000000000
113 62.0000000000
527 64.0000000000
1059 66.0000000000
1940 67.0000000000
4437 70.0000000000
9185 71.0000000000
10000 56.0000000000
evaluations raw_y
1 51.0000000000
2 53.0000000000
7 54.0000000000
8 55.0000000000
14 58.0000000000
39 60.0000000000
149 63.0000000000
775 64.0000000000
3180 66.0000000000
3332 67.0000000000
7391 71.0000000000
10000 54.0000000000
evaluations raw_y
1 49.0000000000
7 60.0000000000
35 64.0000000000
125 65.0000000000
1531 71.0000000000
10000 54.0000000000
evaluations raw_y
1 52.0000000000
4 57.0000000000
28 59.0000000000
101 62.0000000000
327 64.0000000000
430 65.0000000000
4541 68.0000000000
6277 70.0000000000
10000 44.0000000000
evaluations raw_y
1 48.0000000000
7 55.0000000000
8 62.0000000000
37 63.0000000000
347 64.0000000000
1150 65.0000000000
2815 69.0000000000
10000 48.0000000000
evaluations raw_y
1 54.0000000000
4 56.0000000000
5 59.0000000000
17 63.0000000000
399 65.0000000000
1539 68.0000000000
10000 43.0000000000
evaluations raw_y
1 41.0000000000
2 47.0000000000
3 54.0000000000
4 62.0000000000
158 66.0000000000
781 69.0000000000
6908 71.0000000000
10000 54.0000000000
evaluations raw_y
1 59.0000000000
7 61.0000000000
123 62.0000000000
166 64.0000000000
425 65.0000000000
1501 67.0000000000
2719 70.0000000000
7980 71.0000000000
10000 47.0000000000
evaluations raw_y
1 61.0000000000
65 63.0000000000
165 66.0000000000
1187 69.0000000000
10000 44.0000000000
evaluations raw_y
1 51.0000000000
2 52.0000000000
6 61.0000000000
157 63.0000000000
273 64.0000000000
743 67.0000000000
3807 69.0000000000
5579 72.0000000000
10000 57.0000000000
