evaluations raw_y
1 0.9560229446
3 1.1175681717
4 1.8288222385
113 1.8477457502
430 1.8726591760
1229 1.9334880124
3642 2.0341741253
3969 2.1645021645
10000 1.1027790031
evaluations raw_y
1 1.1027790031
10 1.1731581417
18 1.2946659762
24 1.6286644951
104 1.6655562958
354 1.7397355602
539 1.9040365575
586 1.9186492709
1977 1.9952114924
10000 0.7964319847
evaluations raw_y
1 1.4037057833
11 1.4628437683
15 1.5422578655
18 1.5576323988
52 1.5673981191
62 1.5893197711
74 1.6035920462
207 1.6655562958
264 1.6722408027
810 1.7111567420
904 1.7135023989
1011 1.9577133908
1041 2.0308692120
4328 2.0441537204
10000 1.6181229773
evaluations raw_y
1 1.1899095669
3 1.4359563469
39 1.5033072760
303 1.7921146953
304 1.8782870023
2564 1.8839487566
2583 1.9040365575
3172 2.0145044319
10000 1.3835085778
evaluations raw_y
1 0.9359790341
2 1.0808473843
4 1.3376136972
5 1.3789299504
29 1.4526438117
51 1.4697236919
57 1.5087507544
75 1.5933715743
189 1.6949152542
197 1.8726591760
1723 1.8782870023
2292 1.9394879752
4705 2.0210185934
5955 2.0610057708
10000 1.0950503723
evaluations raw_y
1 1.4068655037
2 1.5142337977
13 1.6414970453
127 1.8288222385
526 1.8422991894
1183 1.9920318725
1666 2.0441537204
4740 2.3169601483
10000 1.2071463061
evaluations raw_y
1 1.1389521640
2 1.6015374760
31 1.6097875080
35 1.6835016835
79 1.9455252918
559 2.0242914980
2393 2.0275750203
7903 2.1168501270
10000 1.1786892975
evaluations raw_y
1 0.8989572096
2 1.0734220696
3 1.1410314925
5 1.3290802764
8 1.4961101137
22 1.7205781142
248 1.8288222385
920 1.9305019305
2529 1.9425019425
8715 2.0112630732
10000 1.4943215780
evaluations raw_y
1 1.0517458982
2 1.2260912212
8 1.5499070056
27 1.7818959373
315 1.8642803878
353 1.8782870023
1367 1.9731649566
10000 0.5858917272
evaluations raw_y
1 1.1235955056
6 1.2518778167
15 1.4731879788
19 1.6722408027
72 1.6812373907
85 1.6835016835
148 1.7277125086
319 1.7397355602
1071 1.9920318725
1395 2.0576131687
3539 2.2222222222
10000 1.0012014417
evaluations raw_y
1 1.0893246187
5 1.1753643630
10 1.4310246136
31 1.4442518775
72 1.5328019620
107 1.5460729746
122 1.6118633140
267 1.6972165648
650 1.7277125086
715 1.8867924528
2202 1.9577133908
10000 1.1307100859
evaluations raw_y
1 0.6421782687
2 0.8887308923
3 1.4943215780
18 1.5499070056
85 1.8726591760
213 2.0475020475
5311 2.0781379884
5916 2.1422450728
10000 1.1731581417
evaluations raw_y
1 1.2013455070
5 1.2933264356
6 1.6414970453
17 1.6995241332
62 1.7470300489
162 1.9394879752
3381 2.0885547201
10000 1.2406947891
evaluations raw_y
1 0.9114108640
2 1.3361838589
9 1.4021312395
38 1.8953752843
3010 2.0048115477
3946 2.0955574183
10000 1.0455876202
evaluations raw_y
1 0.5403068943
2 0.8653513326
3 1.0725010725
6 1.2518778167
7 1.3491635186
32 1.4148273911
55 2.0210185934
384 2.1312872975
10000 0.8647526807
evaluations raw_y
1 0.7252683493
2 0.8275405495
4 1.0334849111
5 1.3262599469
7 1.4196479273
18 1.4409221902
62 1.5051173992
121 1.6139444803
136 1.9069412662
7947 1.9857029388
9467 2.0441537204
10000 1.1967448540
evaluations raw_y
1 1.1526048870
4 1.2556504269
17 1.4819205691
18 1.5179113540
51 1.9825535289
683 2.0475020475
3909 2.0850708924
6141 2.1496130696
10000 1.4310246136
evaluations raw_y
1 0.8976660682
5 1.0998680158
6 1.1644154634
14 1.7088174983
139 1.7743080199
352 1.8234865062
872 1.9127773527
3322 1.9485580670
3421 2.0781379884
8987 2.2831050228
10000 0.9015506671
evaluations raw_y
1 1.1831519167
9 1.2048192771
11 1.4068655037
15 1.4245014245
16 1.4836795252
33 1.7253278123
271 1.8129079043
345 2.0210185934
8640 2.2461814915
10000 0.9140767824
evaluations raw_y
1 1.1504832029
3 1.2531328321
7 1.3419216318
29 1.6700066800
44 1.7182130584
255 1.7946877243
540 1.9305019305
1542 2.0210185934
7960 2.1987686895
10000 1.3433637829
