evaluations raw_y
1 -229.0000000000
4 -228.0000000000
13 -227.0000000000
56 -225.0000000000
340 -224.0000000000
346 -223.0000000000
1283 -222.0000000000
1951 -221.0000000000
4909 -219.0000000000
8682 -218.0000000000
10000 -232.0000000000
evaluations raw_y
1 -215.0000000000
19 -214.0000000000
24 -213.0000000000
48 -211.0000000000
55 -210.0000000000
271 -209.0000000000
689 -208.0000000000
1761 -207.0000000000
2735 -206.0000000000
3139 -205.0000000000
5006 -204.0000000000
10000 -213.0000000000
evaluations raw_y
1 -221.0000000000
4 -219.0000000000
16 -218.0000000000
49 -217.0000000000
175 -216.0000000000
262 -215.0000000000
972 -213.0000000000
1561 -212.0000000000
6430 -211.0000000000
10000 -223.0000000000
evaluations raw_y
1 -203.0000000000
4 -202.0000000000
24 -200.0000000000
99 -199.0000000000
144 -198.0000000000
171 -197.0000000000
260 -196.0000000000
388 -195.0000000000
1787 -194.0000000000
3203 -193.0000000000
4322 -192.0000000000
4378 -190.0000000000
6482 -189.0000000000
10000 -202.0000000000
evaluations raw_y
1 -224.0000000000
2 -223.0000000000
9 -222.0000000000
43 -220.0000000000
203 -219.0000000000
271 -216.0000000000
1125 -214.0000000000
4223 -213.0000000000
4718 -212.0000000000
10000 -226.0000000000
evaluations raw_y
1 -219.0000000000
2 -217.0000000000
11 -216.0000000000
24 -214.0000000000
31 -213.0000000000
39 -212.0000000000
120 -211.0000000000
266 -210.0000000000
488 -208.0000000000
673 -207.0000000000
750 -206.0000000000
7089 -205.0000000000
10000 -218.0000000000
evaluations raw_y
1 -212.0000000000
3 -211.0000000000
4 -210.0000000000
6 -209.0000000000
66 -207.0000000000
176 -206.0000000000
2526 -205.0000000000
3296 -200.0000000000
10000 -212.0000000000
evaluations raw_y
1 -219.0000000000
2 -218.0000000000
3 -216.0000000000
21 -215.0000000000
40 -212.0000000000
52 -210.0000000000
1018 -208.0000000000
3096 -207.0000000000
8855 -206.0000000000
10000 -218.0000000000
evaluations raw_y
1 -211.0000000000
4 -210.0000000000
47 -208.0000000000
135 -207.0000000000
197 -206.0000000000
223 -205.0000000000
3826 -204.0000000000
5779 -203.0000000000
10000 -208.0000000000
evaluations raw_y
1 -199.0000000000
2 -198.0000000000
12 -197.0000000000
21 -195.0000000000
26 -194.0000000000
284 -192.0000000000
893 -191.0000000000
3096 -190.0000000000
10000 -197.0000000000
evaluations raw_y
1 -208.0000000000
9 -207.0000000000
24 -206.0000000000
88 -205.0000000000
430 -204.0000000000
695 -203.0000000000
917 -202.0000000000
1706 -201.0000000000
3866 -199.0000000000
6877 -198.0000000000
10000 -206.0000000000
evaluations raw_y
1 -225.0000000000
3 -224.0000000000
10 -222.0000000000
13 -220.0000000000
93 -219.0000000000
189 -217.0000000000
2442 -216.0000000000
3366 -215.0000000000
5427 -214.0000000000
5983 -213.0000000000
10000 -226.0000000000
evaluations raw_y
1 -215.0000000000
12 -213.0000000000
147 -212.0000000000
199 -211.0000000000
608 -210.0000000000
1232 -209.0000000000
1304 -207.0000000000
1789 -206.0000000000
6576 -205.0000000000
10000 -216.0000000000
evaluations raw_y
1 -210.0000000000
2 -209.0000000000
4 -206.0000000000
42 -205.0000000000
227 -202.0000000000
842 -201.0000000000
1779 -200.0000000000
4003 -199.0000000000
6443 -196.0000000000
8527 -195.0000000000
10000 -211.0000000000
evaluations raw_y
1 -217.0000000000
19 -216.0000000000
69 -215.0000000000
198 -214.0000000000
288 -213.0000000000
766 -212.0000000000
1916 -211.0000000000
2799 -210.0000000000
4628 -209.0000000000
9925 -208.0000000000
10000 -223.0000000000
evaluations raw_y
1 -228.0000000000
4 -227.0000000000
20 -226.0000000000
23 -225.0000000000
64 -224.0000000000
344 -221.0000000000
631 -220.0000000000
1743 -219.0000000000
5587 -218.0000000000
10000 -221.0000000000
evaluations raw_y
1 -228.0000000000
2 -227.0000000000
4 -226.0000000000
19 -225.0000000000
30 -224.0000000000
31 -222.0000000000
46 -221.0000000000
427 -220.0000000000
859 -217.0000000000
4811 -214.0000000000
8638 -213.0000000000
10000 -224.0000000000
evaluations raw_y
1 -217.0000000000
7 -216.0000000000
20 -215.0000000000
29 -214.0000000000
47 -213.0000000000
301 -211.0000000000
791 -210.0000000000
961 -209.0000000000
968 -208.0000000000
2490 -207.0000000000
10000 -215.0000000000
evaluations raw_y
1 -206.0000000000
5 -204.0000000000
40 -203.0000000000
45 -202.0000000000
182 -201.0000000000
235 -200.0000000000
394 -199.0000000000
613 -198.0000000000
901 -197.0000000000
1480 -196.0000000000
10000 -207.0000000000
evaluations raw_y
1 -229.0000000000
23 -228.0000000000
33 -227.0000000000
41 -226.0000000000
63 -225.0000000000
155 -224.0000000000
476 -223.0000000000
1040 -222.0000000000
1808 -221.0000000000
2055 -220.0000000000
3170 -219.0000000000
5745 -218.0000000000
10000 -228.0000000000
evaluations raw_y
1 -212.0000000000
3 -211.0000000000
14 -210.0000000000
63 -209.0000000000
71 -208.0000000000
115 -207.0000000000
131 -206.0000000000
490 -205.0000000000
882 -204.0000000000
1730 -203.0000000000
6954 -202.0000000000
10000 -212.0000000000
evaluations raw_y
1 -219.0000000000
4 -218.0000000000
16 -217.0000000000
83 -214.0000000000
191 -213.0000000000
966 -211.0000000000
3383 -210.0000000000
8814 -209.0000000000
10000 -223.0000000000
evaluations raw_y
1 -231.0000000000
9 -230.0000000000
12 -229.0000000000
25 -228.0000000000
31 -226.0000000000
48 -225.0000000000
166 -224.0000000000
340 -223.0000000000
563 -220.0000000000
1156 -219.0000000000
1934 -218.0000000000
4286 -216.0000000000
10000 -233.0000000000
evaluations raw_y
1 -215.0000000000
8 -214.0000000000
11 -213.0000000000
46 -211.0000000000
278 -210.0000000000
433 -209.0000000000
1008 -208.0000000000
1503 -207.0000000000
4225 -202.0000000000
10000 -213.0000000000
evaluations raw_y
1 -223.0000000000
13 -222.0000000000
22 -221.0000000000
59 -220.0000000000
82 -218.0000000000
511 -217.0000000000
832 -216.0000000000
1579 -215.0000000000
2993 -213.0000000000
10000 -222.0000000000
evaluations raw_y
1 -209.0000000000
4 -208.0000000000
21 -207.0000000000
38 -206.0000000000
47 -205.0000000000
169 -204.0000000000
283 -203.0000000000
1111 -202.0000000000
1942 -201.0000000000
3666 -200.0000000000
