evaluations raw_y
1 1.1276499774
3 1.2456402591
16 1.3137151865
18 1.5634771732
37 1.6223231668
50 1.6589250166
60 1.7111567420
73 1.8782870023
75 1.9364833462
84 1.9762845850
111 2.0542317173
144 2.1570319241
149 2.2261798753
178 2.3386342376
220 2.3786869648
297 2.4777006938
319 2.5025025025
489 2.8571428571
513 3.1367628607
526 3.1928480204
553 3.2851511170
616 3.3647375505
763 3.5663338088
1400 3.5971223022
1505 3.6179450072
1522 3.6390101892
1568 3.7147102526
1571 3.7821482602
1756 3.9619651347
100000 3.3921302578
evaluations raw_y
1 1.1956001913
8 1.3137151865
18 1.5142337977
19 1.6567263088
24 1.6812373907
37 1.8953752843
44 2.0408163265
57 2.2104332449
125 2.2222222222
148 2.3607176582
166 2.3651844844
171 2.4015369837
177 2.5746652935
214 2.5799793602
237 2.6068821689
300 2.6343519494
371 3.0012004802
511 3.0376670717
532 3.0450669915
720 3.4770514604
1132 3.5561877667
1231 3.6927621861
100000 2.9797377831
evaluations raw_y
1 0.8558712770
2 1.0044194456
3 1.0300782859
4 1.0438413361
6 1.1515430677
10 1.3564839935
12 1.5595757954
30 1.5812776724
32 1.6611295681
40 1.6995241332
45 1.7325017325
50 1.8261504748
66 2.1026072330
76 2.1276595745
103 2.4015369837
133 2.6178010471
155 2.6680896478
238 2.6852846402
267 2.7027027027
268 2.7685492802
277 2.9308323564
353 2.9655990510
424 3.0450669915
544 3.3829499323
624 3.4482758621
738 3.5765379113
850 3.6710719530
18710 3.6927621861
82756 3.7037037037
100000 3.2509752926
evaluations raw_y
1 0.9214891264
2 1.2083131948
4 1.2619888945
11 1.2906556531
20 1.3137151865
34 1.4961101137
35 1.6265452180
41 1.7470300489
49 1.9069412662
68 2.0145044319
94 2.0308692120
141 2.1682567216
143 2.3126734505
153 2.3299161230
156 2.3877745941
201 2.4015369837
208 2.4061597690
223 2.4154589372
231 2.4390243902
257 2.5125628141
263 2.6123301985
302 2.8441410694
507 2.9036004646
562 2.9239766082
581 3.1210986267
758 3.1289111389
854 3.3738191633
1408 3.3829499323
1597 3.3921302578
1662 3.4013605442
1703 3.4106412005
1786 3.4199726402
1810 3.6075036075
21818 3.7369207773
21948 3.8051750381
22268 4.0128410915
39007 4.0916530278
49715 4.1459369818
100000 3.0012004802
evaluations raw_y
1 1.0561892691
4 1.4132278123
9 1.8341892883
21 1.8670649739
40 1.9011406844
54 1.9394879752
55 1.9485580670
66 2.1720243267
81 2.2421524664
93 2.4108003857
123 2.6178010471
214 2.8121484814
256 2.8702640643
268 3.0156815440
624 3.1446540881
629 3.2341526520
656 3.6818851252
100000 3.6818851252
evaluations raw_y
1 1.4801657786
9 1.6926201760
31 1.7667844523
35 1.8782870023
40 2.1422450728
95 2.1910604733
101 2.1987686895
105 2.2914757104
112 2.4248302619
223 2.5176233635
277 2.8184892897
340 2.9868578256
465 3.0978934325
495 3.1210986267
575 3.1446540881
578 3.2175032175
584 3.6179450072
1540 3.7369207773
17337 4.0916530278
17353 4.1050903120
17398 4.2016806723
17424 4.2158516020
59864 4.2444821732
100000 2.9171528588
evaluations raw_y
1 1.1195700851
2 1.1348161598
3 1.2141816416
7 1.2658227848
14 1.2919896641
24 1.3054830287
30 1.6118633140
48 1.8050541516
70 1.8234865062
73 1.8532246108
74 1.8896447468
100 2.0080321285
106 2.0177562550
111 2.1168501270
141 2.1910604733
197 2.3126734505
208 2.3169601483
224 2.4875621891
311 2.5746652935
333 2.9585798817
339 2.9797377831
382 3.4106412005
431 3.5161744023
506 3.5460992908
589 3.6390101892
603 3.6927621861
623 3.8167938931
641 3.9494470774
650 3.9872408293
6568 4.2589437819
100000 4.2589437819
evaluations raw_y
1 0.5683109798
2 1.4766686356
4 1.6371971185
13 1.6414970453
16 1.7349063151
35 1.8477457502
53 2.0475020475
73 2.1132713440
120 2.2143489814
155 2.5025025025
173 2.5125628141
184 2.5176233635
200 2.5432349949
211 2.5484199796
259 2.5588536336
273 2.6968716289
279 2.7262813522
301 2.7563395810
488 2.8901734104
626 3.0084235860
893 3.1446540881
906 3.1525851198
913 3.2341526520
1010 3.2938076416
1108 3.4106412005
1113 3.4578146611
1183 3.6710719530
1375 3.7257824143
1478 4.1050903120
1801 4.3478260870
1868 4.5207956600
100000 3.5161744023
evaluations raw_y
1 1.4766686356
7 1.5792798484
27 1.5812776724
28 1.6995241332
35 1.9245573518
53 1.9607843137
88 2.0048115477
102 2.1312872975
157 2.1682567216
159 2.3518344309
204 2.4975024975
208 2.8058361392
233 2.8248587571
342 2.9171528588
343 3.1446540881
357 3.3200531208
377 3.6284470247
515 3.7707390649
100000 3.3377837116
evaluations raw_y
1 0.8220979941
2 1.0377750104
6 1.1709601874
9 1.4212620807
18 1.4277555682
20 2.0177562550
27 2.0990764064
36 2.1276595745
41 2.2065313327
49 2.2872827081
53 2.4248302619
59 2.7995520717
165 2.8184892897
189 2.8636884307
255 2.8968713789
287 2.9940119760
290 3.1525851198
369 3.1928480204
631 3.2594524120
1260 3.2851511170
1486 3.2938076416
1600 3.3738191633
1683 3.4578146611
1841 3.6075036075
2348 3.7936267071
2619 3.9001560062
3020 4.2016806723
3139 4.3936731107
3366 4.8169556840
9026 4.9701789264
100000 3.5868005739
