evaluations raw_y
1 7.4000000000
8 7.6000000000
11 8.2000000000
13 9.0000000000
15 9.2000000000
28 9.6000000000
91 10.2000000000
191 10.8000000000
257 11.0000000000
277 11.2000000000
329 12.0000000000
364 12.2000000000
385 12.6000000000
478 12.8000000000
501 13.0000000000
552 13.2000000000
563 13.8000000000
639 14.0000000000
730 14.2000000000
784 14.4000000000
876 14.6000000000
913 14.8000000000
1039 15.0000000000
1200 15.2000000000
1230 15.4000000000
1270 15.6000000000
1372 15.8000000000
1463 16.0000000000
1565 16.2000000000
1716 16.4000000000
1895 16.6000000000
100000 15.6000000000
evaluations raw_y
1 6.2000000000
2 6.6000000000
3 8.0000000000
13 9.2000000000
60 9.4000000000
151 9.6000000000
152 9.8000000000
174 10.8000000000
206 11.0000000000
214 11.8000000000
312 12.0000000000
327 12.4000000000
352 13.0000000000
418 13.4000000000
529 13.8000000000
563 14.0000000000
598 14.2000000000
696 14.4000000000
790 14.6000000000
875 14.8000000000
1003 15.0000000000
1018 15.4000000000
1122 15.8000000000
1288 16.0000000000
1512 16.2000000000
1589 16.4000000000
1668 16.6000000000
1899 16.8000000000
1997 17.0000000000
2289 17.2000000000
100000 16.2000000000
evaluations raw_y
1 8.4000000000
14 8.8000000000
66 9.2000000000
108 10.0000000000
140 10.4000000000
192 10.6000000000
253 11.2000000000
289 11.6000000000
313 11.8000000000
369 12.0000000000
402 12.4000000000
417 12.8000000000
471 13.2000000000
585 13.4000000000
594 13.8000000000
622 14.0000000000
673 14.2000000000
837 14.4000000000
1002 14.6000000000
1096 14.8000000000
1193 15.0000000000
1289 15.2000000000
1319 15.4000000000
1434 15.6000000000
1661 15.8000000000
1729 16.0000000000
2085 16.2000000000
100000 16.0000000000
evaluations raw_y
1 7.4000000000
4 7.6000000000
8 8.0000000000
12 8.6000000000
19 9.2000000000
61 9.8000000000
70 11.0000000000
184 11.2000000000
217 12.0000000000
289 12.2000000000
365 12.4000000000
371 12.6000000000
397 13.0000000000
444 13.4000000000
537 13.6000000000
549 13.8000000000
565 14.0000000000
602 14.2000000000
717 14.6000000000
849 14.8000000000
918 15.2000000000
989 15.4000000000
1056 15.6000000000
1158 15.8000000000
1263 16.0000000000
1313 16.2000000000
1941 16.4000000000
