evaluations raw_y
1 44.0000000000
2 57.0000000000
23 59.0000000000
31 60.0000000000
35 62.0000000000
40 63.0000000000
62 64.0000000000
76 70.0000000000
165 72.0000000000
190 74.0000000000
236 77.0000000000
278 79.0000000000
357 82.0000000000
404 83.0000000000
412 84.0000000000
518 86.0000000000
575 87.0000000000
659 88.0000000000
744 89.0000000000
866 90.0000000000
916 91.0000000000
1078 92.0000000000
1206 93.0000000000
1248 94.0000000000
1303 95.0000000000
1320 96.0000000000
1515 97.0000000000
1718 98.0000000000
1842 99.0000000000
2005 100.0000000000
100000 99.0000000000
evaluations raw_y
1 49.0000000000
4 52.0000000000
5 57.0000000000
14 60.0000000000
30 64.0000000000
58 67.0000000000
80 68.0000000000
105 69.0000000000
110 72.0000000000
155 73.0000000000
224 77.0000000000
346 78.0000000000
367 79.0000000000
400 80.0000000000
440 82.0000000000
445 83.0000000000
476 84.0000000000
516 86.0000000000
583 87.0000000000
673 88.0000000000
802 89.0000000000
919 90.0000000000
998 91.0000000000
1064 93.0000000000
1244 94.0000000000
1347 95.0000000000
1427 96.0000000000
1801 97.0000000000
1925 98.0000000000
2581 99.0000000000
2957 100.0000000000
100000 99.0000000000
evaluations raw_y
1 52.0000000000
2 61.0000000000
39 62.0000000000
55 63.0000000000
78 66.0000000000
111 68.0000000000
130 69.0000000000
136 70.0000000000
142 72.0000000000
183 73.0000000000
201 74.0000000000
262 77.0000000000
288 79.0000000000
290 81.0000000000
358 82.0000000000
372 85.0000000000
442 86.0000000000
513 88.0000000000
535 89.0000000000
615 90.0000000000
717 91.0000000000
855 92.0000000000
932 93.0000000000
1025 94.0000000000
1051 95.0000000000
1181 96.0000000000
1327 97.0000000000
1556 98.0000000000
1682 99.0000000000
1724 100.0000000000
100000 98.0000000000
evaluations raw_y
1 54.0000000000
10 56.0000000000
16 57.0000000000
25 59.0000000000
51 66.0000000000
141 71.0000000000
163 73.0000000000
217 74.0000000000
242 75.0000000000
273 77.0000000000
