evaluations raw_y
1 0.0000000000
60 6.0000000000
280 9.0000000000
379 10.0000000000
539 11.0000000000
674 12.0000000000
805 14.0000000000
903 15.0000000000
1092 21.0000000000
1405 23.0000000000
1422 24.0000000000
1661 26.0000000000
1676 30.0000000000
1954 32.0000000000
2011 34.0000000000
2259 35.0000000000
2579 37.0000000000
2763 38.0000000000
2918 40.0000000000
2968 42.0000000000
3087 45.0000000000
3120 46.0000000000
3186 47.0000000000
3592 48.0000000000
3664 49.0000000000
3675 50.0000000000
3734 53.0000000000
3935 54.0000000000
3970 56.0000000000
4230 57.0000000000
4441 59.0000000000
4640 60.0000000000
4740 65.0000000000
4842 67.0000000000
4891 71.0000000000
5312 74.0000000000
5342 75.0000000000
5454 77.0000000000
5504 79.0000000000
5579 83.0000000000
5666 84.0000000000
5707 88.0000000000
5884 89.0000000000
6224 91.0000000000
6281 95.0000000000
6465 97.0000000000
6513 100.0000000000
100000 100.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
33 2.0000000000
38 3.0000000000
90 5.0000000000
148 10.0000000000
207 15.0000000000
463 16.0000000000
554 17.0000000000
607 18.0000000000
769 19.0000000000
824 21.0000000000
1329 26.0000000000
1389 27.0000000000
1513 29.0000000000
1774 30.0000000000
1789 32.0000000000
1795 33.0000000000
1859 35.0000000000
1980 37.0000000000
2013 38.0000000000
2050 39.0000000000
2053 41.0000000000
2376 46.0000000000
2842 47.0000000000
2861 48.0000000000
2982 53.0000000000
3068 54.0000000000
3582 55.0000000000
3617 57.0000000000
3642 59.0000000000
3669 60.0000000000
4106 62.0000000000
4157 63.0000000000
4331 65.0000000000
4382 67.0000000000
4416 68.0000000000
4675 72.0000000000
4750 75.0000000000
5264 76.0000000000
5947 77.0000000000
6554 78.0000000000
7350 79.0000000000
7663 80.0000000000
7772 81.0000000000
8242 82.0000000000
8287 86.0000000000
8333 87.0000000000
8345 93.0000000000
8848 97.0000000000
8857 98.0000000000
8960 100.0000000000
100000 34.0000000000
evaluations raw_y
1 1.0000000000
2 5.0000000000
40 10.0000000000
115 11.0000000000
305 12.0000000000
370 13.0000000000
475 14.0000000000
629 15.0000000000
782 16.0000000000
1055 17.0000000000
1185 19.0000000000
1213 20.0000000000
1229 21.0000000000
1323 23.0000000000
1683 24.0000000000
1753 27.0000000000
1784 28.0000000000
2681 29.0000000000
2737 31.0000000000
2795 33.0000000000
2880 36.0000000000
3126 39.0000000000
3579 40.0000000000
3629 43.0000000000
3704 44.0000000000
3767 45.0000000000
3781 46.0000000000
3958 49.0000000000
3960 51.0000000000
4018 56.0000000000
