evaluations raw_y
1 2557.0000000000
2 2726.0000000000
3 2780.0000000000
6 2822.0000000000
8 2904.0000000000
9 2932.0000000000
12 3073.0000000000
17 3193.0000000000
18 3297.0000000000
20 3300.0000000000
28 3472.0000000000
45 3498.0000000000
50 3555.0000000000
61 3653.0000000000
62 3701.0000000000
69 3702.0000000000
73 3710.0000000000
76 3726.0000000000
77 3783.0000000000
78 3820.0000000000
80 3923.0000000000
94 3992.0000000000
99 4063.0000000000
101 4132.0000000000
105 4169.0000000000
114 4170.0000000000
118 4241.0000000000
122 4273.0000000000
128 4286.0000000000
136 4360.0000000000
157 4416.0000000000
159 4444.0000000000
190 4445.0000000000
209 4480.0000000000
213 4489.0000000000
227 4492.0000000000
236 4506.0000000000
240 4529.0000000000
242 4541.0000000000
250 4559.0000000000
252 4629.0000000000
257 4671.0000000000
262 4690.0000000000
274 4692.0000000000
276 4773.0000000000
293 4808.0000000000
328 4821.0000000000
333 4909.0000000000
358 4952.0000000000
401 4963.0000000000
405 4972.0000000000
442 5008.0000000000
482 5021.0000000000
600 5040.0000000000
722 5050.0000000000
100000 4968.0000000000
evaluations raw_y
1 1838.0000000000
2 2449.0000000000
3 2584.0000000000
8 2671.0000000000
9 2752.0000000000
11 2772.0000000000
16 2774.0000000000
21 2859.0000000000
22 2948.0000000000
25 2949.0000000000
28 2972.0000000000
30 3020.0000000000
41 3073.0000000000
47 3078.0000000000
50 3100.0000000000
51 3111.0000000000
54 3230.0000000000
64 3291.0000000000
70 3343.0000000000
75 3402.0000000000
80 3429.0000000000
87 3442.0000000000
89 3501.0000000000
90 3514.0000000000
91 3559.0000000000
93 3562.0000000000
96 3656.0000000000
99 3665.0000000000
100 3725.0000000000
120 3790.0000000000
132 3849.0000000000
138 3869.0000000000
148 3877.0000000000
159 3893.0000000000
162 3995.0000000000
179 4052.0000000000
183 4129.0000000000
209 4139.0000000000
217 4185.0000000000
239 4241.0000000000
241 4243.0000000000
246 4329.0000000000
265 4331.0000000000
267 4337.0000000000
306 4353.0000000000
312 4453.0000000000
342 4525.0000000000
360 4562.0000000000
392 4660.0000000000
403 4808.0000000000
413 4819.0000000000
449 4826.0000000000
456 4868.0000000000
458 4891.0000000000
563 4908.0000000000
638 4972.0000000000
657 5001.0000000000
870 5016.0000000000
1007 5050.0000000000
100000 5050.0000000000
evaluations raw_y
1 2363.0000000000
2 2486.0000000000
3 2532.0000000000
4 2558.0000000000
5 2618.0000000000
9 2781.0000000000
10 2862.0000000000
13 2874.0000000000
15 2891.0000000000
20 2893.0000000000
31 2966.0000000000
34 3066.0000000000
38 3116.0000000000
42 3208.0000000000
50 3267.0000000000
51 3317.0000000000
52 3336.0000000000
55 3359.0000000000
59 3387.0000000000
60 3451.0000000000
69 3498.0000000000
78 3583.0000000000
86 3641.0000000000
88 3732.0000000000
97 3795.0000000000
101 3954.0000000000
107 4042.0000000000
112 4089.0000000000
116 4157.0000000000
120 4180.0000000000
131 4213.0000000000
132 4287.0000000000
134 4317.0000000000
142 4366.0000000000
159 4387.0000000000
168 4435.0000000000
172 4494.0000000000
173 4602.0000000000
189 4618.0000000000
193 4619.0000000000
197 4623.0000000000
198 4665.0000000000
200 4752.0000000000
222 4791.0000000000
253 4815.0000000000
310 4842.0000000000
326 4882.0000000000
330 4907.0000000000
343 4925.0000000000
362 4967.0000000000
367 4987.0000000000
565 4993.0000000000
1035 5022.0000000000
1196 5042.0000000000
1216 5050.0000000000
100000 4960.0000000000
evaluations raw_y
1 2783.0000000000
3 2794.0000000000
5 2824.0000000000
6 2839.0000000000
7 2845.0000000000
9 3060.0000000000
13 3067.0000000000
14 3126.0000000000
15 3180.0000000000
18 3233.0000000000
19 3331.0000000000
20 3335.0000000000
22 3342.0000000000
25 3366.0000000000
34 3446.0000000000
44 3513.0000000000
46 3588.0000000000
48 3664.0000000000
66 3715.0000000000
75 3790.0000000000
81 3805.0000000000
89 3891.0000000000
93 3938.0000000000
107 3947.0000000000
117 3956.0000000000
120 4027.0000000000
126 4055.0000000000
135 4060.0000000000
139 4163.0000000000
152 4177.0000000000
173 4220.0000000000
243 4239.0000000000
252 4288.0000000000
256 4365.0000000000
269 4411.0000000000
294 4422.0000000000
297 4474.0000000000
310 4483.0000000000
342 4506.0000000000
383 4517.0000000000
400 4644.0000000000
401 4670.0000000000
419 4718.0000000000
424 4735.0000000000
436 4743.0000000000
454 4750.0000000000
455 4760.0000000000
483 4768.0000000000
513 4788.0000000000
580 4863.0000000000
597 4929.0000000000
615 5009.0000000000
775 5034.0000000000
808 5050.0000000000
100000 5050.0000000000
evaluations raw_y
1 2575.0000000000
5 2603.0000000000
11 2662.0000000000
19 2705.0000000000
21 2733.0000000000
23 2744.0000000000
27 2796.0000000000
32 2843.0000000000
33 2925.0000000000
48 3021.0000000000
53 3108.0000000000
56 3150.0000000000
59 3152.0000000000
62 3231.0000000000
65 3263.0000000000
66 3312.0000000000
71 3335.0000000000
73 3364.0000000000
74 3442.0000000000
81 3507.0000000000
84 3514.0000000000
87 3531.0000000000
89 3602.0000000000
91 3692.0000000000
100 3739.0000000000
108 3751.0000000000
110 3768.0000000000
112 3821.0000000000
128 3857.0000000000
136 3954.0000000000
140 4132.0000000000
147 4148.0000000000
151 4154.0000000000
154 4178.0000000000
155 4241.0000000000
174 4285.0000000000
184 4290.0000000000
186 4331.0000000000
192 4413.0000000000
194 4471.0000000000
202 4484.0000000000
208 4497.0000000000
213 4545.0000000000
217 4600.0000000000
224 4612.0000000000
240 4613.0000000000
306 4651.0000000000
309 4655.0000000000
310 4672.0000000000
318 4694.0000000000
323 4729.0000000000
334 4754.0000000000
367 4765.0000000000
398 4771.0000000000
451 4793.0000000000
494 4794.0000000000
530 4858.0000000000
598 4875.0000000000
634 4883.0000000000
639 4952.0000000000
707 5005.0000000000
716 5009.0000000000
761 5047.0000000000
768 5050.0000000000
100000 5037.0000000000
evaluations raw_y
1 2398.0000000000
4 2461.0000000000
5 2647.0000000000
8 2667.0000000000
13 2675.0000000000
14 2750.0000000000
15 2772.0000000000
17 2842.0000000000
18 2924.0000000000
20 3021.0000000000
23 3093.0000000000
25 3124.0000000000
28 3130.0000000000
32 3226.0000000000
34 3360.0000000000
36 3390.0000000000
44 3482.0000000000
48 3542.0000000000
52 3631.0000000000
56 3782.0000000000
58 3857.0000000000
63 3936.0000000000
88 3987.0000000000
97 4010.0000000000
112 4051.0000000000
113 4075.0000000000
116 4094.0000000000
120 4125.0000000000
124 4158.0000000000
130 4177.0000000000
135 4240.0000000000
146 4244.0000000000
151 4279.0000000000
165 4339.0000000000
177 4343.0000000000
182 4372.0000000000
192 4472.0000000000
200 4512.0000000000
211 4535.0000000000
213 4550.0000000000
217 4624.0000000000
219 4666.0000000000
241 4715.0000000000
250 4721.0000000000
266 4732.0000000000
274 4745.0000000000
279 4781.0000000000
282 4824.0000000000
301 4829.0000000000
314 4833.0000000000
316 4834.0000000000
322 4836.0000000000
381 4873.0000000000
487 4901.0000000000
504 4926.0000000000
526 4944.0000000000
561 4999.0000000000
623 5022.0000000000
694 5038.0000000000
867 5049.0000000000
924 5050.0000000000
100000 4915.0000000000
evaluations raw_y
1 2412.0000000000
2 2893.0000000000
3 2899.0000000000
9 2976.0000000000
16 2998.0000000000
22 3023.0000000000
36 3057.0000000000
38 3072.0000000000
39 3168.0000000000
44 3257.0000000000
45 3300.0000000000
46 3302.0000000000
49 3346.0000000000
53 3448.0000000000
58 3467.0000000000
59 3493.0000000000
63 3542.0000000000
66 3562.0000000000
69 3588.0000000000
70 3611.0000000000
73 3621.0000000000
80 3720.0000000000
83 3746.0000000000
86 3819.0000000000
87 3853.0000000000
95 3888.0000000000
118 3901.0000000000
121 3953.0000000000
122 3980.0000000000
128 3981.0000000000
132 4052.0000000000
133 4084.0000000000
142 4120.0000000000
153 4198.0000000000
167 4204.0000000000
170 4225.0000000000
178 4294.0000000000
182 4348.0000000000
207 4390.0000000000
219 4453.0000000000
239 4500.0000000000
242 4515.0000000000
243 4522.0000000000
256 4526.0000000000
271 4537.0000000000
275 4557.0000000000
287 4594.0000000000
288 4600.0000000000
295 4639.0000000000
300 4685.0000000000
390 4747.0000000000
391 4781.0000000000
415 4814.0000000000
459 4826.0000000000
474 4849.0000000000
504 4943.0000000000
511 4958.0000000000
573 4981.0000000000
578 4984.0000000000
677 5023.0000000000
913 5050.0000000000
100000 5023.0000000000
evaluations raw_y
1 2744.0000000000
3 2765.0000000000
4 2886.0000000000
6 2962.0000000000
7 3000.0000000000
20 3023.0000000000
22 3045.0000000000
38 3177.0000000000
39 3276.0000000000
43 3337.0000000000
44 3369.0000000000
52 3397.0000000000
58 3459.0000000000
67 3473.0000000000
72 3518.0000000000
79 3545.0000000000
87 3601.0000000000
92 3630.0000000000
94 3686.0000000000
101 3748.0000000000
114 3824.0000000000
115 3879.0000000000
117 3909.0000000000
118 3940.0000000000
120 4031.0000000000
135 4062.0000000000
143 4148.0000000000
144 4156.0000000000
147 4164.0000000000
148 4238.0000000000
151 4295.0000000000
154 4308.0000000000
158 4332.0000000000
164 4391.0000000000
172 4416.0000000000
177 4449.0000000000
181 4475.0000000000
187 4480.0000000000
192 4515.0000000000
196 4568.0000000000
197 4576.0000000000
199 4630.0000000000
206 4683.0000000000
211 4699.0000000000
217 4707.0000000000
234 4710.0000000000
238 4753.0000000000
258 4757.0000000000
265 4785.0000000000
335 4797.0000000000
342 4852.0000000000
348 4854.0000000000
369 4864.0000000000
401 4867.0000000000
402 4903.0000000000
422 4935.0000000000
433 4948.0000000000
634 4989.0000000000
663 5028.0000000000
953 5029.0000000000
1130 5050.0000000000
100000 5018.0000000000
evaluations raw_y
1 2387.0000000000
2 2689.0000000000
4 2806.0000000000
5 2871.0000000000
8 2943.0000000000
10 2974.0000000000
11 3024.0000000000
14 3057.0000000000
16 3064.0000000000
17 3074.0000000000
27 3157.0000000000
29 3242.0000000000
30 3271.0000000000
32 3296.0000000000
37 3358.0000000000
42 3429.0000000000
44 3459.0000000000
48 3514.0000000000
52 3520.0000000000
55 3593.0000000000
60 3716.0000000000
61 3792.0000000000
62 3881.0000000000
63 3972.0000000000
66 4045.0000000000
71 4050.0000000000
93 4070.0000000000
97 4107.0000000000
98 4110.0000000000
102 4161.0000000000
106 4301.0000000000
113 4320.0000000000
117 4340.0000000000
147 4357.0000000000
166 4373.0000000000
178 4448.0000000000
184 4449.0000000000
205 4515.0000000000
211 4531.0000000000
240 4544.0000000000
242 4548.0000000000
253 4599.0000000000
262 4627.0000000000
273 4672.0000000000
286 4695.0000000000
365 4777.0000000000
370 4789.0000000000
375 4858.0000000000
470 4932.0000000000
517 4972.0000000000
526 4989.0000000000
555 4992.0000000000
579 5047.0000000000
632 5049.0000000000
1280 5050.0000000000
100000 5017.0000000000
evaluations raw_y
1 2310.0000000000
2 2499.0000000000
6 2555.0000000000
7 2633.0000000000
9 2818.0000000000
14 2861.0000000000
17 2887.0000000000
21 2925.0000000000
26 2971.0000000000
30 3022.0000000000
43 3074.0000000000
51 3177.0000000000
56 3209.0000000000
57 3212.0000000000
61 3255.0000000000
62 3311.0000000000
71 3320.0000000000
74 3454.0000000000
77 3469.0000000000
79 3531.0000000000
91 3653.0000000000
99 3777.0000000000
104 3779.0000000000
108 3801.0000000000
122 3807.0000000000
125 3809.0000000000
126 3830.0000000000
127 3841.0000000000
128 3860.0000000000
157 3861.0000000000
160 3917.0000000000
167 3936.0000000000
178 4018.0000000000
180 4029.0000000000
181 4034.0000000000
188 4041.0000000000
201 4108.0000000000
207 4123.0000000000
226 4221.0000000000
227 4222.0000000000
243 4267.0000000000
249 4289.0000000000
275 4354.0000000000
279 4378.0000000000
290 4433.0000000000
298 4493.0000000000
311 4542.0000000000
323 4638.0000000000
394 4642.0000000000
403 4713.0000000000
428 4744.0000000000
456 4803.0000000000
462 4843.0000000000
471 4886.0000000000
542 4895.0000000000
562 4945.0000000000
566 4957.0000000000
630 4989.0000000000
765 4991.0000000000
988 5014.0000000000
1063 5050.0000000000
100000 4880.0000000000
