evaluations raw_y
1 0.8629616845
3 1.1066843736
4 1.5309246785
79 1.5693659761
89 1.7253278123
179 1.8208302986
262 1.8726591760
291 1.9607843137
294 2.0308692120
299 2.2706630336
365 2.3786869648
425 2.3877745941
471 2.5227043391
529 2.5960539979
549 2.6399155227
570 2.7203482046
582 2.7502750275
769 2.8058361392
773 2.8702640643
1008 3.0599755202
1142 3.1446540881
1500 3.2679738562
1537 3.5161744023
1691 3.5868005739
1746 3.5971223022
1841 3.8051750381
2063 3.8167938931
8391 3.8639876352
8576 4.2589437819
15974 4.3782837128
100000 3.1525851198
evaluations raw_y
1 1.0183299389
3 1.4261266400
48 1.6118633140
68 1.6436554898
135 1.6611295681
194 1.7205781142
298 1.7229496899
300 1.7768301350
327 1.8559762435
335 1.9516003123
339 1.9794140934
366 2.0080321285
416 2.4679170780
466 2.4826216485
513 2.5227043391
522 2.7085590466
717 2.7262813522
746 2.7563395810
1022 2.7870680045
1099 2.9103608847
1385 3.0902348578
1431 3.1055900621
1454 3.1766200762
1612 3.2509752926
2305 3.4013605442
2409 3.4199726402
2915 3.5260930889
38755 3.5663338088
38821 3.6179450072
39096 3.6496350365
39262 3.8284839204
39284 3.9123630673
39684 4.1050903120
100000 3.7037037037
evaluations raw_y
1 1.0588733587
3 1.2236906510
7 1.2594458438
9 1.5537600994
49 1.9669551534
262 2.1168501270
296 2.2261798753
328 2.2956841139
363 2.3299161230
371 2.3877745941
421 2.4154589372
504 2.6178010471
505 2.7624309392
632 3.1928480204
959 3.4674063800
6563 3.6496350365
6949 3.7257824143
7122 3.8284839204
32405 4.0257648953
34085 4.0518638574
34250 4.0783034258
34275 4.0916530278
34580 4.1050903120
37343 4.1322314050
37403 4.1459369818
37614 4.2444821732
100000 4.2444821732
evaluations raw_y
1 0.8183306056
2 0.9815469179
4 1.1764705882
6 1.6767270288
16 1.7018379850
185 1.7349063151
188 1.9638648861
248 2.0016012810
290 2.0242914980
305 2.2956841139
346 2.3169601483
349 2.3786869648
366 2.4061597690
407 2.4727992087
427 2.6852846402
486 2.9515938607
520 3.1055900621
646 3.1289111389
671 3.2341526520
837 3.2765399738
904 3.5360678925
1035 3.5868005739
1117 3.8402457757
1256 3.8880248834
1662 3.9001560062
1943 3.9123630673
2185 3.9246467818
2470 3.9619651347
9444 3.9872408293
57916 4.0518638574
58071 4.0916530278
58231 4.1597337770
60903 4.1876046901
61348 4.3177892919
87537 4.5372050817
97694 4.6382189239
100000 3.2594524120
evaluations raw_y
1 1.5179113540
19 1.6995241332
105 1.8477457502
217 1.8559762435
248 1.9157088123
369 2.0955574183
375 2.1533161068
401 2.2502250225
436 2.4390243902
546 2.5432349949
551 2.5853154085
637 2.6795284030
687 2.7322404372
764 2.7685492802
765 2.8058361392
914 3.0750307503
1148 3.0978934325
1315 3.1685678074
1502 3.4387895461
1534 3.4770514604
1778 3.7369207773
1973 3.9123630673
2186 3.9494470774
13411 4.1459369818
100000 3.8284839204
evaluations raw_y
1 0.9494872769
3 1.0960105217
4 1.2973533991
7 1.3014055180
10 1.4577259475
26 1.5309246785
84 1.5537600994
112 1.6903313049
228 1.9098548510
358 2.1385799829
410 2.2706630336
428 2.3126734505
430 2.3877745941
500 2.4777006938
535 2.5380710660
566 2.5536261491
572 2.5641025641
619 2.6910656620
674 2.7746947836
804 2.9036004646
806 3.0229746070
1146 3.0902348578
1183 3.0978934325
1226 3.2509752926
1436 3.2765399738
1647 3.3377837116
2068 3.3647375505
2104 3.5460992908
2423 3.6179450072
2649 3.7369207773
51742 3.8284839204
100000 3.2938076416
evaluations raw_y
1 1.0931351115
3 1.1600928074
5 1.2285012285
18 1.4662756598
42 1.6139444803
47 1.6329196604
64 1.7692852088
243 1.8234865062
270 2.1645021645
328 2.2182786158
358 2.2222222222
386 2.4485798237
458 2.4975024975
484 2.5641025641
524 2.7027027027
577 2.8058361392
606 2.8441410694
660 3.0750307503
736 3.2765399738
1150 3.3557046980
72794 3.3738191633
73093 3.4199726402
73507 3.4482758621
75963 3.5663338088
76237 3.5765379113
77448 3.5868005739
100000 2.9103608847
evaluations raw_y
1 1.1008366358
2 1.1307100859
3 1.5328019620
23 1.7229496899
25 1.9186492709
228 1.9516003123
237 2.0781379884
314 2.2261798753
353 2.3299161230
400 2.3696682464
419 2.3741690408
439 2.3923444976
455 2.5125628141
491 2.6968716289
524 3.0229746070
620 3.1210986267
801 3.2092426187
928 3.2175032175
1052 3.2341526520
1539 3.3288948069
1725 3.5561877667
2250 3.6284470247
2527 3.6390101892
2654 3.7821482602
90925 3.7936267071
91001 3.8759689922
91222 3.9370078740
100000 3.0599755202
evaluations raw_y
1 0.7689941556
2 0.8161932746
3 0.9494872769
4 1.1276499774
16 1.2893243940
24 1.5124016939
59 1.9857029388
289 2.0441537204
330 2.1276595745
334 2.3430178069
360 2.3607176582
420 2.4248302619
479 2.4582104228
493 2.4679170780
514 2.5025025025
542 2.5176233635
565 2.5536261491
611 2.6014568158
721 2.7085590466
784 2.7262813522
802 2.7746947836
1014 2.8058361392
1015 2.9377203290
1126 3.0450669915
1211 3.1133250311
1288 3.1525851198
1388 3.3829499323
1434 3.5063113604
1498 3.5360678925
1871 3.5561877667
4877 3.5765379113
5207 3.6710719530
6081 3.8167938931
6172 3.8759689922
