evaluations raw_y
1 -981.0000000000
10 -973.0000000000
44 -953.0000000000
54 -952.0000000000
66 -923.0000000000
73 -894.0000000000
75 -855.0000000000
94 -845.0000000000
106 -797.0000000000
118 -778.0000000000
123 -680.0000000000
136 -671.0000000000
163 -457.0000000000
219 -418.0000000000
286 -398.0000000000
292 -224.0000000000
366 -215.0000000000
407 -186.0000000000
447 -176.0000000000
460 -166.0000000000
495 -147.0000000000
519 -128.0000000000
545 -99.0000000000
549 -90.0000000000
635 -80.0000000000
663 -71.0000000000
675 -61.0000000000
721 -51.0000000000
762 -41.0000000000
814 -32.0000000000
943 -31.0000000000
1002 -23.0000000000
1033 -22.0000000000
1034 -14.0000000000
1060 -12.0000000000
1194 -11.0000000000
1206 -3.0000000000
1252 6.0000000000
1281 8.0000000000
1581 9.0000000000
100000 -78.0000000000
evaluations raw_y
1 -1692.0000000000
2 -1254.0000000000
4 -1030.0000000000
43 -904.0000000000
66 -874.0000000000
117 -864.0000000000
121 -709.0000000000
176 -660.0000000000
211 -631.0000000000
226 -602.0000000000
254 -505.0000000000
258 -457.0000000000
291 -448.0000000000
315 -380.0000000000
354 -331.0000000000
378 -312.0000000000
415 -311.0000000000
421 -263.0000000000
445 -244.0000000000
508 -235.0000000000
526 -225.0000000000
537 -215.0000000000
539 -205.0000000000
549 -186.0000000000
566 -185.0000000000
569 -176.0000000000
570 -148.0000000000
654 -100.0000000000
746 -81.0000000000
802 -71.0000000000
859 -61.0000000000
886 -52.0000000000
948 -43.0000000000
971 -33.0000000000
1009 -24.0000000000
1138 -23.0000000000
1143 -15.0000000000
1303 -14.0000000000
1322 4.0000000000
1406 5.0000000000
1475 6.0000000000
1574 7.0000000000
1736 8.0000000000
2146 9.0000000000
100000 -10.0000000000
evaluations raw_y
1 -1440.0000000000
2 -1430.0000000000
3 -1235.0000000000
5 -1167.0000000000
18 -1118.0000000000
29 -1050.0000000000
49 -991.0000000000
56 -972.0000000000
94 -904.0000000000
97 -718.0000000000
174 -680.0000000000
188 -582.0000000000
195 -534.0000000000
256 -515.0000000000
258 -428.0000000000
353 -379.0000000000
355 -360.0000000000
471 -350.0000000000
474 -321.0000000000
489 -302.0000000000
585 -273.0000000000
605 -263.0000000000
686 -234.0000000000
723 -205.0000000000
762 -195.0000000000
774 -176.0000000000
843 -157.0000000000
909 -128.0000000000
986 -109.0000000000
1110 -99.0000000000
1127 -90.0000000000
1173 -71.0000000000
1274 -52.0000000000
1295 -43.0000000000
1380 -42.0000000000
1443 -23.0000000000
1548 -21.0000000000
1628 -3.0000000000
1690 -2.0000000000
1801 7.0000000000
2367 8.0000000000
2616 9.0000000000
100000 -59.0000000000
evaluations raw_y
1 -1478.0000000000
2 -1127.0000000000
36 -933.0000000000
73 -923.0000000000
84 -894.0000000000
92 -836.0000000000
105 -749.0000000000
118 -670.0000000000
175 -593.0000000000
187 -583.0000000000
237 -476.0000000000
247 -418.0000000000
266 -408.0000000000
308 -359.0000000000
335 -350.0000000000
336 -322.0000000000
365 -321.0000000000
395 -282.0000000000
433 -225.0000000000
464 -196.0000000000
466 -177.0000000000
468 -176.0000000000
517 -157.0000000000
558 -148.0000000000
566 -137.0000000000
595 -99.0000000000
685 -90.0000000000
699 -80.0000000000
708 -60.0000000000
742 -51.0000000000
911 -42.0000000000
965 -41.0000000000
970 -13.0000000000
1018 -4.0000000000
1120 -3.0000000000
1281 6.0000000000
1444 7.0000000000
1747 8.0000000000
100000 -50.0000000000
evaluations raw_y
1 -1322.0000000000
7 -1108.0000000000
30 -1079.0000000000
31 -972.0000000000
69 -933.0000000000
118 -914.0000000000
140 -875.0000000000
167 -777.0000000000
169 -496.0000000000
282 -476.0000000000
334 -457.0000000000
359 -447.0000000000
389 -438.0000000000
390 -418.0000000000
396 -379.0000000000
402 -360.0000000000
411 -292.0000000000
444 -273.0000000000
488 -263.0000000000
504 -253.0000000000
536 -234.0000000000
542 -215.0000000000
595 -205.0000000000
602 -186.0000000000
668 -167.0000000000
686 -148.0000000000
754 -129.0000000000
793 -90.0000000000
860 -61.0000000000
952 -52.0000000000
1093 -42.0000000000
1220 -33.0000000000
1240 -32.0000000000
1251 -24.0000000000
1278 -14.0000000000
1343 -5.0000000000
1423 -4.0000000000
1427 4.0000000000
1485 5.0000000000
1559 6.0000000000
1638 7.0000000000
1828 8.0000000000
100000 7.0000000000
evaluations raw_y
1 -1634.0000000000
4 -1605.0000000000
6 -1332.0000000000
7 -1323.0000000000
10 -1157.0000000000
19 -1049.0000000000
24 -981.0000000000
42 -943.0000000000
61 -904.0000000000
80 -875.0000000000
88 -855.0000000000
98 -670.0000000000
179 -515.0000000000
268 -505.0000000000
273 -369.0000000000
308 -350.0000000000
360 -331.0000000000
389 -263.0000000000
398 -214.0000000000
459 -205.0000000000
467 -185.0000000000
506 -176.0000000000
516 -165.0000000000
547 -146.0000000000
631 -127.0000000000
639 -99.0000000000
670 -89.0000000000
718 -70.0000000000
725 -61.0000000000
801 -52.0000000000
847 -33.0000000000
930 -24.0000000000
987 -22.0000000000
1034 -14.0000000000
1066 -5.0000000000
1152 -4.0000000000
1222 4.0000000000
1231 6.0000000000
1282 7.0000000000
1462 8.0000000000
1592 9.0000000000
100000 -30.0000000000
evaluations raw_y
