evaluations raw_y
1 -0.5576086170
2 -0.4818068114
19 -0.4777099654
22 -0.4563410367
24 -0.4553637536
25 -0.4405698719
39 -0.4352331737
61 -0.4333413414
64 -0.4258034398
78 -0.4228549787
93 -0.4200633673
116 -0.4152525402
123 -0.4107592569
127 -0.4098284809
141 -0.4062352936
150 -0.4041260689
151 -0.4005243704
152 -0.3997018905
176 -0.3967089088
193 -0.3932293543
196 -0.3900223020
198 -0.3829360746
231 -0.3826045005
240 -0.3813754761
252 -0.3791160165
255 -0.3782827690
258 -0.3748873460
265 -0.3748302832
266 -0.3693771858
290 -0.3635373011
310 -0.3621720010
313 -0.3586924465
320 -0.3577450581
335 -0.3562710635
342 -0.3472565807
344 -0.3454184148
346 -0.3371623824
381 -0.3310691161
391 -0.3300680758
422 -0.3282966968
429 -0.3265525960
434 -0.3250817220
437 -0.3220887403
440 -0.3203173613
536 -0.3154487670
668 -0.3142558322
682 -0.3116894859
711 -0.3110729036
856 -0.3105927836
897 -0.3101781382
1038 -0.3076160630
5409 -0.3074982555
5551 -0.3021390597
9996 -0.3018540896
10036 -0.3006237994
10505 -0.2992978015
33843 -0.2958200732
100000 -0.2958200732
evaluations raw_y
1 -0.4808232549
6 -0.4722278171
17 -0.4521052329
31 -0.4420553046
35 -0.4390720986
37 -0.4383228100
44 -0.4355068854
46 -0.4291856274
51 -0.4270099812
52 -0.4235355750
60 -0.4228395242
61 -0.4180245154
62 -0.4179277064
78 -0.4105506890
90 -0.4104242835
98 -0.3971043326
100 -0.3900547379
114 -0.3856469920
119 -0.3820754454
125 -0.3794972992
131 -0.3775100008
136 -0.3756350936
138 -0.3735266429
164 -0.3722861092
169 -0.3710936791
173 -0.3617745067
178 -0.3605339731
183 -0.3599569402
187 -0.3587747535
191 -0.3587645101
201 -0.3560541049
207 -0.3524758116
217 -0.3512085507
233 -0.3468305329
235 -0.3455632719
243 -0.3429091419
265 -0.3416788517
380 -0.3405449891
394 -0.3399679562
409 -0.3363714693
425 -0.3362450639
456 -0.3355914988
474 -0.3307799673
502 -0.3246153056
517 -0.3224733240
543 -0.3220851867
545 -0.3171536882
656 -0.3158276903
721 -0.3143536957
769 -0.3103199281
774 -0.3098398081
804 -0.3085682998
816 -0.3085599146
825 -0.3080389943
832 -0.3075588743
1118 -0.3069422920
1641 -0.3030642195
1670 -0.3029464120
1679 -0.3025412048
1687 -0.3012737750
1698 -0.2998451461
1711 -0.2982037985
1814 -0.2975872162
5199 -0.2970200396
5346 -0.2957485313
52459 -0.2938013146
52475 -0.2928002742
100000 -0.2928002742
evaluations raw_y
1 -0.5368495499
2 -0.5003850574
4 -0.4843462643
8 -0.4664509818
15 -0.4535851313
16 -0.4483294243
23 -0.4470900229
26 -0.4435915816
29 -0.4385130815
31 -0.4265711886
37 -0.4248532448
41 -0.4244216331
50 -0.4133708031
