evaluations raw_y
1 2717.0000000000
9 2816.0000000000
13 3008.0000000000
35 3165.0000000000
81 3177.0000000000
99 3579.0000000000
167 3797.0000000000
194 3863.0000000000
216 4016.0000000000
248 4029.0000000000
292 4239.0000000000
322 4270.0000000000
377 4304.0000000000
380 4328.0000000000
424 4336.0000000000
429 4371.0000000000
451 4429.0000000000
471 4496.0000000000
528 4500.0000000000
542 4511.0000000000
575 4523.0000000000
592 4549.0000000000
599 4550.0000000000
622 4567.0000000000
644 4589.0000000000
651 4633.0000000000
680 4638.0000000000
748 4642.0000000000
758 4688.0000000000
796 4697.0000000000
805 4752.0000000000
858 4763.0000000000
880 4776.0000000000
926 4811.0000000000
971 4851.0000000000
997 4855.0000000000
1021 4874.0000000000
1035 4889.0000000000
1045 4890.0000000000
1062 4912.0000000000
1076 4938.0000000000
1169 4955.0000000000
1218 4967.0000000000
1288 4982.0000000000
1291 4983.0000000000
1299 4985.0000000000
1347 4987.0000000000
1365 5003.0000000000
1367 5005.0000000000
1494 5009.0000000000
1611 5018.0000000000
1630 5021.0000000000
1656 5034.0000000000
1777 5036.0000000000
2066 5050.0000000000
100000 5050.0000000000
evaluations raw_y
1 2247.0000000000
2 2854.0000000000
29 2997.0000000000
30 3153.0000000000
44 3225.0000000000
55 3278.0000000000
62 3330.0000000000
102 3460.0000000000
115 3647.0000000000
132 3669.0000000000
176 3678.0000000000
185 3821.0000000000
196 3848.0000000000
214 3940.0000000000
248 3980.0000000000
253 4013.0000000000
298 4058.0000000000
303 4176.0000000000
310 4178.0000000000
317 4318.0000000000
451 4386.0000000000
463 4399.0000000000
474 4434.0000000000
476 4478.0000000000
539 4480.0000000000
566 4484.0000000000
578 4516.0000000000
603 4521.0000000000
606 4545.0000000000
625 4556.0000000000
653 4601.0000000000
659 4623.0000000000
732 4625.0000000000
743 4658.0000000000
911 4688.0000000000
947 4721.0000000000
975 4727.0000000000
990 4746.0000000000
1004 4751.0000000000
1005 4839.0000000000
1080 4866.0000000000
1129 4872.0000000000
1157 4892.0000000000
1222 4916.0000000000
1264 4960.0000000000
1289 4968.0000000000
1368 4970.0000000000
1395 4987.0000000000
1440 5006.0000000000
1446 5023.0000000000
1531 5026.0000000000
1623 5030.0000000000
1647 5045.0000000000
1712 5046.0000000000
2143 5050.0000000000
100000 5050.0000000000
evaluations raw_y
1 2908.0000000000
3 3254.0000000000
57 3348.0000000000
68 3557.0000000000
91 3599.0000000000
138 3733.0000000000
165 3791.0000000000
222 3833.0000000000
225 4041.0000000000
273 4164.0000000000
317 4239.0000000000
342 4258.0000000000
370 4260.0000000000
378 4285.0000000000
401 4350.0000000000
428 4352.0000000000
450 4389.0000000000
458 4424.0000000000
465 4429.0000000000
543 4435.0000000000
544 4457.0000000000
553 4489.0000000000
589 4499.0000000000
603 4550.0000000000
642 4552.0000000000
651 4620.0000000000
686 4669.0000000000
725 4676.0000000000
729 4740.0000000000
753 4747.0000000000
820 4758.0000000000
835 4768.0000000000
839 4779.0000000000
854 4800.0000000000
966 4822.0000000000
973 4847.0000000000
1008 4848.0000000000
1088 4870.0000000000
1115 4923.0000000000
1179 4954.0000000000
1277 4969.0000000000
1395 5004.0000000000
1440 5010.0000000000
1695 5017.0000000000
1830 5034.0000000000
1975 5037.0000000000
2739 5050.0000000000
100000 5050.0000000000
evaluations raw_y
1 2746.0000000000
3 3185.0000000000
17 3191.0000000000
69 3295.0000000000
75 3390.0000000000
89 3540.0000000000
163 3641.0000000000
192 3648.0000000000
201 3671.0000000000
211 3759.0000000000
216 3919.0000000000
284 4080.0000000000
313 4144.0000000000
331 4149.0000000000
356 4187.0000000000
379 4307.0000000000
387 4335.0000000000
430 4342.0000000000
438 4348.0000000000
466 4380.0000000000
475 4446.0000000000
568 4450.0000000000
583 4459.0000000000
592 4477.0000000000
606 4500.0000000000
635 4503.0000000000
646 4504.0000000000
655 4514.0000000000
657 4536.0000000000
687 4584.0000000000
714 4617.0000000000
821 4630.0000000000
889 4641.0000000000
891 4663.0000000000
910 4748.0000000000
917 4761.0000000000
961 4804.0000000000
970 4809.0000000000
1002 4819.0000000000
1026 4835.0000000000
1107 4866.0000000000
1144 4891.0000000000
1169 4893.0000000000
1251 4933.0000000000
1264 4987.0000000000
1341 4999.0000000000
1360 5007.0000000000
1392 5019.0000000000
1696 5023.0000000000
2020 5026.0000000000
2163 5050.0000000000
100000 5050.0000000000
evaluations raw_y
1 2591.0000000000
2 2608.0000000000
3 2712.0000000000
6 2745.0000000000
12 2813.0000000000
14 2830.0000000000
18 2846.0000000000
27 3038.0000000000
44 3078.0000000000
55 3147.0000000000
70 3171.0000000000
84 3254.0000000000
107 3268.0000000000
111 3293.0000000000
150 3304.0000000000
152 3383.0000000000
156 3478.0000000000
198 3510.0000000000
199 3568.0000000000
201 3609.0000000000
248 3614.0000000000
257 3827.0000000000
273 3844.0000000000
290 3952.0000000000
326 4032.0000000000
341 4061.0000000000
399 4075.0000000000
435 4118.0000000000
442 4127.0000000000
449 4134.0000000000
481 4205.0000000000
518 4258.0000000000
548 4259.0000000000
551 4264.0000000000
552 4323.0000000000
