evaluations raw_y
1 -1998.0000000000
2 -1939.0000000000
4 -1937.0000000000
6 -1918.0000000000
14 -1917.0000000000
16 -1902.0000000000
33 -1895.0000000000
35 -1880.0000000000
45 -1872.0000000000
51 -1856.0000000000
61 -1852.0000000000
71 -1839.0000000000
104 -1833.0000000000
111 -1832.0000000000
115 -1829.0000000000
126 -1823.0000000000
131 -1820.0000000000
153 -1819.0000000000
156 -1817.0000000000
170 -1816.0000000000
176 -1815.0000000000
193 -1814.0000000000
201 -1812.0000000000
222 -1811.0000000000
224 -1807.0000000000
245 -1804.0000000000
259 -1803.0000000000
271 -1800.0000000000
291 -1799.0000000000
314 -1798.0000000000
335 -1797.0000000000
342 -1795.0000000000
362 -1794.0000000000
371 -1793.0000000000
381 -1791.0000000000
391 -1789.0000000000
412 -1788.0000000000
421 -1782.0000000000
435 -1781.0000000000
467 -1780.0000000000
477 -1778.0000000000
487 -1777.0000000000
494 -1776.0000000000
507 -1775.0000000000
514 -1774.0000000000
535 -1773.0000000000
540 -1772.0000000000
544 -1770.0000000000
565 -1769.0000000000
578 -1767.0000000000
589 -1766.0000000000
591 -1765.0000000000
595 -1763.0000000000
626 -1762.0000000000
641 -1761.0000000000
644 -1760.0000000000
664 -1757.0000000000
671 -1756.0000000000
681 -1755.0000000000
693 -1754.0000000000
706 -1751.0000000000
723 -1750.0000000000
738 -1747.0000000000
746 -1745.0000000000
772 -1744.0000000000
776 -1743.0000000000
788 -1741.0000000000
805 -1739.0000000000
821 -1738.0000000000
827 -1737.0000000000
846 -1735.0000000000
866 -1734.0000000000
871 -1733.0000000000
877 -1731.0000000000
891 -1730.0000000000
894 -1729.0000000000
904 -1727.0000000000
917 -1724.0000000000
933 -1722.0000000000
945 -1720.0000000000
952 -1719.0000000000
961 -1717.0000000000
980 -1714.0000000000
987 -1713.0000000000
992 -1712.0000000000
1003 -1711.0000000000
1013 -1710.0000000000
1016 -1709.0000000000
1020 -1706.0000000000
1032 -1705.0000000000
1044 -1704.0000000000
1047 -1703.0000000000
1057 -1701.0000000000
1083 -1698.0000000000
1101 -1694.0000000000
1112 -1692.0000000000
1133 -1690.0000000000
1145 -1688.0000000000
1165 -1687.0000000000
1171 -1683.0000000000
1186 -1681.0000000000
1197 -1679.0000000000
1224 -1678.0000000000
1236 -1677.0000000000
1244 -1676.0000000000
1247 -1675.0000000000
1254 -1674.0000000000
1257 -1673.0000000000
1263 -1672.0000000000
1271 -1671.0000000000
1282 -1670.0000000000
1283 -1668.0000000000
1296 -1667.0000000000
1315 -1666.0000000000
1321 -1665.0000000000
1332 -1663.0000000000
1333 -1662.0000000000
1342 -1661.0000000000
1352 -1660.0000000000
1367 -1659.0000000000
1368 -1654.0000000000
1402 -1652.0000000000
1404 -1649.0000000000
1418 -1648.0000000000
1430 -1646.0000000000
1432 -1645.0000000000
1444 -1643.0000000000
1470 -1642.0000000000
1480 -1640.0000000000
1492 -1639.0000000000
1502 -1637.0000000000
1514 -1635.0000000000
1529 -1634.0000000000
1531 -1633.0000000000
1534 -1631.0000000000
1543 -1630.0000000000
1554 -1629.0000000000
1563 -1627.0000000000
1586 -1622.0000000000
1595 -1621.0000000000
1621 -1620.0000000000
1625 -1619.0000000000
1632 -1616.0000000000
1646 -1614.0000000000
1653 -1612.0000000000
1658 -1611.0000000000
1679 -1609.0000000000
1688 -1607.0000000000
1693 -1604.0000000000
1704 -1603.0000000000
1711 -1602.0000000000
1722 -1601.0000000000
1723 -1600.0000000000
1733 -1599.0000000000
1741 -1598.0000000000
1745 -1597.0000000000
1768 -1593.0000000000
1773 -1592.0000000000
1788 -1591.0000000000
1795 -1590.0000000000
1801 -1589.0000000000
1811 -1588.0000000000
1821 -1587.0000000000
1825 -1585.0000000000
1841 -1584.0000000000
1863 -1583.0000000000
1864 -1582.0000000000
1867 -1581.0000000000
1873 -1580.0000000000
1885 -1577.0000000000
1901 -1576.0000000000
1914 -1574.0000000000
1922 -1573.0000000000
1934 -1572.0000000000
1935 -1570.0000000000
1950 -1569.0000000000
1961 -1568.0000000000
1973 -1567.0000000000
1976 -1565.0000000000
1992 -1564.0000000000
1994 -1563.0000000000
2002 -1562.0000000000
2018 -1560.0000000000
2030 -1558.0000000000
2063 -1555.0000000000
2078 -1553.0000000000
2081 -1551.0000000000
2104 -1550.0000000000
2115 -1549.0000000000
2123 -1547.0000000000
2141 -1544.0000000000
2163 -1543.0000000000
2170 -1541.0000000000
2201 -1540.0000000000
2205 -1539.0000000000
2218 -1538.0000000000
2221 -1537.0000000000
2222 -1536.0000000000
2226 -1535.0000000000
2233 -1534.0000000000
2247 -1533.0000000000
2255 -1531.0000000000
2264 -1529.0000000000
2274 -1528.0000000000
2291 -1527.0000000000
2308 -1526.0000000000
2328 -1525.0000000000
2333 -1523.0000000000
2362 -1521.0000000000
2387 -1520.0000000000
2396 -1519.0000000000
2419 -1518.0000000000
2425 -1517.0000000000
2434 -1513.0000000000
2449 -1512.0000000000
2452 -1511.0000000000
2466 -1508.0000000000
2471 -1505.0000000000
2489 -1503.0000000000
2514 -1502.0000000000
2525 -1501.0000000000
2532 -1500.0000000000
2544 -1499.0000000000
2554 -1498.0000000000
2562 -1497.0000000000
2584 -1495.0000000000
2591 -1493.0000000000
2609 -1492.0000000000
2619 -1490.0000000000
2628 -1486.0000000000
2653 -1485.0000000000
2671 -1483.0000000000
2683 -1482.0000000000
2703 -1481.0000000000
2705 -1479.0000000000
2718 -1478.0000000000
2726 -1477.0000000000
2731 -1475.0000000000
2742 -1474.0000000000
2761 -1472.0000000000
2772 -1471.0000000000
2785 -1470.0000000000
2794 -1468.0000000000
2802 -1467.0000000000
2812 -1466.0000000000
2816 -1465.0000000000
2823 -1464.0000000000
2842 -1463.0000000000
2856 -1462.0000000000
2860 -1461.0000000000
2868 -1460.0000000000
2871 -1458.0000000000
2888 -1457.0000000000
2891 -1456.0000000000
2920 -1454.0000000000
2934 -1453.0000000000
2943 -1452.0000000000
2944 -1451.0000000000
2951 -1450.0000000000
2953 -1449.0000000000
2961 -1448.0000000000
2974 -1447.0000000000
2985 -1444.0000000000
3003 -1442.0000000000
3026 -1440.0000000000
3032 -1439.0000000000
3039 -1438.0000000000
3043 -1436.0000000000
3062 -1434.0000000000
3075 -1433.0000000000
3082 -1430.0000000000
3098 -1429.0000000000
3107 -1428.0000000000
3115 -1427.0000000000
3132 -1425.0000000000
3148 -1424.0000000000
3160 -1423.0000000000
3171 -1422.0000000000
3177 -1420.0000000000
3201 -1418.0000000000
3202 -1417.0000000000
3217 -1416.0000000000
3235 -1415.0000000000
3239 -1414.0000000000
3243 -1412.0000000000
3254 -1411.0000000000
3257 -1410.0000000000
3265 -1407.0000000000
3293 -1406.0000000000
3305 -1405.0000000000
3307 -1404.0000000000
3317 -1403.0000000000
3322 -1402.0000000000
3346 -1401.0000000000
3365 -1400.0000000000
3371 -1399.0000000000
3398 -1397.0000000000
3411 -1393.0000000000
3458 -1391.0000000000
3463 -1390.0000000000
3473 -1389.0000000000
3483 -1388.0000000000
3501 -1385.0000000000
3529 -1382.0000000000
3554 -1381.0000000000
3561 -1376.0000000000
3572 -1375.0000000000
3599 -1372.0000000000
3607 -1371.0000000000
3629 -1369.0000000000
3631 -1367.0000000000
3650 -1366.0000000000
3669 -1364.0000000000
3680 -1363.0000000000
3681 -1361.0000000000
3702 -1359.0000000000
3731 -1358.0000000000
3743 -1357.0000000000
3752 -1356.0000000000
3761 -1354.0000000000
3768 -1353.0000000000
3790 -1352.0000000000
3792 -1349.0000000000
3806 -1348.0000000000
3812 -1347.0000000000
3817 -1345.0000000000
3825 -1344.0000000000
3839 -1343.0000000000
3869 -1342.0000000000
3872 -1341.0000000000
3885 -1340.0000000000
3900 -1338.0000000000
3917 -1337.0000000000
3931 -1336.0000000000
3934 -1335.0000000000
3953 -1334.0000000000
3968 -1331.0000000000
3970 -1330.0000000000
3984 -1328.0000000000
4004 -1327.0000000000
