evaluations raw_y
1 706969.8944301389
7 713804.0763839142
19 715635.4562827609
22 717012.3797407942
33 717786.6278494471
34 720993.4631927671
37 726683.0348005395
60 731625.8819479019
67 733916.4153011236
75 742500.9262671808
81 749229.8915756759
102 751305.6290225195
111 755424.2000826270
120 763982.8965986869
121 769974.6490886308
148 779955.1968937906
174 780813.1848284651
192 784286.7779402146
198 784607.8045301465
203 785659.2816502014
212 786440.2653524665
224 787331.8152673397
225 790813.8201280019
229 793684.5223208724
248 796641.9955931039
260 797887.6329075019
276 799149.2383627681
285 804540.8944134468
309 807273.2988969929
329 808351.4984175817
339 809323.6899720152
341 809486.2109344866
345 810531.8025768613
356 811162.3269707753
366 813702.4892455791
367 816014.5958658393
382 816502.6109252704
402 819179.2670859956
420 820141.2495690695
423 821620.8581080128
426 823654.4123523926
447 823684.9860309323
453 824254.1967076643
463 825955.4752584682
481 827980.4793367396
501 828093.4734985365
511 828172.1301459362
518 828477.4147581269
524 828478.8850257194
528 828802.0036264117
534 828836.3165914390
542 829157.5552167880
543 829867.3310237046
564 831672.6019277723
579 831673.1889874190
593 833507.7302032538
604 833958.3944549626
625 834728.7689606233
631 835343.1713388561
652 835558.4224561731
659 836124.0980105542
673 837273.9868377029
685 837984.1674518719
703 838152.3586955522
726 839464.3763781062
768 839797.6492809012
773 839917.4550986635
782 840075.9841327188
791 840332.3571546878
803 840336.5782791954
804 840578.2545073064
809 840733.7010627351
811 841035.9617399815
821 842889.8868388870
843 842919.4009407775
851 843233.7919368569
852 843534.8234276568
866 843872.9129861966
873 843942.1087021108
881 844295.8022227241
885 844923.3628104582
896 845298.4149086933
902 846240.1125503009
905 846795.2176252733
927 848166.9428878109
951 848456.2501930788
957 849163.4214875554
963 849689.4035249182
969 851523.6584190193
982 852230.7562015658
1012 852825.8726281855
1021 853135.9247688485
1044 854891.9079750311
1070 855910.3512309717
1081 858053.6144194942
1105 858217.2824977015
1107 858320.9750191956
1119 858977.3409194491
1122 859552.7466053406
1131 860902.2023549378
1145 860976.9269528728
1162 861838.7915677351
1176 862160.2823196595
1192 862423.5326913384
1193 862656.0696640705
1200 863195.1688131093
1206 863975.0100779815
1222 864223.6126313504
1228 864468.5747884414
1239 864724.8149148155
1250 865102.3310859955
1256 865282.4414554071
1258 865337.2320997999
1266 865471.0473838052
1272 865486.9403315476
1279 867137.8978785569
1287 867282.9628456854
1305 867912.8868086849
1322 868418.9188866669
1324 868433.4045315973
1326 868857.7925612581
1343 869291.9213083205
1344 869961.9721039205
1361 870618.4321071081
1397 871971.3375823868
1402 872624.0926121772
1403 872843.2603713891
1433 873723.5734993621
1442 875562.7820088891
1466 875582.4560314962
1481 875744.8644524806
1495 877130.7892166842
1515 878308.7815524993
1528 879101.6838830005
1544 879324.5859325966
1548 879583.6212295076
1551 879947.7711170879
1562 880302.2003095020
1573 880545.6366454678
1584 880964.7645283252
1585 881422.0196177099
1590 881870.3320425366
1595 881985.6695797221
1603 882138.1174475519
1610 882168.6261373376
1623 882192.2440586525
1626 882607.1740573095
1638 883238.2794554384
1643 883952.7671141477
1646 883969.6018120506
1658 884103.4979991798
1663 884410.3396654215
1669 884835.3132051157
1671 885138.7204255393
1696 885638.3100353073
1702 885912.8871517761
1708 886912.6315750550
1723 887847.5506262108
1733 889083.6275263127
1754 889325.7343565283
1762 891257.7385087450
1792 891814.7286486629
1799 891873.4308496016
1810 891907.6610426626
1816 892400.6126524330
1823 892609.5531755791
1824 893358.3727627309
1848 893933.0084157784
1849 894200.0244755785
1852 894264.8211275506
1856 894838.6363556022
1867 895184.3062241158
1877 896222.7404556847
1903 896503.8307186865
1908 897194.1302646651
1915 897549.2039547610
1916 900147.2281574721
1939 900741.3698637200
1943 900833.4120286998
1959 901142.7125521477
1962 901599.5788291944
1968 901766.9408788340
1973 902088.2004208418
1983 903068.3638223124
2011 903962.2472514801
2021 904745.6491029045
2026 904981.4691572103
2045 906289.3998755277
2097 907103.2610328509
2102 907673.9030760006
2116 908640.5973517303
2132 909996.5981655044
2144 910241.9683516946
2162 910279.6489723724
2164 910486.7039629937
2190 910982.1456789443
2210 912439.6821284982
2226 913579.1659187225
2244 914557.0863357657
2268 914697.7467462283
2282 915942.7234386756
2307 915982.4600388281
2316 916579.9481207256
2323 916961.4679327682
2328 917486.8920395049
2350 917541.2413351570
2353 919019.7659197138
2386 919190.7549959839
2388 919275.8278929436
2396 919685.4886314162
2398 920004.3976612698
2414 920299.4994323533
2424 920347.1664169049
2435 920595.7367682928
2439 920602.0643678029
2441 921679.1787115131
2468 922319.6113143030
2490 922559.7692638788
2495 922578.0557200941
2504 923943.4193594428
2527 924013.0101113578
2532 925534.8609539880
2570 926752.4907554694
2581 927451.1676111027
2601 928642.2142416727
2646 928857.9181864343
2653 929019.3881989628
2663 929081.5662634948
2664 929817.6075208631
2678 929927.5465294749
2692 930679.4373619795
2704 930708.3169510957
2706 931283.0985186559
2715 932125.6217767240
2723 932762.7855931524
2725 933064.0443156032
2741 934509.8615927738
2766 936450.0172031441
2794 936964.2661885362
2819 938034.2250140914
2824 938188.5463967660
2825 938268.7823621333
2829 938272.7131677199
2846 938283.4989330261
2850 938783.2750381159
2853 939170.7845076129
2863 939654.7430877102
2864 939785.5481093291
2885 940097.0768145594
2890 940134.3974186737
2900 941985.9836206095
2921 942162.7559314838
2927 943313.0801021984
2954 943750.2625262373
2973 944600.3122433459
2994 944763.3554211489
3008 945972.5460692131
3011 945988.6191687512
3023 946055.3937010254
3041 946060.0325307770
3044 946718.1996941336
3067 946745.5760503082
3074 948113.5502556501
3107 948384.3771530540
3108 948885.8995657399
3123 949312.8626353296
3139 949472.4511348358
3142 949987.6855645162
3145 950370.3132506021
3175 950521.0685547417
3179 951641.4226009944
3183 951857.7218870898
3184 951949.4019522232
3186 952073.0738772424
3215 952473.6921883138
3222 952716.9605389253
3224 953200.9791229229
3241 954734.6001055329
3262 955029.1639179103
3282 955842.3273163969
3291 957201.2961644883
3337 957285.9762351050
3342 957565.2926154666
3345 958154.2828817641
3358 958183.9958942084
3361 958231.7502983861
3362 959101.9780211877
3379 959288.1917300833
3392 959939.6709875081
3398 961519.3507311033
3426 961762.8510144292
3439 961929.0519317882
3445 962443.3530068749
3465 962833.4810205066
3479 963482.3495960664
3484 963883.2339860935
3498 964105.9111398202
3502 964759.9888958702
3508 964958.0938065239
3523 965278.1182974566
3530 966167.6504819057
3542 966332.3210179335
3547 966373.8351106721
3550 966880.7784479543
3567 967186.0270408569
3570 967463.6005087660
3573 967470.9721345305
3594 968923.1193028673
3615 968965.9670894713
3623 969602.5334262891
3635 970259.6568340401
3650 970616.4712278460
3654 972214.4244729626
3673 972353.0851100491
3682 972819.7140197924
3702 973102.1346413509
3712 973512.4459750275
3725 973765.7596474499
3732 974061.4339696637
3751 974521.7872343904
3784 974635.4138789435
3787 974904.2444758149
3794 974950.9112907693
3798 975496.4816712920
3800 976149.8426796282
3824 976416.8389781067
3832 976549.7049276108
3842 978027.1272385510
3863 978081.6899728632
3878 978224.7955946849
3888 978756.0121533343
3901 979012.8993368417
3902 979312.1808662694
3920 979507.5437787306
3922 979978.7976502769
3927 980517.5745282440
3948 981067.0709167388
3965 981294.0031355653
3994 981753.9033679453
4000 982306.8612512177
4004 984231.9127209183
4042 984292.8217090168
4045 985302.3867488583
4049 986273.7112588588
4070 987499.6900799727
4087 987941.8045436499
4101 988945.4147705318
4124 989768.6302419002
4142 990339.7628102641
4166 990542.5434558823
4174 991087.3696343898
4183 991135.6879219796
4192 991533.4331144429
4208 992226.2138610346
4224 992314.3146938680
4227 992346.6855410668
4237 992525.1991063047
4240 994334.4411923854
4262 995448.3527910135
4292 995536.0374403835
4302 996042.4513586838
4315 996353.0920667462
4329 996403.7180244524
4333 997208.6306211490
4339 997499.6619398086
4344 997852.5496556150
4346 998622.7892305654
4350 999249.6845150671
4381 999528.0516869749
4395 1000242.8671933842
4401 1001967.7681797872
4405 1002081.1884724939
4440 1002508.5836635618
4456 1002748.7858560195
4465 1003411.5531432214
4484 1003801.8405947811
4507 1004281.7053811259
4508 1004372.1848313963
4521 1004878.6512750686
4526 1004961.6984685750
4543 1006637.1541843357
4568 1006996.0264363769
4583 1007140.6458897420
4594 1007238.2472068426
4599 1007266.6440539323
4602 1007774.0756650721
4613 1008801.5721383395
4624 1010137.3808331973
4686 1011258.7405532037
4729 1011360.5721284123
4732 1011552.2495054959
4733 1011579.1866328043
4739 1012396.2896154816
4744 1012954.7012503248
4763 1013383.9355128582
4777 1013658.3577628400
4783 1013723.5834914607
4805 1014969.3809410152
4849 1015169.7811262865
4869 1015954.3299663169
4876 1016360.4597340032
4891 1016596.2910411641
4917 1016825.9819295101
4919 1017726.3697656523
4945 1017736.7092574459
4946 1019788.2592210299
4952 1020192.7779039413
4965 1020492.1542809750
4987 1020557.1316871068
4990 1022054.9825859900
5024 1022182.1647771829
5026 1022194.1816642089
5030 1022814.4013114156
5042 1022915.0647611356
5062 1023315.1541541757
5065 1023683.5754341562
5101 1023803.6743569490
5106 1024588.0656435256
5107 1024626.3310494823
5123 1025356.5806798777
5141 1026024.6813545944
5149 1026629.2983705982
5162 1028350.4551299087
5172 1029953.5150101141
5212 1030462.9751537879
5224 1030960.9141328376
5246 1031704.1806235613
5267 1031738.5591837912
5268 1031985.5572675691
5277 1032117.7208294269
5283 1033047.8697879466
5292 1033774.1194375431
5306 1033783.3775865003
5309 1034001.9061961719
5333 1034973.3388162433
5341 1035162.4985514485
5363 1036066.0968096129
5403 1036209.6005934759
5405 1036597.5157208510
5433 1037906.2614974726
