evaluations raw_y
1 0.0000000000
2 66.0000000000
3 215.0000000000
4 372.0000000000
5 400.0000000000
7 430.0000000000
8 474.0000000000
20 491.0000000000
394 504.0000000000
434 506.0000000000
1287 509.0000000000
2905 517.0000000000
2982 521.0000000000
3144 523.0000000000
4145 525.0000000000
5471 529.0000000000
10000 529.0000000000
evaluations raw_y
1 0.0000000000
4 96.0000000000
5 215.0000000000
10 295.0000000000
12 445.0000000000
14 472.0000000000
15 479.0000000000
143 488.0000000000
907 501.0000000000
1678 510.0000000000
1939 526.0000000000
2396 537.0000000000
3697 546.0000000000
4827 547.0000000000
5765 548.0000000000
9031 549.0000000000
10000 549.0000000000
evaluations raw_y
1 102.0000000000
3 189.0000000000
5 219.0000000000
7 278.0000000000
9 349.0000000000
10 457.0000000000
14 489.0000000000
15 510.0000000000
102 511.0000000000
155 513.0000000000
271 516.0000000000
1551 518.0000000000
4914 525.0000000000
5499 527.0000000000
6666 530.0000000000
7540 532.0000000000
7947 538.0000000000
8103 539.0000000000
10000 -1.0000000000
evaluations raw_y
1 200.0000000000
2 310.0000000000
3 389.0000000000
9 422.0000000000
12 482.0000000000
408 492.0000000000
473 504.0000000000
986 508.0000000000
1122 516.0000000000
1299 519.0000000000
1962 527.0000000000
4260 531.0000000000
5636 532.0000000000
7878 537.0000000000
8941 541.0000000000
10000 541.0000000000
evaluations raw_y
1 0.0000000000
2 124.0000000000
3 245.0000000000
5 301.0000000000
6 443.0000000000
11 515.0000000000
1234 516.0000000000
2462 520.0000000000
7905 524.0000000000
9432 527.0000000000
10000 -1.0000000000
evaluations raw_y
1 0.0000000000
2 74.0000000000
3 218.0000000000
5 267.0000000000
7 324.0000000000
8 365.0000000000
10 433.0000000000
12 448.0000000000
13 468.0000000000
912 486.0000000000
1001 487.0000000000
1031 498.0000000000
1269 509.0000000000
1536 527.0000000000
3060 531.0000000000
3861 533.0000000000
7169 534.0000000000
7483 539.0000000000
9863 540.0000000000
10000 540.0000000000
evaluations raw_y
1 144.0000000000
2 201.0000000000
3 291.0000000000
5 399.0000000000
7 423.0000000000
12 455.0000000000
13 485.0000000000
508 488.0000000000
2139 492.0000000000
2778 496.0000000000
3098 500.0000000000
3576 507.0000000000
3787 516.0000000000
4445 525.0000000000
9235 526.0000000000
9426 528.0000000000
9534 530.0000000000
10000 530.0000000000
evaluations raw_y
1 0.0000000000
2 177.0000000000
3 228.0000000000
4 286.0000000000
5 418.0000000000
8 451.0000000000
11 454.0000000000
12 470.0000000000
33 483.0000000000
156 484.0000000000
174 492.0000000000
354 496.0000000000
387 499.0000000000
425 522.0000000000
1299 523.0000000000
1325 526.0000000000
5691 527.0000000000
7038 531.0000000000
7948 539.0000000000
8377 540.0000000000
10000 540.0000000000
evaluations raw_y
1 126.0000000000
2 211.0000000000
3 403.0000000000
4 440.0000000000
5 504.0000000000
741 507.0000000000
979 518.0000000000
1042 523.0000000000
1502 524.0000000000
1723 529.0000000000
3746 538.0000000000
9608 539.0000000000
10000 539.0000000000
evaluations raw_y
1 85.0000000000
2 228.0000000000
3 369.0000000000
5 395.0000000000
8 434.0000000000
9 463.0000000000
11 480.0000000000
317 495.0000000000
1125 499.0000000000
1763 501.0000000000
2118 512.0000000000
2162 517.0000000000
3639 518.0000000000
4544 521.0000000000
5557 531.0000000000
6848 538.0000000000
10000 -1.0000000000
evaluations raw_y
1 108.0000000000
5 299.0000000000
6 344.0000000000
8 424.0000000000
10 435.0000000000
12 465.0000000000
170 484.0000000000
699 488.0000000000
1133 489.0000000000
1221 491.0000000000
1267 497.0000000000
1469 506.0000000000
2708 511.0000000000
2808 514.0000000000
3057 515.0000000000
3178 520.0000000000
3263 524.0000000000
10000 524.0000000000
evaluations raw_y
1 213.0000000000
2 320.0000000000
