evaluations raw_y
1 0.0000000000
3 27.3200000000
5 28.6200000000
7 29.4200000000
8 55.4700000000
9 61.9900000000
11 74.8400000000
12 90.9400000000
15 98.2500000000
16 101.3800000000
17 106.9900000000
19 116.4100000000
20 133.9000000000
22 148.9900000000
23 151.8700000000
24 166.8600000000
25 183.8900000000
26 187.4400000000
31 189.9000000000
32 202.6200000000
33 207.0000000000
37 213.3600000000
39 219.9600000000
40 229.1500000000
45 252.9600000000
47 269.0500000000
48 277.8500000000
49 278.9000000000
54 282.0700000000
57 282.5700000000
59 289.0400000000
60 300.6600000000
61 309.6100000000
62 326.2900000000
63 341.7700000000
65 364.6800000000
77 372.6700000000
82 383.9800000000
93 400.5300000000
141 404.8200000000
1715 406.2600000000
1791 410.1100000000
10000 -2.0000000000
evaluations raw_y
1 0.0000000000
2 7.7000000000
3 10.1700000000
4 29.9200000000
6 55.4700000000
7 56.9200000000
8 65.0000000000
10 84.3500000000
13 88.3200000000
14 105.1300000000
15 119.5800000000
17 127.5000000000
18 168.8500000000
22 170.6800000000
23 174.6100000000
24 187.7500000000
25 194.0800000000
28 203.5900000000
30 214.3900000000
32 225.2400000000
34 237.7700000000
35 239.3500000000
39 248.4500000000
50 248.5200000000
51 255.6200000000
54 290.8000000000
58 296.0300000000
84 323.2100000000
86 341.7100000000
89 353.1800000000
92 361.1100000000
97 370.5800000000
98 388.3600000000
134 389.3000000000
142 390.3200000000
151 390.8600000000
255 391.8800000000
268 401.9300000000
443 407.6500000000
2485 409.5900000000
5546 409.6200000000
5583 409.7400000000
7377 410.4300000000
7854 410.7500000000
10000 -1.0000000000
evaluations raw_y
1 29.9100000000
11 31.4000000000
12 53.2400000000
13 62.8400000000
14 69.0000000000
15 112.5400000000
17 121.2100000000
18 121.3200000000
19 149.4500000000
21 152.2100000000
25 164.0700000000
28 171.0100000000
29 173.9500000000
33 185.3900000000
34 195.8500000000
39 222.5900000000
40 224.9500000000
43 228.2400000000
44 231.2800000000
45 238.1900000000
46 270.1900000000
54 277.6300000000
62 280.9400000000
64 282.7300000000
65 307.0300000000
66 344.3400000000
67 352.0400000000
68 362.0500000000
70 376.4300000000
119 377.9600000000
121 384.3000000000
125 397.6400000000
139 408.8000000000
141 417.6100000000
151 418.3900000000
155 423.5100000000
163 425.3800000000
167 439.0500000000
264 442.3000000000
792 449.9200000000
5180 453.6500000000
9029 453.8700000000
9281 458.1200000000
9552 462.9800000000
10000 398.7600000000
evaluations raw_y
1 0.0000000000
6 10.2600000000
7 24.0200000000
9 24.2500000000
10 45.0800000000
11 52.9500000000
15 87.6400000000
16 104.7700000000
19 114.9400000000
20 115.6100000000
22 134.2600000000
26 155.5800000000
27 183.9300000000
28 201.1900000000
29 223.4700000000
39 229.8600000000
40 249.1100000000
43 249.8100000000
44 254.0000000000
45 279.5900000000
47 292.6200000000
49 300.9400000000
50 312.5500000000
51 315.7600000000
52 342.3000000000
58 354.5300000000
74 355.9700000000
75 357.1600000000
76 398.5200000000
77 407.5200000000
142 412.7900000000
155 413.3300000000
157 413.7300000000
212 419.2100000000
269 422.3900000000
342 427.3100000000
3383 427.5600000000
3942 428.8600000000
7321 434.8700000000
10000 -1.0000000000
evaluations raw_y
1 6.9000000000
4 51.8900000000
5 53.7700000000
6 54.8800000000
7 75.2500000000
8 107.0800000000
10 118.6100000000
11 122.6600000000
12 134.2800000000
13 140.6400000000
14 172.3900000000
17 183.7000000000
18 190.6600000000
19 215.7900000000
20 229.9400000000
21 239.1200000000
28 243.3300000000
29 246.2300000000
30 247.8400000000
31 268.7500000000
33 279.4100000000
41 287.1700000000
42 300.4400000000
45 321.0400000000
47 340.8300000000
50 348.5800000000
52 366.6000000000
71 371.5700000000
72 390.9900000000
80 397.3300000000
82 397.5700000000
87 400.5300000000
117 402.3100000000
126 413.1200000000
228 413.7100000000
315 414.0900000000
335 416.1100000000
384 422.2100000000
1363 426.3400000000
2348 430.4300000000
3651 431.3100000000
10000 409.8500000000
evaluations raw_y
1 8.3800000000
4 10.3100000000
6 28.9300000000
7 30.0000000000
8 49.6800000000
11 51.1900000000
12 57.9600000000
13 58.4200000000
14 71.4000000000
15 98.6400000000
16 121.9400000000
17 161.2000000000
21 164.6400000000
25 167.0800000000
27 180.4400000000
28 193.4100000000
29 217.7200000000
31 223.1600000000
32 239.5300000000
34 262.3400000000
37 274.5700000000
40 275.3800000000
42 291.3800000000
77 296.5500000000
79 321.5100000000
101 342.2200000000
174 349.8300000000
227 360.6800000000
231 371.1100000000
233 384.2300000000
241 397.6800000000
363 402.6600000000
800 406.4000000000
1210 410.3900000000
3473 410.7100000000
4339 413.1600000000
8168 415.1900000000
10000 384.7900000000
evaluations raw_y
1 0.0000000000
2 5.4600000000
3 11.0900000000
5 19.7100000000
6 26.2500000000
7 47.4700000000
8 69.7700000000
10 88.0100000000
13 90.6800000000
14 93.9200000000
16 100.6100000000
17 101.1500000000
18 106.1100000000
20 117.9400000000
26 125.9000000000
30 136.6600000000
36 159.3600000000
38 166.5600000000
43 183.5900000000
49 197.1300000000
54 200.2300000000
58 219.1000000000
62 221.2200000000
66 225.0400000000
67 233.4600000000
69 257.5900000000
70 275.8400000000
75 282.8400000000
76 285.5500000000
83 288.6400000000
85 307.3700000000
89 307.7700000000
91 311.0200000000
92 321.2400000000
94 329.1200000000
95 337.2100000000
96 341.8800000000
97 344.8600000000
103 344.9000000000
117 347.4500000000
126 354.4400000000
132 358.1900000000
178 363.1600000000
501 363.4800000000
566 369.6400000000
1683 371.0200000000
2814 371.7300000000
5723 373.9100000000
6992 374.6100000000
8114 378.6600000000
10000 315.6900000000
evaluations raw_y
1 8.8700000000
2 19.0400000000
3 27.6900000000
4 30.8200000000
5 43.4800000000
8 44.3900000000
10 51.0200000000
12 51.5800000000
13 71.6300000000
14 87.7300000000
27 119.6500000000
28 131.9000000000
32 132.2200000000
34 135.7400000000
35 136.6900000000
37 141.2000000000
38 166.8000000000
40 172.6900000000
41 177.7000000000
42 202.6300000000
43 206.5100000000
44 214.8700000000
45 242.6200000000
49 253.8200000000
51 258.9100000000
54 263.1800000000
55 268.9000000000
58 285.7200000000
59 286.8000000000
61 296.9400000000
63 317.7900000000
66 322.4800000000
75 332.5500000000
91 342.9200000000
95 356.6500000000
141 358.8900000000
170 367.8100000000
202 375.1900000000
273 381.9500000000
894 382.4300000000
