evaluations raw_y
1 111.0000000000
2 204.0000000000
4 334.0000000000
6 462.0000000000
7 512.0000000000
10 610.0000000000
1111 620.0000000000
1566 621.0000000000
1621 622.0000000000
4194 626.0000000000
5476 631.0000000000
5571 634.0000000000
6758 645.0000000000
6912 653.0000000000
7657 654.0000000000
11894 655.0000000000
12156 656.0000000000
13295 662.0000000000
15344 670.0000000000
20542 672.0000000000
30309 673.0000000000
42769 676.0000000000
45062 679.0000000000
47013 684.0000000000
47608 689.0000000000
50748 696.0000000000
86469 703.0000000000
100000 -1.0000000000
evaluations raw_y
1 0.0000000000
6 82.0000000000
7 201.0000000000
8 343.0000000000
9 435.0000000000
12 484.0000000000
13 521.0000000000
15 542.0000000000
499 547.0000000000
635 554.0000000000
641 574.0000000000
814 598.0000000000
836 607.0000000000
1120 608.0000000000
1851 625.0000000000
2242 627.0000000000
2943 628.0000000000
3020 648.0000000000
3383 649.0000000000
3464 655.0000000000
3508 661.0000000000
3723 664.0000000000
6834 665.0000000000
11488 668.0000000000
14881 675.0000000000
19563 677.0000000000
20402 678.0000000000
34510 682.0000000000
63380 691.0000000000
100000 -3.0000000000
evaluations raw_y
1 224.0000000000
2 297.0000000000
3 337.0000000000
4 414.0000000000
6 481.0000000000
8 527.0000000000
9 569.0000000000
13 599.0000000000
91 602.0000000000
364 607.0000000000
599 614.0000000000
945 619.0000000000
1046 622.0000000000
1165 635.0000000000
1231 636.0000000000
1749 637.0000000000
3655 642.0000000000
4098 644.0000000000
5161 645.0000000000
5627 655.0000000000
6133 664.0000000000
12817 666.0000000000
14059 669.0000000000
16353 673.0000000000
16754 676.0000000000
45837 679.0000000000
59782 680.0000000000
66993 684.0000000000
67554 689.0000000000
100000 -2.0000000000
evaluations raw_y
1 0.0000000000
3 194.0000000000
5 330.0000000000
6 382.0000000000
8 452.0000000000
9 498.0000000000
10 568.0000000000
49 571.0000000000
130 581.0000000000
201 583.0000000000
704 588.0000000000
763 591.0000000000
1156 601.0000000000
1197 614.0000000000
1718 616.0000000000
2121 622.0000000000
2534 647.0000000000
2764 654.0000000000
7428 656.0000000000
13432 658.0000000000
18913 659.0000000000
26016 662.0000000000
40837 663.0000000000
46389 665.0000000000
48626 666.0000000000
59458 668.0000000000
60088 676.0000000000
62696 679.0000000000
82639 684.0000000000
96810 685.0000000000
96888 686.0000000000
100000 -1.0000000000
evaluations raw_y
1 0.0000000000
2 102.0000000000
3 210.0000000000
7 392.0000000000
8 492.0000000000
9 527.0000000000
10 544.0000000000
12 580.0000000000
20 595.0000000000
176 597.0000000000
824 612.0000000000
879 613.0000000000
1407 614.0000000000
1496 628.0000000000
3165 632.0000000000
3229 641.0000000000
4272 650.0000000000
5194 654.0000000000
5258 655.0000000000
10020 660.0000000000
10609 664.0000000000
11354 665.0000000000
13244 670.0000000000
16622 672.0000000000
17198 673.0000000000
18751 674.0000000000
22370 675.0000000000
28368 678.0000000000
29476 683.0000000000
29606 685.0000000000
31896 688.0000000000
35137 691.0000000000
55819 692.0000000000
67528 694.0000000000
72686 697.0000000000
100000 -3.0000000000
evaluations raw_y
1 229.0000000000
4 303.0000000000
5 411.0000000000
6 524.0000000000
7 549.0000000000
10 569.0000000000
18 579.0000000000
156 589.0000000000
498 594.0000000000
527 602.0000000000
755 619.0000000000
772 629.0000000000
1137 631.0000000000
1170 637.0000000000
1856 661.0000000000
1912 664.0000000000
4259 665.0000000000
15029 667.0000000000
16242 668.0000000000
27437 669.0000000000
29730 671.0000000000
34788 676.0000000000
43953 677.0000000000
45457 678.0000000000
52931 679.0000000000
100000 -1.0000000000
evaluations raw_y
1 94.0000000000
3 282.0000000000
4 414.0000000000
6 458.0000000000
7 479.0000000000
8 531.0000000000
9 562.0000000000
334 590.0000000000
1952 602.0000000000
2192 619.0000000000
2273 632.0000000000
2673 640.0000000000
6014 642.0000000000
6740 647.0000000000
7685 655.0000000000
14813 657.0000000000
17205 665.0000000000
22749 680.0000000000
28230 681.0000000000
54748 685.0000000000
100000 685.0000000000
evaluations raw_y
1 0.0000000000
5 107.0000000000
7 188.0000000000
9 464.0000000000
13 515.0000000000
14 549.0000000000
18 567.0000000000
23 594.0000000000
73 595.0000000000
153 598.0000000000
467 626.0000000000
888 627.0000000000
1985 629.0000000000
6690 631.0000000000
7829 638.0000000000
8391 640.0000000000
12073 641.0000000000
12876 646.0000000000
12891 649.0000000000
15499 651.0000000000
15793 658.0000000000
16063 675.0000000000
34221 676.0000000000
35646 684.0000000000
100000 -2.0000000000
evaluations raw_y
1 0.0000000000
2 198.0000000000
3 258.0000000000
4 318.0000000000
6 355.0000000000
8 391.0000000000
9 476.0000000000
10 519.0000000000
11 558.0000000000
12 586.0000000000
736 594.0000000000
990 605.0000000000
1169 619.0000000000
2025 629.0000000000
2337 635.0000000000
2900 640.0000000000
4045 643.0000000000
4548 646.0000000000
6478 649.0000000000
8419 650.0000000000
9616 652.0000000000
12701 661.0000000000
16351 662.0000000000
16507 664.0000000000
18198 675.0000000000
20299 684.0000000000
21762 685.0000000000
22383 686.0000000000
24264 687.0000000000
33819 688.0000000000
44718 691.0000000000
50610 692.0000000000
68356 693.0000000000
89113 699.0000000000
92596 700.0000000000
100000 700.0000000000
evaluations raw_y
1 155.0000000000
3 298.0000000000
4 491.0000000000
5 524.0000000000
8 560.0000000000
9 587.0000000000
217 602.0000000000
408 613.0000000000
1313 627.0000000000
2056 637.0000000000
3150 639.0000000000
3785 645.0000000000
3875 655.0000000000
10489 656.0000000000
13843 661.0000000000
17092 665.0000000000
18024 667.0000000000
31949 668.0000000000
39220 672.0000000000
45262 674.0000000000
60024 675.0000000000
73218 685.0000000000
81030 689.0000000000
100000 -2.0000000000
evaluations raw_y
1 86.0000000000
3 282.0000000000
4 379.0000000000
5 427.0000000000
6 454.0000000000
10 482.0000000000
14 549.0000000000
16 583.0000000000
256 585.0000000000
850 591.0000000000
2018 617.0000000000
3001 639.0000000000
3273 642.0000000000
3341 650.0000000000
3809 654.0000000000
6132 656.0000000000
7617 660.0000000000
9301 666.0000000000
13579 671.0000000000
18515 678.0000000000
21658 683.0000000000
30679 686.0000000000
37639 687.0000000000
40585 692.0000000000
70357 693.0000000000
83644 701.0000000000
94992 703.0000000000
100000 -1.0000000000
evaluations raw_y
1 256.0000000000
3 343.0000000000
5 373.0000000000
7 581.0000000000
730 594.0000000000
1037 611.0000000000
1239 622.0000000000
1386 631.0000000000
1543 642.0000000000
7000 644.0000000000
7347 657.0000000000
12745 658.0000000000
12823 660.0000000000
18670 666.0000000000
34049 667.0000000000
49140 671.0000000000
72295 672.0000000000
76712 675.0000000000
84234 676.0000000000
84463 677.0000000000
89483 680.0000000000
97387 681.0000000000
97862 687.0000000000
100000 687.0000000000
evaluations raw_y
1 0.0000000000
6 219.0000000000
7 301.0000000000
8 406.0000000000
10 443.0000000000
11 466.0000000000
14 506.0000000000
15 540.0000000000
16 567.0000000000
525 569.0000000000
529 580.0000000000
965 608.0000000000
1526 610.0000000000
2129 612.0000000000
3345 616.0000000000
3656 630.0000000000
6258 643.0000000000
7725 644.0000000000
7981 646.0000000000
10182 650.0000000000
11712 655.0000000000
13848 659.0000000000
18704 666.0000000000
19948 675.0000000000
26892 678.0000000000
36369 680.0000000000
47294 681.0000000000
49823 682.0000000000
52228 683.0000000000
54269 684.0000000000
55787 687.0000000000
58869 689.0000000000
63179 693.0000000000
73368 694.0000000000
85096 703.0000000000
100000 703.0000000000
evaluations raw_y
1 104.0000000000
2 172.0000000000
3 332.0000000000
4 454.0000000000
5 474.0000000000
7 505.0000000000
10 522.0000000000
14 540.0000000000
99 557.0000000000
284 575.0000000000
369 576.0000000000
546 591.0000000000
1313 604.0000000000
2168 608.0000000000
2222 611.0000000000
2820 632.0000000000
3402 644.0000000000
15971 658.0000000000
25614 659.0000000000
28726 669.0000000000
40935 670.0000000000
51576 672.0000000000
54169 673.0000000000
59615 682.0000000000
95063 687.0000000000
100000 687.0000000000
evaluations raw_y
1 246.0000000000
3 297.0000000000
4 359.0000000000
5 398.0000000000
8 464.0000000000
9 493.0000000000
10 548.0000000000
13 572.0000000000
1120 593.0000000000
1205 620.0000000000
1641 629.0000000000
2355 632.0000000000
2479 635.0000000000
3083 651.0000000000
3690 656.0000000000
10489 657.0000000000
11091 661.0000000000
16145 668.0000000000
27462 669.0000000000
39762 675.0000000000
42961 677.0000000000
57923 678.0000000000
60366 682.0000000000
65303 683.0000000000
73006 684.0000000000
75996 685.0000000000
100000 -2.0000000000
evaluations raw_y
1 121.0000000000
3 322.0000000000
4 374.0000000000
5 495.0000000000
7 525.0000000000
8 544.0000000000
14 559.0000000000
239 561.0000000000
289 574.0000000000
1683 578.0000000000
2772 579.0000000000
2800 580.0000000000
2897 588.0000000000
3019 601.0000000000
3187 615.0000000000
3565 624.0000000000
4222 627.0000000000
4292 635.0000000000
4654 639.0000000000
5467 640.0000000000
5980 647.0000000000
6314 651.0000000000
7814 659.0000000000
7875 664.0000000000
11794 665.0000000000
12653 667.0000000000
13062 670.0000000000
15595 672.0000000000
16847 674.0000000000
17455 678.0000000000
19491 682.0000000000
19929 684.0000000000
47758 686.0000000000
80443 687.0000000000
100000 687.0000000000
evaluations raw_y
1 95.0000000000
3 218.0000000000
4 284.0000000000
5 395.0000000000
6 425.0000000000
7 474.0000000000
8 505.0000000000
9 546.0000000000
10 581.0000000000
12 595.0000000000
305 600.0000000000
518 604.0000000000
882 613.0000000000
2573 617.0000000000
2790 619.0000000000
3525 621.0000000000
3691 626.0000000000
3844 628.0000000000
4241 642.0000000000
5214 645.0000000000
6714 646.0000000000
7360 647.0000000000
13053 663.0000000000
17832 665.0000000000
21601 672.0000000000
23983 675.0000000000
30501 684.0000000000
32685 685.0000000000
