evaluations raw_y
1 0.0000000000
2 23.4700000000
3 29.4000000000
4 29.7500000000
5 35.2900000000
6 50.5000000000
7 82.7800000000
8 92.1000000000
10 105.7900000000
11 114.0600000000
12 135.4500000000
13 146.7800000000
14 171.6500000000
19 171.6900000000
21 176.7000000000
24 189.1200000000
26 198.5800000000
30 222.4100000000
36 238.0400000000
39 238.3000000000
40 256.3500000000
41 256.3800000000
42 258.9300000000
43 261.2900000000
44 276.8900000000
45 281.0700000000
46 315.5300000000
58 318.8200000000
59 348.5100000000
60 355.5100000000
61 358.5700000000
62 367.0300000000
63 378.3000000000
64 396.9100000000
67 401.9700000000
68 412.1500000000
72 437.9100000000
83 441.9300000000
106 447.0700000000
109 448.8200000000
128 453.6300000000
129 464.1000000000
133 480.9500000000
139 490.9500000000
153 497.1600000000
157 511.0700000000
187 512.7200000000
197 515.7200000000
224 523.4200000000
233 524.3600000000
240 528.4700000000
258 546.6100000000
259 547.7700000000
268 553.1200000000
283 554.5200000000
306 559.5300000000
308 563.6700000000
311 573.8300000000
313 590.0200000000
317 592.4900000000
318 595.3000000000
322 627.6800000000
340 630.3900000000
343 636.9600000000
344 644.4300000000
346 645.4400000000
347 659.2900000000
350 674.3500000000
356 688.3100000000
368 691.6500000000
1154 691.7200000000
1185 696.4400000000
2872 698.2100000000
4192 706.5200000000
8848 793.1400000000
8883 793.8700000000
8911 797.6700000000
8956 800.2300000000
9081 809.9900000000
9565 814.3900000000
19729 818.4600000000
20385 820.6500000000
22950 828.3000000000
100000 778.2900000000
evaluations raw_y
1 14.4700000000
2 31.1200000000
4 39.3000000000
5 41.5300000000
6 47.4100000000
9 60.5100000000
10 100.9700000000
11 126.7800000000
12 152.6200000000
14 161.7100000000
15 175.2900000000
16 179.0200000000
23 220.8800000000
45 228.9100000000
47 247.1200000000
49 248.3700000000
51 254.0100000000
56 257.1700000000
60 258.6000000000
61 266.8100000000
63 274.2200000000
65 284.1100000000
70 305.9100000000
87 306.2300000000
95 324.0900000000
97 324.9300000000
99 325.0900000000
101 331.8900000000
102 355.0600000000
104 362.4600000000
112 365.7600000000
114 369.0100000000
121 382.0700000000
122 387.4900000000
139 394.3500000000
141 403.9000000000
143 413.4800000000
144 413.5900000000
145 432.6800000000
146 438.4600000000
148 459.8000000000
151 476.1600000000
154 478.8500000000
166 486.7700000000
172 491.4000000000
173 516.7400000000
177 528.6500000000
186 536.0900000000
189 543.2100000000
190 546.2700000000
208 557.6600000000
224 560.4000000000
228 564.0200000000
231 576.2100000000
244 579.5000000000
247 591.2100000000
249 606.9300000000
253 609.7200000000
254 630.2200000000
258 631.7300000000
259 642.3700000000
261 655.3800000000
271 657.4500000000
276 665.5200000000
278 672.5800000000
292 683.8800000000
309 692.8200000000
384 707.5200000000
10292 707.7700000000
15971 711.4100000000
22998 715.7100000000
27910 715.7500000000
63839 769.4400000000
63848 774.9200000000
63903 779.2100000000
63954 784.1100000000
64057 789.0100000000
64455 795.1900000000
70107 795.8400000000
70760 810.8400000000
86643 813.8100000000
86649 820.1300000000
86651 823.3000000000
86663 826.8100000000
86671 829.1500000000
86685 831.8100000000
86742 838.8800000000
87218 839.7500000000
87307 842.6400000000
87603 852.1900000000
100000 -1.0000000000
evaluations raw_y
1 0.0000000000
2 47.8100000000
7 55.5900000000
8 84.4300000000
11 104.6200000000
12 118.5200000000
14 125.2600000000
15 143.0900000000
16 160.3900000000
17 169.0100000000
18 174.9800000000
19 190.8000000000
21 196.9900000000
22 207.1300000000
25 217.5900000000
28 224.9800000000
29 247.1700000000
54 258.5300000000
55 266.2000000000
59 280.3800000000
62 282.1400000000
63 284.8900000000
68 291.8000000000
71 299.8300000000
73 306.1000000000
78 313.7600000000
80 319.5200000000
83 329.5000000000
88 339.8400000000
100 342.6000000000
101 358.4200000000
103 363.0800000000
109 396.4700000000
118 402.0200000000
128 406.3900000000
131 415.0900000000
132 418.3100000000
135 430.7300000000
137 431.9200000000
140 446.8000000000
142 447.4200000000
149 447.4700000000
150 453.5900000000
154 456.1400000000
155 467.2800000000
158 484.0200000000
159 491.1700000000
160 499.5500000000
161 507.2300000000
163 513.8400000000
168 513.8900000000
172 520.2800000000
178 552.3700000000
186 557.9300000000
214 558.7000000000
235 559.5800000000
238 560.3100000000
247 568.4600000000
263 571.7400000000
264 573.3000000000
265 587.6300000000
278 594.7300000000
279 596.0900000000
282 625.8800000000
412 633.4900000000
423 634.6400000000
447 637.6100000000
529 647.3600000000
530 658.9100000000
547 660.6400000000
560 663.6900000000
563 687.9600000000
585 692.9800000000
588 697.9800000000
629 710.2900000000
2663 712.8000000000
4797 713.9500000000
6761 714.3900000000
14313 719.0100000000
14689 720.5000000000
15846 722.9200000000
33317 747.7900000000
33318 755.3300000000
33320 771.9500000000
33356 774.0500000000
33357 777.3500000000
33377 780.0400000000
33425 791.4400000000
33446 792.6200000000
33684 792.6800000000
33708 794.5100000000
33778 796.0600000000
33845 800.4300000000
34732 805.9800000000
41827 812.2100000000
83048 856.0200000000
83050 861.2000000000
83054 865.6300000000
83061 896.4700000000
83989 950.3600000000
83991 957.5600000000
83992 963.0900000000
84001 971.6900000000
84053 973.6600000000
84065 977.9300000000
84260 986.5700000000
92014 986.6900000000
93713 993.0700000000
97092 994.3700000000
97114 996.6100000000
98403 997.9800000000
100000 -2.0000000000
evaluations raw_y
1 7.2700000000
2 7.4800000000
3 8.5100000000
5 33.6900000000
6 34.6000000000
7 36.0900000000
8 63.7400000000
9 67.4600000000
10 74.7700000000
11 79.4200000000
12 93.8500000000
19 94.3800000000
22 117.2800000000
23 138.4700000000
31 154.5800000000
37 160.4000000000
41 188.5200000000
46 195.4200000000
47 207.1400000000
50 230.4200000000
52 237.3700000000
59 242.2600000000
60 254.9500000000
61 279.3500000000
73 293.1500000000
75 318.1700000000
76 335.6500000000
78 339.8700000000
79 341.6100000000
81 358.8600000000
92 374.9900000000
94 398.8400000000
116 402.5800000000
130 489.2000000000
131 519.2000000000
134 522.2800000000
135 524.9600000000
137 531.6700000000
138 538.2100000000
139 549.8700000000
142 550.4000000000
144 560.1900000000
156 567.2700000000
159 576.1000000000
161 586.4900000000
177 590.7600000000
180 604.5400000000
184 613.6300000000
186 624.0400000000
188 634.5100000000
193 640.3500000000
194 657.2100000000
202 666.8300000000
205 680.6600000000
238 686.9600000000
244 702.3200000000
248 713.6300000000
267 714.5500000000
269 717.3600000000
271 748.7600000000
422 752.0500000000
432 753.6400000000
438 756.2500000000
527 761.7200000000
662 761.9000000000
681 764.6500000000
696 765.8400000000
826 767.6500000000
906 768.7800000000
1097 772.4600000000
1242 782.7300000000
3601 789.8100000000
40610 856.9700000000
40698 857.5700000000
40986 858.3800000000
41103 862.1200000000
41132 868.3700000000
42913 871.0900000000
43528 875.2500000000
100000 -1.0000000000
evaluations raw_y
1 0.0000000000
2 10.2500000000
4 31.8000000000
5 38.1900000000
6 55.1600000000
8 62.3500000000
9 71.2500000000
12 78.8400000000
14 121.0200000000
15 130.8000000000
19 164.6300000000
25 179.4800000000
26 187.2600000000
27 207.8800000000
28 218.7800000000
30 236.1600000000
32 258.8000000000
37 263.3500000000
38 286.7900000000
40 291.0100000000
42 309.7000000000
58 319.3700000000
59 322.4200000000
61 323.9800000000
62 342.9800000000
64 354.6500000000
66 365.3200000000
67 395.3300000000
75 399.3600000000
76 405.8300000000
77 423.5000000000
81 429.9700000000
93 435.4800000000
95 437.5600000000
96 454.0100000000
98 470.6900000000
102 475.9000000000
103 479.2600000000
104 480.5100000000
105 499.1700000000
107 506.2200000000
114 506.9100000000
117 538.7900000000
119 542.0500000000
125 542.2600000000
126 544.4100000000
129 551.4500000000
133 562.6300000000
139 563.9000000000
140 572.4600000000
143 587.7600000000
144 614.5600000000
145 617.3200000000
146 626.8000000000
152 639.0000000000
153 645.1200000000
166 660.9600000000
173 663.5800000000
263 670.8400000000
281 674.6900000000
284 674.7400000000
292 683.3300000000
