evaluations raw_y
1 0.0152276534
2 0.0164161561
3 0.0191498977
4 0.0205121473
5 0.0241772482
7 0.0259000259
9 0.0286005194
13 0.0337933738
14 0.0369052715
16 0.0494432688
18 0.0588969774
25 0.0668288380
26 0.0796863545
29 0.0890979721
31 0.1011777085
34 0.1165012349
36 0.1597750367
39 0.2186270223
41 0.2570694087
45 0.3477535123
47 0.4195334788
48 0.4814172925
50 0.5229031583
53 0.5847953216
57 0.6369426752
62 0.8199409643
64 0.8500510031
65 1.0266940452
71 1.1611704598
72 1.2141816416
74 1.2893243940
77 1.3638843426
78 1.5160703457
94 1.5365703749
97 1.5954052329
105 1.6655562958
107 1.8395879323
108 2.0678246485
124 2.2747952684
129 2.6014568158
189 2.6968716289
196 2.7870680045
247 2.9103608847
370 2.9585798817
444 3.1289111389
521 3.2341526520
598 3.4387895461
22111 3.6603221083
25939 3.8880248834
26078 4.0783034258
26157 4.0916530278
26186 4.1597337770
34440 4.4563279857
34671 4.5372050817
100000 2.5693730730
evaluations raw_y
1 0.0166576715
3 0.0209480238
4 0.0226176798
5 0.0249314385
6 0.0325347145
7 0.0395388192
9 0.0436490615
12 0.0490186467
13 0.0549897719
14 0.0615142344
16 0.0689864511
17 0.0789216151
18 0.0905698656
19 0.0907803479
20 0.1039890188
21 0.1167406024
22 0.1336826908
23 0.1361878303
26 0.1577585663
27 0.1724970675
28 0.2011101279
29 0.2300966406
30 0.2613149368
32 0.3042472922
34 0.3466925530
35 0.4212299916
36 0.5522421029
38 0.5886508123
39 0.6535947712
40 0.7320644217
41 0.8135372600
43 0.8732099197
44 1.0060362173
54 1.2531328321
55 1.3123359580
59 1.6744809109
60 1.7667844523
66 1.8050541516
72 1.8953752843
101 1.9516003123
115 2.1570319241
126 2.2461814915
128 2.3786869648
135 2.4485798237
159 2.4533856722
166 2.7808676307
184 2.8636884307
235 3.2594524120
239 3.3921302578
428 3.4013605442
690 3.4578146611
721 3.6075036075
844 3.7257824143
969 3.8759689922
13866 3.9246467818
78273 4.0387722132
100000 3.1766200762
evaluations raw_y
1 0.0162433646
2 0.0212103473
3 0.0228793162
4 0.0311088436
6 0.0381033668
7 0.0428662060
9 0.0481222691
10 0.0542287586
11 0.0604112800
