evaluations raw_y
1 0.0000000000
2 1.0000000000
4 2.0000000000
17 3.0000000000
20 4.0000000000
22 5.0000000000
30 6.0000000000
41 7.0000000000
74 8.0000000000
421 9.0000000000
100000 -20.0000000000
evaluations raw_y
1 1.0000000000
5 3.0000000000
8 4.0000000000
19 5.0000000000
93 6.0000000000
95 7.0000000000
99 8.0000000000
100000 8.0000000000
evaluations raw_y
1 2.0000000000
2 3.0000000000
3 4.0000000000
7 5.0000000000
45 6.0000000000
66 7.0000000000
136 8.0000000000
100000 8.0000000000
evaluations raw_y
1 -17.0000000000
4 -16.0000000000
8 -7.0000000000
11 -6.0000000000
25 -4.0000000000
38 -3.0000000000
153 -2.0000000000
186 6.0000000000
257 7.0000000000
420 8.0000000000
100000 -1.0000000000
evaluations raw_y
1 0.0000000000
4 1.0000000000
11 2.0000000000
12 3.0000000000
13 4.0000000000
34 5.0000000000
44 6.0000000000
73 7.0000000000
205 8.0000000000
100000 -11.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
6 3.0000000000
13 4.0000000000
14 5.0000000000
37 6.0000000000
84 7.0000000000
110 8.0000000000
297 9.0000000000
100000 -88.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
5 2.0000000000
14 3.0000000000
41 4.0000000000
102 5.0000000000
107 6.0000000000
111 7.0000000000
307 8.0000000000
416 9.0000000000
100000 -20.0000000000
evaluations raw_y
1 -8.0000000000
7 -7.0000000000
19 -6.0000000000
25 -5.0000000000
32 4.0000000000
49 5.0000000000
102 6.0000000000
405 7.0000000000
451 8.0000000000
100000 8.0000000000
evaluations raw_y
1 -34.0000000000
6 -33.0000000000
56 -24.0000000000
62 -23.0000000000
75 -4.0000000000
93 -3.0000000000
116 -2.0000000000
415 7.0000000000
509 8.0000000000
624 9.0000000000
100000 9.0000000000
evaluations raw_y
1 1.0000000000
4 2.0000000000
6 3.0000000000
20 4.0000000000
25 5.0000000000
77 6.0000000000
165 7.0000000000
365 8.0000000000
694 9.0000000000
100000 9.0000000000
