evaluations raw_y
1 0.0000000000
52 1.0000000000
131 2.0000000000
405 3.0000000000
411 4.0000000000
520 5.0000000000
534 6.0000000000
781 7.0000000000
812 8.0000000000
820 9.0000000000
1462 10.0000000000
1507 11.0000000000
1547 12.0000000000
1559 13.0000000000
1673 14.0000000000
1863 15.0000000000
1947 16.0000000000
2358 17.0000000000
2370 18.0000000000
2379 19.0000000000
2467 20.0000000000
2475 22.0000000000
2511 23.0000000000
2532 24.0000000000
2533 25.0000000000
2610 26.0000000000
2765 27.0000000000
2852 28.0000000000
2920 29.0000000000
3105 30.0000000000
3148 31.0000000000
3446 33.0000000000
3532 34.0000000000
3616 35.0000000000
3674 36.0000000000
3700 37.0000000000
3760 38.0000000000
3905 39.0000000000
4042 41.0000000000
4219 42.0000000000
4486 43.0000000000
4815 44.0000000000
5102 45.0000000000
5267 46.0000000000
5312 47.0000000000
5422 48.0000000000
5438 50.0000000000
5532 51.0000000000
5688 52.0000000000
5905 53.0000000000
5957 54.0000000000
6161 55.0000000000
6486 57.0000000000
6829 58.0000000000
7116 60.0000000000
7156 63.0000000000
7879 64.0000000000
7954 65.0000000000
8464 66.0000000000
8693 68.0000000000
9079 69.0000000000
9221 71.0000000000
9280 72.0000000000
9392 73.0000000000
9449 74.0000000000
9638 75.0000000000
9778 76.0000000000
9860 77.0000000000
10039 78.0000000000
10585 80.0000000000
10956 81.0000000000
11042 82.0000000000
11128 83.0000000000
11287 84.0000000000
11290 85.0000000000
11710 86.0000000000
11960 87.0000000000
12443 88.0000000000
12522 90.0000000000
13022 93.0000000000
13589 95.0000000000
14250 97.0000000000
14536 98.0000000000
15046 100.0000000000
evaluations raw_y
1 0.0000000000
222 1.0000000000
264 2.0000000000
332 3.0000000000
574 4.0000000000
765 5.0000000000
784 6.0000000000
980 7.0000000000
986 8.0000000000
1027 9.0000000000
1309 10.0000000000
1343 11.0000000000
1367 12.0000000000
1886 13.0000000000
1982 14.0000000000
2163 15.0000000000
2236 16.0000000000
2340 17.0000000000
2398 18.0000000000
2421 19.0000000000
2520 22.0000000000
2525 23.0000000000
3045 24.0000000000
3166 25.0000000000
3220 26.0000000000
3250 27.0000000000
3437 28.0000000000
3592 29.0000000000
3864 30.0000000000
4582 31.0000000000
5017 32.0000000000
5428 33.0000000000
5509 34.0000000000
5571 35.0000000000
5731 37.0000000000
5749 38.0000000000
5814 39.0000000000
6099 40.0000000000
6105 42.0000000000
6137 44.0000000000
6252 46.0000000000
6605 47.0000000000
6923 48.0000000000
7026 49.0000000000
7128 51.0000000000
7175 52.0000000000
7207 53.0000000000
7806 54.0000000000
8219 56.0000000000
8426 58.0000000000
8616 59.0000000000
8631 60.0000000000
8703 61.0000000000
8911 62.0000000000
8923 63.0000000000
9386 64.0000000000
9547 66.0000000000
9563 67.0000000000
9735 68.0000000000
9793 69.0000000000
10377 70.0000000000
10512 72.0000000000
11042 73.0000000000
11091 74.0000000000
11155 75.0000000000
11468 76.0000000000
12081 77.0000000000
12560 78.0000000000
12661 79.0000000000
12867 80.0000000000
13516 81.0000000000
13927 83.0000000000
14556 84.0000000000
14574 86.0000000000
15134 88.0000000000
15416 89.0000000000
15424 90.0000000000
16146 93.0000000000
16272 100.0000000000
evaluations raw_y
1 0.0000000000
57 1.0000000000
167 2.0000000000
212 3.0000000000
215 4.0000000000
362 5.0000000000
555 6.0000000000
562 7.0000000000
575 8.0000000000
756 9.0000000000
829 10.0000000000
924 12.0000000000
1103 13.0000000000
1342 15.0000000000
1363 16.0000000000
1434 17.0000000000
1610 19.0000000000
1740 20.0000000000
1808 22.0000000000
1989 23.0000000000
2091 24.0000000000
2438 25.0000000000
2447 26.0000000000
2476 27.0000000000
2621 28.0000000000
2719 29.0000000000
2952 30.0000000000
3016 31.0000000000
3051 34.0000000000
3242 35.0000000000
3272 36.0000000000
3355 38.0000000000
3421 39.0000000000
3516 40.0000000000
3757 43.0000000000
3932 44.0000000000
4107 45.0000000000
4117 46.0000000000
4133 48.0000000000
4207 51.0000000000
4284 52.0000000000
4441 53.0000000000
4534 54.0000000000
4853 55.0000000000
4946 56.0000000000
5046 57.0000000000
5156 58.0000000000
5294 59.0000000000
5301 60.0000000000
5537 61.0000000000
5672 62.0000000000
5850 63.0000000000
6152 64.0000000000
6410 66.0000000000
6593 67.0000000000
6713 68.0000000000
6998 69.0000000000
7218 70.0000000000
7343 71.0000000000
7541 73.0000000000
7824 74.0000000000
7863 76.0000000000
7916 77.0000000000
8301 79.0000000000
8417 80.0000000000
8513 84.0000000000
8894 85.0000000000
9244 86.0000000000
9277 87.0000000000
9572 88.0000000000
9631 89.0000000000
10051 90.0000000000
10275 91.0000000000
10515 92.0000000000
10964 94.0000000000
11128 96.0000000000
11220 99.0000000000
11371 100.0000000000
evaluations raw_y
1 1.0000000000
23 2.0000000000
63 4.0000000000
149 5.0000000000
172 6.0000000000
363 7.0000000000
482 8.0000000000
702 9.0000000000
870 10.0000000000
943 11.0000000000
1058 12.0000000000
1115 13.0000000000
1146 14.0000000000
1218 15.0000000000
1347 16.0000000000
1376 17.0000000000
1382 18.0000000000
1650 19.0000000000
1727 20.0000000000
1886 21.0000000000
2168 23.0000000000
2275 24.0000000000
2456 25.0000000000
2502 26.0000000000
2606 27.0000000000
2968 29.0000000000
3031 30.0000000000
3076 31.0000000000
3347 33.0000000000
3400 37.0000000000
3642 38.0000000000
3687 39.0000000000
3700 40.0000000000
4051 41.0000000000
4143 42.0000000000
4361 43.0000000000
4577 44.0000000000
4612 45.0000000000
4793 46.0000000000
5203 48.0000000000
5259 51.0000000000
5296 52.0000000000
5599 53.0000000000
5603 54.0000000000
5998 55.0000000000
6285 56.0000000000
6420 57.0000000000
6535 58.0000000000
6867 59.0000000000
7202 61.0000000000
7366 62.0000000000
7798 65.0000000000
8196 67.0000000000
8359 68.0000000000
8388 70.0000000000
8584 71.0000000000
8939 73.0000000000
9018 74.0000000000
9165 75.0000000000
9218 76.0000000000
9517 82.0000000000
9550 83.0000000000
9559 84.0000000000
9896 85.0000000000
10045 87.0000000000
10175 88.0000000000
10469 90.0000000000
10966 91.0000000000
11183 93.0000000000
11329 96.0000000000
11532 99.0000000000
11774 100.0000000000
evaluations raw_y
1 0.0000000000
116 1.0000000000
285 2.0000000000
338 3.0000000000
724 4.0000000000
806 5.0000000000
870 6.0000000000
930 8.0000000000
940 9.0000000000
961 10.0000000000
982 11.0000000000
1210 12.0000000000
1242 13.0000000000
1248 14.0000000000
1504 16.0000000000
1511 17.0000000000
1595 18.0000000000
1800 19.0000000000
1848 20.0000000000
1869 23.0000000000
2065 24.0000000000
2183 25.0000000000
2398 26.0000000000
2624 27.0000000000
2701 28.0000000000
2966 30.0000000000
3207 31.0000000000
3445 32.0000000000
3613 33.0000000000
4038 35.0000000000
4973 36.0000000000
