evaluations raw_y
1 23.1100000000
2 23.4800000000
3 32.1500000000
4 44.2300000000
10 46.9400000000
11 77.2800000000
16 86.1100000000
17 98.7600000000
19 99.9300000000
20 102.0900000000
21 110.9000000000
22 134.4700000000
25 138.0500000000
28 142.9800000000
33 157.9100000000
34 177.0800000000
39 178.5900000000
45 180.5200000000
46 199.0300000000
47 200.9800000000
49 211.4100000000
50 222.8000000000
51 229.3200000000
53 233.2800000000
57 245.5700000000
63 246.3300000000
64 247.0700000000
65 259.9900000000
68 274.9900000000
70 287.5400000000
72 289.7400000000
73 289.9800000000
74 310.9000000000
75 323.7000000000
77 329.2400000000
78 334.1700000000
79 337.8200000000
81 347.1200000000
82 356.4700000000
86 357.7100000000
88 367.9900000000
89 369.3800000000
90 394.2800000000
97 403.4500000000
121 404.8700000000
276 408.4400000000
324 411.2300000000
326 415.1200000000
327 422.8400000000
645 424.2200000000
667 427.3200000000
2450 434.9800000000
2472 436.4100000000
5409 439.1200000000
5547 442.0900000000
19684 443.7900000000
19723 445.5400000000
58562 446.8200000000
58573 448.0200000000
61035 454.2700000000
61056 458.4500000000
64263 459.9900000000
64365 469.4400000000
100000 -1.0000000000
evaluations raw_y
1 12.0100000000
2 15.5800000000
3 33.5200000000
5 45.3600000000
9 61.3600000000
11 67.3100000000
12 70.2100000000
13 84.4200000000
14 91.2600000000
18 94.6000000000
19 101.2900000000
22 103.1500000000
23 114.7100000000
24 127.3000000000
25 146.5100000000
26 157.4800000000
29 159.1400000000
30 171.8000000000
31 173.7500000000
32 196.6600000000
33 199.9900000000
34 206.9800000000
37 213.0700000000
40 224.4400000000
42 230.5200000000
43 246.1400000000
44 252.4000000000
45 261.7600000000
62 265.1800000000
66 270.8600000000
67 271.2600000000
71 277.0600000000
72 285.9800000000
81 287.3900000000
82 291.5600000000
88 308.1900000000
98 322.6600000000
138 327.3300000000
145 334.0900000000
151 339.5400000000
172 340.4200000000
177 352.0800000000
183 358.2900000000
185 369.1400000000
187 371.2700000000
190 382.2800000000
207 383.2000000000
210 384.6200000000
215 390.5200000000
218 396.3500000000
1494 396.4200000000
1495 397.7400000000
1779 402.4200000000
1780 407.5700000000
3521 411.0900000000
3522 415.6400000000
3553 419.3400000000
3611 433.3400000000
8362 434.5700000000
8558 499.5400000000
8744 501.2000000000
8745 519.0500000000
9380 520.6300000000
9381 520.9500000000
15669 526.2800000000
15681 526.4200000000
44905 530.5500000000
44912 536.6200000000
45225 555.6400000000
45229 556.6200000000
45314 561.3600000000
45324 566.4500000000
54444 567.7900000000
54445 577.8800000000
66048 585.2200000000
66062 590.5100000000
100000 -1.0000000000
evaluations raw_y
1 4.7800000000
2 22.0000000000
3 28.0300000000
4 40.7100000000
6 51.9600000000
7 61.4600000000
8 62.3600000000
9 70.1000000000
11 76.1300000000
12 78.6500000000
14 81.6100000000
15 93.1300000000
16 101.7900000000
17 119.8800000000
18 122.2500000000
20 132.4800000000
22 133.4600000000
23 145.4000000000
24 148.0700000000
25 151.9000000000
27 161.5200000000
28 168.8800000000
47 171.1600000000
48 172.3100000000
49 185.1500000000
50 201.7300000000
51 217.5100000000
52 222.8000000000
59 234.7400000000
60 240.6200000000
62 242.4000000000
64 256.5700000000
69 267.8100000000
73 272.0300000000
76 276.2300000000
78 277.3500000000
79 287.4400000000
81 288.6400000000
84 292.2500000000
87 339.9200000000
89 344.2000000000
97 349.7200000000
104 357.3600000000
108 357.5000000000
111 369.5600000000
113 380.1800000000
116 393.9500000000
117 397.7300000000
118 404.2900000000
119 408.9200000000
1838 409.3800000000
1843 414.6600000000
1884 424.5000000000
1889 438.1700000000
10474 438.2500000000
10484 438.8000000000
10495 447.1000000000
10500 465.9300000000
14392 467.7800000000
14439 471.2200000000
39562 477.3300000000
39590 516.7800000000
40949 532.3800000000
41030 533.9100000000
47696 538.0400000000
47801 545.7600000000
100000 -1.0000000000
evaluations raw_y
1 5.5900000000
2 13.2200000000
3 18.5800000000
5 22.9900000000
6 36.6700000000
7 59.5700000000
9 61.8400000000
10 66.4900000000
11 75.0900000000
12 98.6000000000
15 108.9000000000
16 121.3500000000
20 126.9600000000
35 146.4900000000
37 147.2500000000
43 152.2900000000
45 167.3600000000
46 167.8300000000
47 188.8400000000
48 218.0900000000
56 231.4800000000
57 235.3300000000
62 237.6000000000
65 243.2700000000
68 250.4200000000
70 251.0700000000
71 262.8500000000
74 281.8100000000
94 283.1500000000
95 287.1900000000
96 296.6400000000
97 297.8700000000
98 307.6000000000
100 313.3400000000
101 333.9900000000
132 340.1400000000
138 341.3200000000
142 349.3100000000
146 367.0200000000
151 369.2400000000
153 370.6800000000
154 380.1300000000
155 395.9900000000
161 410.6800000000
163 412.4300000000
165 427.7000000000
218 431.4800000000
225 433.0700000000
226 433.9100000000
231 435.7000000000
2000 441.2600000000
2005 453.1900000000
6769 455.4400000000
6779 464.4200000000
10116 469.6400000000
10266 471.3500000000
100000 -1.0000000000
evaluations raw_y
1 6.8100000000
2 13.2100000000
3 19.7000000000
4 24.7100000000
5 34.3600000000
6 45.3300000000
7 71.5500000000
8 74.7100000000
10 89.4300000000
13 91.1100000000
15 97.6200000000
17 103.7500000000
18 108.3000000000
19 120.3100000000
20 135.0700000000
23 149.5200000000
27 162.6600000000
30 163.7500000000
32 179.8300000000
34 190.8900000000
37 198.7100000000
41 207.2700000000
46 210.2400000000
49 210.8000000000
55 222.2600000000
56 228.3500000000
58 248.7500000000
59 252.9900000000
61 264.6800000000
66 271.2500000000
73 272.9400000000
74 284.1300000000
75 294.2200000000
77 300.8000000000
82 308.9800000000
89 322.4900000000
96 334.1800000000
97 342.0000000000
106 347.0000000000
118 350.4900000000
123 364.3400000000
133 378.0400000000
134 400.2000000000
137 407.1000000000
139 414.4700000000
151 421.1300000000
156 424.3100000000
159 447.2900000000
758 448.9700000000
899 449.5400000000
2795 455.7200000000
2801 456.5300000000
21666 464.4300000000
21747 466.7800000000
51946 467.2600000000
52006 564.8200000000
53504 564.9300000000
53505 567.4000000000
54596 578.6800000000
54666 579.1600000000
65384 582.0300000000
65402 590.1500000000
77986 594.4600000000
78431 595.8300000000
94015 598.3300000000
94249 652.2400000000
94376 659.1700000000
94378 670.6300000000
96504 686.7600000000
96520 700.5700000000
98725 705.8600000000
98729 717.9500000000
100000 -1.0000000000
evaluations raw_y
1 2.9200000000
2 15.7500000000
3 28.2300000000
4 30.4900000000
5 32.4900000000
6 40.3700000000
7 58.2900000000
8 68.5400000000
9 77.0300000000
10 81.3000000000
12 83.9400000000
13 86.0900000000
14 90.6100000000
17 94.3400000000
18 120.5200000000
20 120.8900000000
21 146.2900000000
24 151.9900000000
27 172.4500000000
32 174.6700000000
33 185.2200000000
35 190.5200000000
36 196.2900000000
37 205.9600000000
38 206.9800000000
39 227.5200000000
41 234.8500000000
42 239.5100000000
43 258.8800000000
54 259.6600000000
55 260.8700000000
59 266.1900000000
61 273.4100000000
64 286.4200000000
68 295.2400000000
78 298.7100000000
79 306.9800000000
82 313.5000000000
90 318.7900000000
94 328.8100000000
98 329.0300000000
102 332.1000000000
103 339.5100000000
104 349.3200000000
105 362.6000000000
112 365.6600000000
113 376.8800000000
116 379.8300000000
132 381.3600000000
133 390.3900000000
4397 390.5500000000
4421 393.7700000000
10733 402.8700000000
10763 408.5500000000
23239 411.9100000000
23279 414.8400000000
23377 414.9600000000
23379 424.4300000000
28089 424.9500000000
28090 426.5800000000
32553 427.0300000000
32555 427.4900000000
35568 431.5600000000
35578 432.4300000000
35680 441.9200000000
35727 449.6900000000
38972 453.8700000000
39104 458.6800000000
71188 460.2200000000
71255 468.3700000000
100000 -1.0000000000
evaluations raw_y
1 1.2500000000
2 8.5600000000
3 12.4600000000
4 17.3200000000
7 18.7500000000
8 26.4000000000
9 30.5400000000
10 46.8300000000
11 49.1200000000
12 61.4200000000
13 63.6200000000
14 76.3700000000
16 77.0400000000
17 78.6700000000
18 93.0100000000
19 96.3000000000
20 118.7200000000
21 121.2000000000
22 125.6300000000
23 140.5000000000
24 141.9900000000
25 160.0300000000
26 166.3400000000
27 169.0900000000
28 177.1800000000
29 185.5900000000
30 198.4000000000
31 211.6300000000
32 216.4300000000
33 233.7600000000
35 242.0000000000
38 242.7500000000
39 262.1900000000
40 270.1700000000
44 275.1500000000
46 281.0000000000
47 286.1600000000
48 287.5100000000
49 293.2500000000
50 310.3000000000
52 323.2000000000
56 325.5600000000
57 335.1100000000
58 335.8900000000
61 359.0200000000
65 360.5400000000
69 361.8200000000
74 361.9200000000
80 383.1400000000
106 392.0600000000
42200 395.8400000000
42226 399.3800000000
100000 -1.0000000000
evaluations raw_y
1 3.7100000000
2 8.4700000000
3 9.4100000000
4 14.8700000000
7 27.6900000000
8 29.0200000000
9 43.2100000000
10 59.7900000000
11 67.2100000000
12 81.6200000000
16 82.1300000000
17 82.1500000000
19 93.9900000000
21 95.0100000000
22 96.8500000000
23 118.3800000000
24 127.0100000000
25 141.4200000000
26 160.2500000000
27 162.2100000000
28 165.8200000000
29 171.0400000000
31 172.9900000000
32 179.5600000000
34 179.6400000000
35 189.5100000000
36 191.6900000000
37 214.9300000000
41 215.5700000000
42 222.1600000000
43 240.5700000000
44 251.0900000000
45 263.6200000000
46 264.9900000000
50 268.4500000000
53 275.1600000000
54 294.3300000000
63 307.7500000000
79 308.4000000000
80 310.4100000000
99 323.2900000000
100 330.2600000000
117 333.2700000000
121 333.9000000000
124 340.4200000000
125 354.3500000000
126 354.5400000000
127 359.5000000000
129 375.3000000000
132 381.0100000000
353 384.0800000000
357 399.0000000000
815 402.2400000000
819 405.4900000000
1531 419.2900000000
1637 425.3800000000
2528 428.0500000000
2583 437.4200000000
26148 438.8900000000
26158 444.2300000000
28817 455.3900000000
29032 456.0600000000
29469 459.4500000000
29540 490.1300000000
30010 493.3500000000
30011 493.6700000000
30040 494.4600000000
30042 501.8400000000
30491 504.6100000000
30508 511.8800000000
37781 512.5400000000
37846 513.0100000000
38626 515.2800000000
38627 522.2100000000
40412 526.6000000000
40588 529.5400000000
40650 538.6200000000
40655 543.7700000000
49478 544.6400000000
49501 566.4000000000
50151 574.8500000000
50168 575.8000000000
50393 582.0300000000
50577 582.4200000000
100000 -1.0000000000
evaluations raw_y
1 15.2600000000
2 20.1600000000
3 23.0300000000
4 30.2000000000
5 47.3200000000
6 62.1200000000
7 62.6200000000
8 84.1200000000
10 84.5900000000
11 85.9200000000
12 86.7600000000
13 102.0400000000
15 109.8400000000
16 150.8600000000
17 158.3200000000
18 162.6300000000
19 179.7700000000
20 184.6700000000
22 196.3700000000
23 200.3900000000
24 219.9700000000
42 227.2500000000
45 231.2200000000
49 231.3900000000
50 246.7800000000
51 256.8300000000
72 268.7800000000
76 281.7600000000
78 289.1400000000
99 296.5000000000
101 301.2000000000
102 308.7600000000
104 316.0100000000
105 316.6400000000
106 317.2700000000
107 336.5900000000
108 339.8100000000
110 347.4400000000
112 347.5900000000
115 367.5600000000
116 380.1900000000
122 386.8800000000
129 394.8900000000
132 403.8700000000
134 411.0700000000
143 413.9500000000
144 415.6800000000
145 417.7100000000
146 424.8300000000
148 436.8000000000
482 437.6000000000
484 445.8900000000
763 453.4000000000
771 459.6400000000
12871 460.8400000000
12927 462.8400000000
25865 465.5600000000
26006 468.1100000000
31001 468.8900000000
31005 471.0700000000
40402 476.3800000000
40649 479.0000000000
85540 482.5100000000
86778 523.2200000000
87211 549.6400000000
87227 552.1600000000
88459 553.3600000000
88469 571.5900000000
100000 -1.0000000000
evaluations raw_y
1 5.9100000000
2 12.6300000000
3 17.8400000000
5 25.7800000000
7 39.5100000000
9 50.7900000000
10 53.8900000000
11 59.8000000000
12 67.5900000000
13 74.3400000000
14 84.1000000000
15 88.5400000000
16 96.7500000000
17 115.8100000000
22 119.0600000000
23 133.1100000000
24 149.6000000000
30 151.8200000000
31 160.5200000000
33 170.8400000000
34 201.2600000000
35 203.4300000000
39 207.8600000000
40 223.5700000000
52 225.0800000000
63 228.1200000000
65 237.7800000000
68 238.2900000000
69 257.9000000000
74 272.1500000000
76 272.7900000000
77 277.9300000000
78 287.1100000000
85 297.0100000000
86 299.9100000000
88 304.3700000000
89 310.7700000000
90 322.4200000000
91 332.9000000000
92 335.6300000000
108 347.0500000000
118 351.4300000000
124 353.4600000000
132 361.0200000000
134 381.6500000000
136 385.3900000000
