evaluations raw_y
1 82.0000000000
2 152.0000000000
3 225.0000000000
4 281.0000000000
5 344.0000000000
6 389.0000000000
7 429.0000000000
8 463.0000000000
9 476.0000000000
10 486.0000000000
100000 -1.0000000000
evaluations raw_y
1 104.0000000000
2 154.0000000000
3 243.0000000000
4 299.0000000000
5 337.0000000000
6 379.0000000000
7 428.0000000000
8 460.0000000000
9 484.0000000000
10 495.0000000000
100000 -1.0000000000
evaluations raw_y
1 81.0000000000
2 151.0000000000
3 202.0000000000
4 281.0000000000
5 303.0000000000
6 367.0000000000
7 413.0000000000
8 432.0000000000
9 459.0000000000
10 485.0000000000
100000 -1.0000000000
evaluations raw_y
1 97.0000000000
2 177.0000000000
3 273.0000000000
4 330.0000000000
5 359.0000000000
6 400.0000000000
7 424.0000000000
8 449.0000000000
9 474.0000000000
10 487.0000000000
100000 474.0000000000
evaluations raw_y
1 89.0000000000
2 187.0000000000
3 239.0000000000
4 279.0000000000
5 341.0000000000
6 377.0000000000
7 407.0000000000
8 423.0000000000
9 450.0000000000
10 470.0000000000
100000 -1.0000000000
evaluations raw_y
1 72.0000000000
2 182.0000000000
3 256.0000000000
4 311.0000000000
5 333.0000000000
6 387.0000000000
7 424.0000000000
8 448.0000000000
9 468.0000000000
10 486.0000000000
100000 -1.0000000000
evaluations raw_y
1 62.0000000000
2 157.0000000000
3 248.0000000000
4 300.0000000000
5 335.0000000000
6 388.0000000000
7 416.0000000000
8 448.0000000000
9 482.0000000000
10 498.0000000000
100000 479.0000000000
evaluations raw_y
1 96.0000000000
2 187.0000000000
3 268.0000000000
4 308.0000000000
5 346.0000000000
6 383.0000000000
7 406.0000000000
8 431.0000000000
9 450.0000000000
10 473.0000000000
100000 -1.0000000000
evaluations raw_y
1 114.0000000000
2 172.0000000000
3 237.0000000000
4 278.0000000000
5 344.0000000000
6 390.0000000000
7 424.0000000000
8 439.0000000000
9 457.0000000000
10 479.0000000000
100000 -1.0000000000
evaluations raw_y
1 76.0000000000
2 159.0000000000
3 227.0000000000
4 276.0000000000
5 345.0000000000
6 396.0000000000
7 421.0000000000
8 458.0000000000
9 475.0000000000
10 484.0000000000
100000 -1.0000000000
evaluations raw_y
1 98.0000000000
2 177.0000000000
3 231.0000000000
4 281.0000000000
5 361.0000000000
6 392.0000000000
7 421.0000000000
8 446.0000000000
9 453.0000000000
10 473.0000000000
100000 -1.0000000000
evaluations raw_y
1 82.0000000000
2 131.0000000000
3 245.0000000000
4 304.0000000000
5 354.0000000000
6 380.0000000000
7 394.0000000000
8 429.0000000000
9 463.0000000000
10 487.0000000000
100000 -1.0000000000
evaluations raw_y
1 93.0000000000
2 191.0000000000
3 240.0000000000
4 306.0000000000
5 361.0000000000
6 400.0000000000
7 432.0000000000
8 454.0000000000
9 482.0000000000
10 512.0000000000
100000 -1.0000000000
evaluations raw_y
1 93.0000000000
2 178.0000000000
3 245.0000000000
4 284.0000000000
5 339.0000000000
6 364.0000000000
7 400.0000000000
8 431.0000000000
9 456.0000000000
10 486.0000000000
100000 -1.0000000000
evaluations raw_y
1 108.0000000000
2 164.0000000000
3 222.0000000000
4 299.0000000000
5 337.0000000000
6 354.0000000000
7 400.0000000000
8 418.0000000000
9 452.0000000000
10 469.0000000000
100000 -1.0000000000
evaluations raw_y
1 93.0000000000
2 178.0000000000
3 229.0000000000
4 287.0000000000
5 350.0000000000
6 385.0000000000
7 415.0000000000
8 442.0000000000
9 463.0000000000
10 478.0000000000
100000 -1.0000000000
evaluations raw_y
1 91.0000000000
2 174.0000000000
3 231.0000000000
4 296.0000000000
5 335.0000000000
6 378.0000000000
7 421.0000000000
8 441.0000000000
9 463.0000000000
10 476.0000000000
100000 -1.0000000000
evaluations raw_y
1 100.0000000000
2 162.0000000000
3 198.0000000000
4 267.0000000000
5 321.0000000000
6 366.0000000000
7 405.0000000000
8 429.0000000000
9 450.0000000000
10 467.0000000000
100000 -1.0000000000
evaluations raw_y
1 105.0000000000
2 174.0000000000
3 218.0000000000
4 289.0000000000
5 343.0000000000
6 381.0000000000
7 411.0000000000
8 435.0000000000
9 462.0000000000
10 477.0000000000
100000 -1.0000000000
evaluations raw_y
1 113.0000000000
2 168.0000000000
3 242.0000000000
4 292.0000000000
5 334.0000000000
6 369.0000000000
7 383.0000000000
8 419.0000000000
9 450.0000000000
10 472.0000000000
100000 -1.0000000000
evaluations raw_y
1 99.0000000000
2 183.0000000000
3 257.0000000000
4 322.0000000000
5 357.0000000000
6 395.0000000000
7 432.0000000000
8 451.0000000000
9 472.0000000000
11 499.0000000000
100000 -1.0000000000
evaluations raw_y
1 126.0000000000
2 178.0000000000
3 211.0000000000
4 276.0000000000
5 335.0000000000
6 359.0000000000
7 386.0000000000
8 433.0000000000
10 451.0000000000
11 470.0000000000
100000 -1.0000000000
evaluations raw_y
1 66.0000000000
2 156.0000000000
3 244.0000000000
4 323.0000000000
5 362.0000000000
6 415.0000000000
7 428.0000000000
8 450.0000000000
9 481.0000000000
10 492.0000000000
100000 -1.0000000000
evaluations raw_y
1 90.0000000000
2 146.0000000000
3 210.0000000000
4 278.0000000000
5 317.0000000000
6 371.0000000000
7 411.0000000000
8 441.0000000000
9 470.0000000000
10 489.0000000000
100000 -1.0000000000
evaluations raw_y
1 111.0000000000
2 194.0000000000
3 261.0000000000
4 329.0000000000
5 370.0000000000
6 399.0000000000
7 420.0000000000
8 445.0000000000
9 462.0000000000
10 482.0000000000
100000 -1.0000000000
evaluations raw_y
1 95.0000000000
2 162.0000000000
3 250.0000000000
4 288.0000000000
5 351.0000000000
6 374.0000000000
7 408.0000000000
8 443.0000000000
9 464.0000000000
10 485.0000000000
100000 -1.0000000000
evaluations raw_y
1 80.0000000000
2 174.0000000000
3 217.0000000000
4 276.0000000000
5 335.0000000000
6 386.0000000000
7 403.0000000000
8 427.0000000000
9 448.0000000000
10 464.0000000000
100000 -1.0000000000
evaluations raw_y
1 103.0000000000
2 155.0000000000
4 221.0000000000
5 304.0000000000
6 334.0000000000
7 369.0000000000
8 415.0000000000
9 451.0000000000
10 473.0000000000
11 496.0000000000
100000 -1.0000000000
evaluations raw_y
1 63.0000000000
2 153.0000000000
3 229.0000000000
4 317.0000000000
5 384.0000000000
6 419.0000000000
7 433.0000000000
8 467.0000000000
9 475.0000000000
10 488.0000000000
100000 -1.0000000000
evaluations raw_y
1 131.0000000000
2 223.0000000000
3 294.0000000000
4 328.0000000000
5 363.0000000000
6 405.0000000000
7 443.0000000000
8 475.0000000000
9 487.0000000000
10 504.0000000000
100000 -1.0000000000
