evaluations raw_y
1 6.7800000000
2 21.3700000000
3 27.1000000000
4 37.8100000000
5 55.8500000000
6 87.4900000000
10 94.9800000000
14 96.4200000000
15 98.4100000000
16 105.3600000000
55 111.0000000000
57 111.2100000000
4125 115.8600000000
4130 118.7300000000
7700 134.3500000000
7702 142.6000000000
14464 144.9100000000
14479 159.3600000000
100000 -1.0000000000
evaluations raw_y
1 3.8200000000
2 14.1100000000
3 24.2700000000
4 36.8900000000
6 48.0500000000
7 50.9100000000
8 65.4900000000
9 82.9900000000
10 90.8800000000
11 114.0100000000
55236 116.0600000000
55249 117.4000000000
66316 121.9500000000
66319 130.8700000000
100000 -1.0000000000
evaluations raw_y
1 5.3900000000
2 10.8700000000
3 24.8100000000
5 25.5000000000
6 40.5300000000
7 52.4400000000
8 61.0500000000
9 68.5200000000
10 73.9200000000
12 81.5600000000
705 90.8700000000
708 101.0500000000
100000 -1.0000000000
evaluations raw_y
1 2.2500000000
2 24.0400000000
4 24.4000000000
5 28.2200000000
6 30.8800000000
7 40.1800000000
8 43.7000000000
9 54.9800000000
11 64.4000000000
12 88.7600000000
100000 -1.0000000000
evaluations raw_y
1 7.0500000000
2 15.6800000000
3 20.5400000000
4 25.9100000000
8 30.8000000000
9 50.3000000000
10 68.6400000000
11 78.7100000000
12 86.8200000000
13 89.9700000000
280 92.6100000000
282 102.3600000000
1345 105.8100000000
1351 112.0000000000
12191 117.3700000000
12192 119.2800000000
100000 -1.0000000000
evaluations raw_y
1 5.5300000000
2 8.1800000000
3 17.3400000000
4 35.2500000000
5 40.9500000000
6 49.2100000000
7 52.5500000000
8 55.7200000000
9 60.4700000000
10 75.4400000000
1021 81.0900000000
1024 92.4500000000
100000 -1.0000000000
evaluations raw_y
1 12.6600000000
2 16.4000000000
3 21.7500000000
4 24.3800000000
5 28.0000000000
6 40.4900000000
8 50.1000000000
10 57.8900000000
11 61.9800000000
12 69.7100000000
2586 77.5100000000
2587 80.9900000000
18925 84.1800000000
18928 86.3800000000
59570 87.5400000000
59571 91.6700000000
68357 92.5700000000
68366 108.0200000000
100000 -1.0000000000
evaluations raw_y
1 4.1000000000
2 32.0500000000
6 42.7500000000
7 62.2000000000
10 64.1500000000
12 64.7300000000
14 90.7300000000
31 107.2700000000
39 109.1600000000
42 121.6300000000
50445 123.8100000000
50448 126.1400000000
57246 134.3100000000
57296 139.5900000000
81808 144.1100000000
81816 150.4000000000
100000 -1.0000000000
evaluations raw_y
1 6.7700000000
2 25.1800000000
3 28.4400000000
4 34.1600000000
5 35.9700000000
6 67.4800000000
10 67.9600000000
13 69.0200000000
14 89.1800000000
15 99.1500000000
24491 99.3600000000
24525 113.1500000000
100000 -1.0000000000
evaluations raw_y
1 3.5600000000
2 12.5300000000
3 24.7000000000
4 37.0800000000
5 46.3800000000
6 47.5700000000
7 56.9800000000
9 59.3600000000
11 61.8600000000
12 73.2000000000
2520 74.4900000000
2522 91.1700000000
57924 92.9600000000
57927 93.9400000000
100000 -1.0000000000
evaluations raw_y
1 1.2800000000
2 7.2100000000
3 12.8300000000
4 21.3800000000
5 22.9500000000
6 25.3300000000
7 45.4500000000
9 46.3700000000
10 57.7500000000
11 81.8300000000
1782 87.4100000000
1783 90.0700000000
10223 92.1400000000
10227 94.9200000000
18932 104.4700000000
18947 105.0800000000
24534 112.8400000000
24566 124.5000000000
31829 132.8700000000
31846 133.3600000000
100000 -1.0000000000
evaluations raw_y
1 4.2800000000
2 8.1800000000
3 11.6900000000
4 26.5500000000
5 41.7400000000
6 43.9200000000
7 57.1200000000
8 77.0600000000
10 79.7100000000
11 83.0200000000
3111 89.5900000000
3112 93.5100000000
3418 97.0600000000
3419 99.5900000000
3997 108.6200000000
3998 120.4200000000
34925 120.4300000000
34928 122.5800000000
42703 122.7900000000
42706 127.5200000000
54673 145.2700000000
54713 145.3800000000
56860 145.8400000000
56875 149.9800000000
79463 150.3400000000
79464 162.8100000000
100000 -1.0000000000
evaluations raw_y
1 6.4900000000
2 15.7700000000
3 18.4900000000
5 33.9100000000
6 42.9500000000
9 46.2100000000
10 62.8300000000
13 66.0200000000
15 69.7200000000
16 77.7100000000
2062 85.0600000000
2063 94.2900000000
5260 99.2900000000
5265 115.4600000000
100000 -1.0000000000
evaluations raw_y
1 6.7100000000
2 9.8700000000
3 16.8200000000
4 26.8400000000
6 35.4400000000
7 42.1300000000
8 52.9700000000
9 70.4700000000
10 70.9600000000
11 71.2400000000
2092 78.5700000000
2095 84.5700000000
6218 88.5900000000
6222 94.0500000000
96268 95.1200000000
96271 96.3900000000
100000 -1.0000000000
evaluations raw_y
1 6.8400000000
2 7.6500000000
3 18.5800000000
4 20.6800000000
5 28.0300000000
6 30.7700000000
7 34.1600000000
8 46.8100000000
9 51.1300000000
10 59.3400000000
28 60.6300000000
29 66.2600000000
8364 72.3500000000
8366 73.2900000000
14908 78.2900000000
14913 81.2100000000
16790 83.8900000000
16792 84.1800000000
18808 94.4700000000
18816 99.2300000000
28458 105.8900000000
28470 117.2500000000
100000 -1.0000000000
evaluations raw_y
1 3.3800000000
2 14.1600000000
3 22.6900000000
4 29.1100000000
5 43.2400000000
8 44.7600000000
9 47.3200000000
10 73.0000000000
11 84.5300000000
14 85.1900000000
6653 90.3300000000
6658 93.9800000000
12774 96.8400000000
12776 104.3100000000
100000 -1.0000000000
evaluations raw_y
1 2.3900000000
2 21.3900000000
4 22.9900000000
5 36.8000000000
6 42.6200000000
7 66.0600000000
