evaluations raw_y
1 67.0000000000
2 152.0000000000
3 252.0000000000
4 284.0000000000
5 356.0000000000
6 394.0000000000
7 413.0000000000
8 466.0000000000
9 519.0000000000
10 543.0000000000
10000 -1.0000000000
evaluations raw_y
1 120.0000000000
2 233.0000000000
3 350.0000000000
4 395.0000000000
5 447.0000000000
6 479.0000000000
7 506.0000000000
8 559.0000000000
9 584.0000000000
10 610.0000000000
10000 -1.0000000000
evaluations raw_y
1 79.0000000000
2 209.0000000000
3 298.0000000000
4 380.0000000000
5 428.0000000000
7 460.0000000000
8 521.0000000000
9 558.0000000000
10 583.0000000000
11 608.0000000000
10000 -1.0000000000
evaluations raw_y
1 139.0000000000
2 242.0000000000
3 302.0000000000
4 367.0000000000
5 435.0000000000
6 481.0000000000
7 517.0000000000
8 546.0000000000
9 566.0000000000
10 594.0000000000
10000 -1.0000000000
evaluations raw_y
1 69.0000000000
2 182.0000000000
3 253.0000000000
4 309.0000000000
5 382.0000000000
6 418.0000000000
7 478.0000000000
8 527.0000000000
9 567.0000000000
10 588.0000000000
10000 -1.0000000000
evaluations raw_y
1 82.0000000000
2 227.0000000000
3 311.0000000000
4 356.0000000000
5 397.0000000000
6 428.0000000000
7 481.0000000000
8 521.0000000000
9 576.0000000000
10 610.0000000000
10000 -1.0000000000
evaluations raw_y
1 158.0000000000
2 215.0000000000
3 312.0000000000
4 368.0000000000
5 434.0000000000
6 474.0000000000
7 515.0000000000
8 539.0000000000
9 565.0000000000
10 595.0000000000
10000 -1.0000000000
evaluations raw_y
1 151.0000000000
2 217.0000000000
3 280.0000000000
4 377.0000000000
5 436.0000000000
6 487.0000000000
7 527.0000000000
8 567.0000000000
9 596.0000000000
10 604.0000000000
10000 -1.0000000000
evaluations raw_y
1 116.0000000000
2 208.0000000000
3 295.0000000000
4 371.0000000000
5 426.0000000000
6 495.0000000000
7 532.0000000000
8 553.0000000000
9 588.0000000000
10 606.0000000000
10000 -1.0000000000
evaluations raw_y
1 119.0000000000
2 221.0000000000
3 299.0000000000
4 368.0000000000
5 446.0000000000
6 476.0000000000
7 505.0000000000
8 534.0000000000
9 558.0000000000
10 579.0000000000
10000 -1.0000000000
evaluations raw_y
1 128.0000000000
2 218.0000000000
3 294.0000000000
4 338.0000000000
5 393.0000000000
6 439.0000000000
7 480.0000000000
8 516.0000000000
9 565.0000000000
10 612.0000000000
10000 -1.0000000000
evaluations raw_y
1 154.0000000000
2 214.0000000000
3 302.0000000000
4 382.0000000000
5 421.0000000000
6 462.0000000000
7 492.0000000000
8 523.0000000000
9 559.0000000000
10 585.0000000000
10000 -1.0000000000
evaluations raw_y
1 90.0000000000
2 210.0000000000
3 274.0000000000
4 340.0000000000
5 410.0000000000
6 447.0000000000
7 483.0000000000
8 520.0000000000
9 562.0000000000
10 581.0000000000
10000 559.0000000000
evaluations raw_y
1 142.0000000000
2 252.0000000000
3 320.0000000000
4 387.0000000000
5 440.0000000000
6 514.0000000000
7 535.0000000000
8 562.0000000000
9 570.0000000000
10 607.0000000000
10000 -1.0000000000
evaluations raw_y
1 83.0000000000
2 214.0000000000
3 274.0000000000
4 347.0000000000
5 390.0000000000
6 437.0000000000
7 479.0000000000
8 513.0000000000
9 555.0000000000
10 611.0000000000
10000 578.0000000000
evaluations raw_y
1 108.0000000000
2 192.0000000000
3 267.0000000000
4 343.0000000000
5 382.0000000000
6 436.0000000000
7 461.0000000000
8 513.0000000000
9 550.0000000000
10 598.0000000000
10000 -1.0000000000
evaluations raw_y
1 73.0000000000
2 210.0000000000
3 260.0000000000
4 363.0000000000
5 432.0000000000
6 496.0000000000
7 552.0000000000
8 567.0000000000
9 612.0000000000
10 635.0000000000
10000 -1.0000000000
evaluations raw_y
1 134.0000000000
2 233.0000000000
3 279.0000000000
4 370.0000000000
5 423.0000000000
6 466.0000000000
7 497.0000000000
8 539.0000000000
9 564.0000000000
10 600.0000000000
10000 -1.0000000000
evaluations raw_y
1 112.0000000000
2 203.0000000000
3 268.0000000000
4 334.0000000000
5 358.0000000000
6 433.0000000000
7 475.0000000000
8 513.0000000000
9 571.0000000000
10 584.0000000000
10000 -1.0000000000
evaluations raw_y
1 100.0000000000
2 206.0000000000
3 295.0000000000
4 350.0000000000
5 443.0000000000
6 462.0000000000
7 506.0000000000
8 531.0000000000
9 544.0000000000
10 573.0000000000
10000 -1.0000000000
evaluations raw_y
1 109.0000000000
2 230.0000000000
3 341.0000000000
4 392.0000000000
5 443.0000000000
6 508.0000000000
7 525.0000000000
8 547.0000000000
9 572.0000000000
10 594.0000000000
10000 -1.0000000000
evaluations raw_y
1 99.0000000000
2 206.0000000000
3 284.0000000000
4 331.0000000000
5 419.0000000000
6 491.0000000000
7 516.0000000000
8 541.0000000000
9 569.0000000000
10 597.0000000000
10000 -1.0000000000
evaluations raw_y
1 103.0000000000
2 185.0000000000
3 274.0000000000
4 319.0000000000
5 396.0000000000
6 422.0000000000
7 441.0000000000
8 456.0000000000
9 482.0000000000
10 512.0000000000
10000 -1.0000000000
evaluations raw_y
1 114.0000000000
2 210.0000000000
3 273.0000000000
4 340.0000000000
5 406.0000000000
6 451.0000000000
7 479.0000000000
8 518.0000000000
9 555.0000000000
10 572.0000000000
10000 -1.0000000000
evaluations raw_y
1 149.0000000000
2 234.0000000000
3 288.0000000000
4 370.0000000000
5 425.0000000000
6 472.0000000000
7 530.0000000000
8 560.0000000000
9 593.0000000000
10 611.0000000000
10000 -1.0000000000
evaluations raw_y
1 102.0000000000
2 205.0000000000
3 304.0000000000
4 356.0000000000
5 401.0000000000
6 445.0000000000
7 494.0000000000
8 513.0000000000
9 571.0000000000
10 612.0000000000
10000 -1.0000000000
evaluations raw_y
1 85.0000000000
2 181.0000000000
3 253.0000000000
4 325.0000000000
5 384.0000000000
6 436.0000000000
7 468.0000000000
8 500.0000000000
9 535.0000000000
10 563.0000000000
10000 -1.0000000000
evaluations raw_y
1 96.0000000000
2 213.0000000000
3 283.0000000000
4 358.0000000000
5 418.0000000000
6 486.0000000000
7 523.0000000000
8 557.0000000000
9 579.0000000000
10 600.0000000000
10000 -1.0000000000
evaluations raw_y
1 90.0000000000
2 132.0000000000
3 217.0000000000
4 295.0000000000
5 391.0000000000
6 412.0000000000
7 451.0000000000
8 512.0000000000
9 557.0000000000
10 588.0000000000
10000 -1.0000000000
evaluations raw_y
1 127.0000000000
2 212.0000000000
3 291.0000000000
4 360.0000000000
5 422.0000000000
6 475.0000000000
7 529.0000000000
8 578.0000000000
9 611.0000000000
10 627.0000000000
10000 -1.0000000000
