evaluations raw_y
1 1.0000000000
2 12.8200000000
3 16.6700000000
4 24.4600000000
5 28.8600000000
6 40.8000000000
9 46.9000000000
10 59.0000000000
11 65.7300000000
12 74.1600000000
6297 76.3100000000
6299 92.4100000000
10000 -1.0000000000
evaluations raw_y
1 1.3100000000
2 9.3600000000
3 18.7300000000
4 24.2600000000
5 32.1200000000
6 37.3200000000
7 38.0100000000
8 63.6100000000
9 66.3300000000
10 70.4800000000
10000 -1.0000000000
evaluations raw_y
1 12.4100000000
2 12.5900000000
3 22.1700000000
4 30.0600000000
5 36.6200000000
6 49.5400000000
7 51.2600000000
8 58.5700000000
10 78.2000000000
11 84.2300000000
10000 -1.0000000000
evaluations raw_y
1 20.2900000000
3 23.0400000000
4 29.1700000000
7 30.6200000000
8 31.3000000000
9 38.8100000000
10 40.9800000000
11 69.8700000000
13 72.7800000000
14 83.4200000000
1192 85.2400000000
1193 95.3400000000
3994 97.8500000000
3995 106.1800000000
4183 111.7500000000
4185 124.5300000000
4255 134.0300000000
4263 135.6100000000
10000 -1.0000000000
evaluations raw_y
1 6.9700000000
2 9.3800000000
3 25.8600000000
5 34.0000000000
6 37.6500000000
8 45.2700000000
9 52.5400000000
10 59.6700000000
11 65.1100000000
12 72.9300000000
717 73.4000000000
718 84.5300000000
6133 86.8900000000
6136 94.7100000000
10000 -1.0000000000
evaluations raw_y
1 15.7300000000
2 23.2800000000
3 42.1400000000
4 60.3800000000
5 61.2800000000
6 78.6200000000
7 97.1600000000
10 114.1600000000
11 115.9100000000
12 122.5900000000
651 124.7400000000
654 126.6600000000
1083 130.3200000000
1104 130.4600000000
10000 -1.0000000000
evaluations raw_y
1 11.8400000000
2 18.1800000000
3 38.0500000000
4 47.8700000000
5 54.3900000000
6 68.9600000000
7 72.1700000000
8 88.2600000000
10 96.7500000000
13 96.8100000000
5688 96.9300000000
5695 98.0100000000
10000 -1.0000000000
evaluations raw_y
1 41.8100000000
2 49.6600000000
3 49.9800000000
4 60.5100000000
5 65.1700000000
6 71.2100000000
7 95.6100000000
8 99.2200000000
9 104.3400000000
10 105.3000000000
9555 105.5700000000
9556 109.3100000000
10000 -1.0000000000
evaluations raw_y
1 8.6000000000
2 53.7200000000
3 58.2300000000
4 68.6100000000
5 70.1800000000
6 79.1100000000
7 91.5700000000
9 96.3400000000
12 99.2300000000
13 109.8300000000
5207 112.9100000000
5208 132.4300000000
10000 -1.0000000000
evaluations raw_y
1 21.7900000000
2 24.0600000000
3 50.5400000000
5 55.5800000000
6 61.1800000000
7 80.2300000000
9 83.8000000000
10 92.6800000000
11 119.7300000000
12 121.2800000000
10000 -1.0000000000
evaluations raw_y
1 9.4400000000
2 15.8600000000
3 22.1800000000
4 28.2700000000
5 35.4200000000
6 43.9000000000
7 53.8700000000
8 65.9100000000
9 75.6800000000
12 87.2200000000
10000 -1.0000000000
evaluations raw_y
1 11.5400000000
3 12.6400000000
4 30.0100000000
5 32.1000000000
6 44.0800000000
8 47.8500000000
9 50.9600000000
10 63.1800000000
11 65.1400000000
12 83.0100000000
1606 83.4700000000
1609 89.4900000000
10000 -1.0000000000
evaluations raw_y
1 3.2400000000
2 5.6100000000
3 13.3700000000
4 19.1200000000
6 40.1800000000
7 50.3300000000
8 54.2800000000
10 60.5500000000
11 62.6600000000
12 62.8000000000
690 65.8400000000
692 81.2000000000
3856 82.1700000000
3863 91.8900000000
4351 96.1300000000
4352 110.4200000000
10000 -1.0000000000
evaluations raw_y
1 9.8500000000
2 20.8000000000
3 26.1100000000
4 33.4800000000
5 34.8200000000
6 46.9800000000
7 57.8900000000
8 60.1800000000
9 75.7500000000
10 83.3000000000
10000 -1.0000000000
evaluations raw_y
1 7.9400000000
2 12.0200000000
3 21.5700000000
4 44.4000000000
5 44.4600000000
6 57.7800000000
7 62.5100000000
8 79.6400000000
9 79.6800000000
10 94.7700000000
10000 -1.0000000000
evaluations raw_y
1 7.4300000000
2 13.6600000000
3 18.6100000000
4 27.3000000000
5 32.9200000000
7 38.6700000000
8 41.6500000000
9 52.1600000000
10 82.0000000000
12 88.2100000000
79 95.0000000000
80 96.5000000000
5247 104.4000000000
5249 104.9700000000
10000 -1.0000000000
evaluations raw_y
1 19.3200000000
2 26.1900000000
3 31.3800000000
5 32.8000000000
6 49.8600000000
7 55.6400000000
8 62.0500000000
10 87.5100000000
13 105.3400000000
17 109.7400000000
5678 114.7000000000
5691 124.7000000000
10000 -1.0000000000
evaluations raw_y
1 3.9700000000
2 19.5500000000
3 30.3600000000
4 33.6700000000
5 55.3700000000
6 59.6900000000
7 71.4200000000
8 77.8700000000
9 88.4700000000
10 101.8300000000
10000 -1.0000000000
evaluations raw_y
1 6.6800000000
2 25.7300000000
5 26.9700000000
6 40.7000000000
7 60.7800000000
8 66.6600000000
11 75.8800000000
12 77.4600000000
14 80.7700000000
15 94.3900000000
10000 -1.0000000000
evaluations raw_y
1 4.5600000000
2 13.7200000000
3 21.3300000000
4 44.6200000000
6 52.4100000000
10 58.8200000000
11 63.6000000000
14 73.1400000000
15 85.4100000000
23 89.2000000000
5409 89.8100000000
5410 93.8900000000
5497 95.1100000000
5500 100.1100000000
10000 -1.0000000000
evaluations raw_y
1 7.3900000000
2 17.3800000000
3 23.3600000000
4 33.1700000000
5 41.9300000000
7 42.4000000000
8 60.2900000000
10 73.6600000000
11 81.3800000000
12 93.1500000000
10000 -1.0000000000
evaluations raw_y
1 1.0000000000
2 8.8700000000
4 20.4300000000
5 26.4800000000
6 33.3500000000
7 35.8100000000
8 42.3400000000
9 59.6200000000
10 79.0500000000
11 79.3500000000
436 90.5800000000
437 101.8500000000
9409 101.9700000000
9414 106.1400000000
10000 -1.0000000000
evaluations raw_y
1 11.2200000000
2 17.0900000000
3 30.7100000000
4 37.9000000000
5 46.1100000000
6 48.7500000000
7 54.8600000000
8 55.5500000000
9 57.8200000000
10 60.2800000000
1406 60.5000000000
1407 76.4500000000
3827 79.9600000000
3828 80.5100000000
6948 88.8400000000
6949 89.5000000000
10000 -1.0000000000
evaluations raw_y
1 1.2000000000
2 2.3500000000
3 5.8200000000
4 13.6000000000
5 23.5800000000
6 34.9800000000
7 45.0000000000
9 106.8200000000
11 113.4100000000
13 117.3800000000
271 121.1400000000
274 121.8200000000
10000 -1.0000000000
evaluations raw_y
1 8.5600000000
2 11.2500000000
3 25.8800000000
4 32.1100000000
5 37.6000000000
7 48.1600000000
8 52.0100000000
9 84.0600000000
10 84.4700000000
11 89.5400000000
315 95.5200000000
317 104.7400000000
9672 106.5700000000
9686 109.2500000000
10000 -1.0000000000
evaluations raw_y
1 3.1000000000
2 24.1600000000
3 42.2900000000
6 50.9500000000
7 58.4100000000
11 84.9800000000
12 92.0700000000
13 107.7000000000
14 114.1800000000
15 122.8400000000
714 137.1000000000
717 146.6100000000
10000 -1.0000000000
evaluations raw_y
1 1.9200000000
2 8.9500000000
4 13.2800000000
6 23.0600000000
7 27.9400000000
8 28.2000000000
9 32.6600000000
11 43.7200000000
12 60.7000000000
14 67.6200000000
4196 72.9400000000
4197 75.1200000000
6251 76.2500000000
6254 84.4300000000
9548 85.3400000000
9553 85.9200000000
10000 -1.0000000000
evaluations raw_y
