evaluations raw_y
1 0.0000000000
2 2.0000000000
6 5.0000000000
50 6.0000000000
157 8.0000000000
262 9.0000000000
381 10.0000000000
712 11.0000000000
1024 12.0000000000
1072 14.0000000000
1133 16.0000000000
1394 18.0000000000
1484 20.0000000000
1746 21.0000000000
1794 22.0000000000
1880 24.0000000000
2080 25.0000000000
2126 27.0000000000
2329 28.0000000000
2456 30.0000000000
2712 35.0000000000
3021 37.0000000000
3290 38.0000000000
3558 40.0000000000
3678 44.0000000000
3695 46.0000000000
3769 48.0000000000
3859 50.0000000000
4049 55.0000000000
4218 56.0000000000
4285 58.0000000000
4614 59.0000000000
4625 62.0000000000
4707 63.0000000000
4783 64.0000000000
4948 65.0000000000
4972 66.0000000000
5140 68.0000000000
5728 70.0000000000
6207 74.0000000000
7048 76.0000000000
7232 78.0000000000
7718 80.0000000000
7837 82.0000000000
7921 84.0000000000
8379 85.0000000000
8899 86.0000000000
8961 88.0000000000
9052 89.0000000000
9282 90.0000000000
9853 93.0000000000
10291 97.0000000000
10502 98.0000000000
11015 100.0000000000
100000 64.0000000000
