evaluations raw_y
1 2731.0000000000
2 3248.0000000000
27 3487.0000000000
44 3489.0000000000
64 3649.0000000000
84 3682.0000000000
91 3703.0000000000
95 3899.0000000000
110 3979.0000000000
127 4001.0000000000
129 4025.0000000000
151 4059.0000000000
160 4073.0000000000
162 4095.0000000000
164 4112.0000000000
187 4120.0000000000
198 4131.0000000000
207 4168.0000000000
210 4264.0000000000
232 4301.0000000000
245 4361.0000000000
247 4362.0000000000
266 4375.0000000000
270 4382.0000000000
288 4387.0000000000
294 4391.0000000000
307 4448.0000000000
332 4465.0000000000
335 4467.0000000000
342 4490.0000000000
351 4539.0000000000
396 4574.0000000000
418 4602.0000000000
438 4625.0000000000
450 4658.0000000000
474 4686.0000000000
483 4801.0000000000
550 4831.0000000000
586 4879.0000000000
623 4903.0000000000
629 4928.0000000000
677 4931.0000000000
709 4949.0000000000
728 4967.0000000000
766 4975.0000000000
786 4978.0000000000
867 4985.0000000000
949 4991.0000000000
1009 5008.0000000000
1079 5011.0000000000
1084 5028.0000000000
1403 5050.0000000000
100000 5050.0000000000
