evaluations raw_y
1 54.0000000000
11 63.0000000000
60 66.0000000000
104 67.0000000000
122 68.0000000000
150 70.0000000000
156 71.0000000000
168 73.0000000000
183 74.0000000000
209 77.0000000000
237 80.0000000000
296 81.0000000000
305 82.0000000000
333 83.0000000000
343 84.0000000000
397 85.0000000000
399 86.0000000000
417 87.0000000000
454 88.0000000000
484 89.0000000000
527 90.0000000000
553 91.0000000000
579 92.0000000000
658 93.0000000000
686 94.0000000000
723 95.0000000000
774 97.0000000000
829 99.0000000000
1940 100.0000000000
100000 98.0000000000
