evaluations raw_y
1 0.6650704975
2 1.5733165513
68 1.5772870662
100 1.6655562958
142 2.0781379884
192 2.2026431718
221 2.2956841139
291 2.3212627669
392 2.3696682464
409 2.4485798237
440 2.4582104228
464 2.4826216485
529 2.5176233635
538 2.5278058645
639 2.6343519494
710 2.6968716289
839 2.7262813522
881 2.7746947836
994 2.8058361392
1009 2.9655990510
1041 3.0084235860
1114 3.1055900621
1195 3.1928480204
1385 3.2425421530
1402 3.4867503487
1703 3.6818851252
2082 3.7369207773
2454 3.9370078740
100000 3.6496350365
