evaluations raw_y
1 -1576.0000000000
2 -1371.0000000000
4 -1313.0000000000
6 -1099.0000000000
23 -1089.0000000000
26 -1080.0000000000
41 -982.0000000000
58 -826.0000000000
85 -768.0000000000
98 -719.0000000000
102 -622.0000000000
144 -554.0000000000
158 -515.0000000000
159 -477.0000000000
168 -419.0000000000
181 -418.0000000000
184 -400.0000000000
198 -389.0000000000
209 -331.0000000000
214 -303.0000000000
235 -254.0000000000
263 -225.0000000000
268 -186.0000000000
285 -176.0000000000
318 -147.0000000000
357 -128.0000000000
380 -109.0000000000
384 -99.0000000000
387 -90.0000000000
398 -80.0000000000
420 -41.0000000000
467 -31.0000000000
474 -23.0000000000
479 -22.0000000000
488 -4.0000000000
553 5.0000000000
564 6.0000000000
606 7.0000000000
637 8.0000000000
686 9.0000000000
100000 -39.0000000000
