evaluations raw_y
1 9.6000000000
28 10.0000000000
65 10.4000000000
70 11.2000000000
100 11.4000000000
101 12.0000000000
131 12.2000000000
161 12.4000000000
171 12.6000000000
185 12.8000000000
243 13.0000000000
262 13.2000000000
292 13.4000000000
295 13.6000000000
306 13.8000000000
357 14.0000000000
369 14.2000000000
401 14.4000000000
460 14.6000000000
499 15.0000000000
535 15.2000000000
541 15.4000000000
606 15.6000000000
681 15.8000000000
899 16.0000000000
100000 15.6000000000
