evaluations raw_y
1 -0.4964239107
2 -0.4820137079
3 -0.4794654431
13 -0.4692102321
36 -0.4430764235
41 -0.4411499168
46 -0.4382648921
73 -0.4310026016
76 -0.4286574724
87 -0.4286154881
93 -0.4208384605
125 -0.4012455214
129 -0.4000616046
160 -0.3919381276
218 -0.3910650401
221 -0.3862400886
228 -0.3813647864
232 -0.3810624911
256 -0.3807389846
268 -0.3744568988
282 -0.3713183551
315 -0.3633007910
331 -0.3619980498
333 -0.3596586706
342 -0.3516589083
379 -0.3483350794
384 -0.3458158549
408 -0.3438399232
440 -0.3392081086
483 -0.3370781726
484 -0.3348932134
516 -0.3318107478
528 -0.3315337581
546 -0.3278738976
592 -0.3261025186
624 -0.3246285240
730 -0.3212938150
817 -0.3208360231
823 -0.3202391682
841 -0.3195829195
885 -0.3185282727
924 -0.3172751691
996 -0.3169511308
1087 -0.3161888331
1121 -0.3155722508
1146 -0.3138262122
1198 -0.3137468128
1200 -0.3132096299
1387 -0.3122085896
4801 -0.3095142455
12707 -0.3094048231
12864 -0.3093964380
17247 -0.3087675482
32993 -0.3074415503
100000 -0.3137296026
