evaluations raw_y
1 54.0000000000
6 55.0000000000
8 56.0000000000
9 61.0000000000
24 62.0000000000
47 64.0000000000
64 66.0000000000
68 68.0000000000
85 76.0000000000
111 77.0000000000
150 78.0000000000
167 79.0000000000
180 80.0000000000
196 82.0000000000
264 84.0000000000
282 85.0000000000
307 86.0000000000
325 87.0000000000
334 89.0000000000
388 90.0000000000
431 91.0000000000
449 92.0000000000
481 93.0000000000
509 94.0000000000
549 95.0000000000
563 96.0000000000
620 97.0000000000
641 98.0000000000
691 99.0000000000
855 100.0000000000
100000 99.0000000000
