evaluations raw_y
1 -2010.0000000000
2 -2003.0000000000
4 -1998.0000000000
6 -1988.0000000000
9 -1953.0000000000
10 -1942.0000000000
11 -1935.0000000000
30 -1934.0000000000
31 -1933.0000000000
37 -1901.0000000000
53 -1900.0000000000
63 -1881.0000000000
80 -1854.0000000000
104 -1853.0000000000
105 -1838.0000000000
127 -1831.0000000000
142 -1821.0000000000
153 -1813.0000000000
181 -1803.0000000000
192 -1795.0000000000
201 -1792.0000000000
221 -1791.0000000000
224 -1787.0000000000
231 -1772.0000000000
245 -1770.0000000000
271 -1767.0000000000
278 -1764.0000000000
282 -1757.0000000000
321 -1756.0000000000
329 -1755.0000000000
341 -1751.0000000000
352 -1750.0000000000
362 -1749.0000000000
381 -1743.0000000000
385 -1741.0000000000
394 -1737.0000000000
428 -1736.0000000000
448 -1733.0000000000
452 -1730.0000000000
488 -1727.0000000000
501 -1726.0000000000
505 -1725.0000000000
521 -1722.0000000000
527 -1721.0000000000
537 -1719.0000000000
551 -1715.0000000000
582 -1714.0000000000
583 -1713.0000000000
589 -1711.0000000000
606 -1710.0000000000
617 -1707.0000000000
629 -1705.0000000000
654 -1704.0000000000
657 -1702.0000000000
666 -1701.0000000000
682 -1700.0000000000
702 -1699.0000000000
713 -1698.0000000000
736 -1697.0000000000
745 -1695.0000000000
748 -1693.0000000000
766 -1690.0000000000
806 -1689.0000000000
824 -1686.0000000000
830 -1685.0000000000
844 -1682.0000000000
886 -1680.0000000000
896 -1679.0000000000
902 -1676.0000000000
930 -1675.0000000000
960 -1674.0000000000
983 -1673.0000000000
988 -1672.0000000000
996 -1671.0000000000
1006 -1670.0000000000
1029 -1668.0000000000
1057 -1667.0000000000
1063 -1665.0000000000
1093 -1664.0000000000
1120 -1661.0000000000
1131 -1660.0000000000
1142 -1659.0000000000
1163 -1658.0000000000
1165 -1657.0000000000
1181 -1656.0000000000
1198 -1655.0000000000
1222 -1654.0000000000
1241 -1653.0000000000
1255 -1652.0000000000
1265 -1650.0000000000
1278 -1649.0000000000
1323 -1644.0000000000
1342 -1643.0000000000
1385 -1642.0000000000
1395 -1641.0000000000
1419 -1639.0000000000
1431 -1638.0000000000
1442 -1637.0000000000
1444 -1636.0000000000
1464 -1635.0000000000
1481 -1634.0000000000
1508 -1632.0000000000
1530 -1631.0000000000
1561 -1629.0000000000
1565 -1626.0000000000
1586 -1624.0000000000
1628 -1623.0000000000
1642 -1620.0000000000
1669 -1619.0000000000
1685 -1617.0000000000
1696 -1616.0000000000
1722 -1612.0000000000
1743 -1609.0000000000
1745 -1607.0000000000
1793 -1606.0000000000
1806 -1604.0000000000
1861 -1603.0000000000
1883 -1602.0000000000
1894 -1601.0000000000
1908 -1600.0000000000
1945 -1599.0000000000
1958 -1598.0000000000
1968 -1597.0000000000
1969 -1595.0000000000
1981 -1594.0000000000
1990 -1593.0000000000
2001 -1590.0000000000
2041 -1588.0000000000
2064 -1587.0000000000
2070 -1584.0000000000
2105 -1581.0000000000
2132 -1580.0000000000
2142 -1579.0000000000
2154 -1578.0000000000
2156 -1576.0000000000
2183 -1575.0000000000
2190 -1574.0000000000
2209 -1572.0000000000
2219 -1571.0000000000
2221 -1570.0000000000
2233 -1568.0000000000
2267 -1566.0000000000
2283 -1564.0000000000
2290 -1562.0000000000
2321 -1561.0000000000
2325 -1560.0000000000
2351 -1559.0000000000
2365 -1557.0000000000
2408 -1555.0000000000
2410 -1554.0000000000
2447 -1553.0000000000
2449 -1551.0000000000
2469 -1550.0000000000
2482 -1548.0000000000
2530 -1547.0000000000
2534 -1546.0000000000
2551 -1544.0000000000
2563 -1542.0000000000
2612 -1541.0000000000
2617 -1540.0000000000
2624 -1537.0000000000
2642 -1536.0000000000
2664 -1535.0000000000
2685 -1534.0000000000
2692 -1533.0000000000
2702 -1532.0000000000
2717 -1531.0000000000
2723 -1530.0000000000
2741 -1529.0000000000
