evaluations raw_y
1 -293.0000000000
3 -277.0000000000
11 -268.0000000000
14 -259.0000000000
57 -249.0000000000
74 -247.0000000000
78 -243.0000000000
84 -239.0000000000
85 -238.0000000000
88 -237.0000000000
93 -236.0000000000
102 -235.0000000000
109 -230.0000000000
113 -228.0000000000
122 -227.0000000000
133 -220.0000000000
173 -218.0000000000
193 -215.0000000000
195 -214.0000000000
205 -213.0000000000
218 -210.0000000000
221 -208.0000000000
233 -206.0000000000
251 -204.0000000000
257 -203.0000000000
273 -202.0000000000
274 -201.0000000000
286 -197.0000000000
304 -195.0000000000
307 -194.0000000000
335 -193.0000000000
344 -191.0000000000
374 -188.0000000000
381 -187.0000000000
386 -186.0000000000
397 -185.0000000000
406 -183.0000000000
422 -181.0000000000
461 -180.0000000000
481 -179.0000000000
488 -178.0000000000
504 -177.0000000000
528 -176.0000000000
545 -175.0000000000
584 -172.0000000000
627 -171.0000000000
668 -168.0000000000
704 -167.0000000000
728 -165.0000000000
761 -164.0000000000
781 -163.0000000000
791 -162.0000000000
804 -160.0000000000
855 -156.0000000000
891 -155.0000000000
893 -154.0000000000
901 -152.0000000000
917 -150.0000000000
957 -149.0000000000
968 -148.0000000000
987 -145.0000000000
1003 -144.0000000000
1021 -143.0000000000
1044 -142.0000000000
1069 -141.0000000000
1098 -140.0000000000
1122 -139.0000000000
1141 -137.0000000000
1169 -135.0000000000
1199 -134.0000000000
1223 -132.0000000000
1232 -131.0000000000
1252 -130.0000000000
1271 -129.0000000000
1276 -128.0000000000
1301 -127.0000000000
1319 -126.0000000000
1372 -125.0000000000
1373 -124.0000000000
1396 -123.0000000000
1398 -122.0000000000
1411 -120.0000000000
1441 -119.0000000000
1454 -117.0000000000
1485 -116.0000000000
1486 -115.0000000000
1491 -114.0000000000
1502 -113.0000000000
1504 -111.0000000000
1564 -110.0000000000
1584 -108.0000000000
1598 -107.0000000000
1604 -105.0000000000
1627 -104.0000000000
1652 -102.0000000000
1678 -100.0000000000
1723 -99.0000000000
1734 -97.0000000000
1758 -95.0000000000
1767 -92.0000000000
1821 -91.0000000000
1823 -90.0000000000
1853 -89.0000000000
1864 -88.0000000000
1870 -87.0000000000
1884 -86.0000000000
1936 -85.0000000000
1968 -84.0000000000
1979 -83.0000000000
1987 -82.0000000000
2029 -80.0000000000
2046 -79.0000000000
2086 -78.0000000000
2107 -77.0000000000
2108 -76.0000000000
2120 -75.0000000000
2181 -74.0000000000
2207 -73.0000000000
2216 -71.0000000000
2234 -70.0000000000
2257 -68.0000000000
2290 -67.0000000000
2318 -66.0000000000
2348 -64.0000000000
2387 -63.0000000000
2403 -62.0000000000
2423 -61.0000000000
2447 -60.0000000000
2483 -59.0000000000
2530 -58.0000000000
2590 -57.0000000000
2595 -56.0000000000
2629 -55.0000000000
2648 -53.0000000000
2661 -52.0000000000
2665 -51.0000000000
2705 -50.0000000000
2717 -49.0000000000
2807 -48.0000000000
2814 -46.0000000000
2871 -45.0000000000
2882 -44.0000000000
2918 -43.0000000000
2986 -42.0000000000
3005 -41.0000000000
3041 -40.0000000000
3065 -39.0000000000
3146 -38.0000000000
3181 -37.0000000000
3205 -36.0000000000
3256 -35.0000000000
3310 -34.0000000000
3355 -33.0000000000
3375 -32.0000000000
3411 -31.0000000000
3478 -30.0000000000
3496 -29.0000000000
3547 -28.0000000000
3592 -27.0000000000
3645 -26.0000000000
3669 -25.0000000000
3711 -24.0000000000
3732 -23.0000000000
3778 -22.0000000000
3806 -21.0000000000
3837 -20.0000000000
3862 -18.0000000000
3903 -16.0000000000
3934 -15.0000000000
4006 -14.0000000000
4049 -13.0000000000
4103 -12.0000000000
4240 -11.0000000000
4271 -10.0000000000
4364 -9.0000000000
4405 -8.0000000000
4457 -7.0000000000
4472 -6.0000000000
4545 -5.0000000000
4608 -4.0000000000
4678 -3.0000000000
4721 -2.0000000000
4781 -1.0000000000
4784 494.0000000000
4879 497.0000000000
4905 506.0000000000
5051 507.0000000000
5157 513.0000000000
5297 516.0000000000
6460 519.0000000000
6547 520.0000000000
6577 526.0000000000
7921 530.0000000000
8074 537.0000000000
10000 -2.0000000000
