evaluations raw_y
1 707999.2233734063
6 709818.7977172182
15 713449.9719217530
30 725905.4992998034
63 727858.4584287980
65 738985.1626147362
82 739199.3003302886
87 746822.7466573626
100 753440.2581046066
113 754827.9876583272
114 756216.5931523548
124 771381.2787385921
153 771491.3865839927
156 777516.0931072286
162 782056.8575501746
165 782173.9549171752
171 784681.3444352052
193 792244.0494678851
205 801703.9017884682
226 802017.4988506522
241 809833.5616260933
270 812109.5886316287
289 815885.2401933282
309 816683.3633297074
322 818014.1891018455
329 823831.8645209189
344 823934.4924268178
352 823957.5600724322
353 828556.5912749055
394 830425.8750180354
396 833275.4970805916
403 834025.2161337108
428 835554.3032991297
445 838248.1009756381
466 839360.0845932583
480 839731.8945466512
492 839827.8555696561
501 840078.9208078572
505 841426.1109699749
514 841548.4478161077
526 841751.5960104264
528 842831.0436630171
531 842909.5200612602
547 843877.4989388461
570 844059.3485288982
580 845077.3797837198
607 845459.1831365604
621 846595.6570964017
629 846812.0503454960
645 847957.8101043765
666 848560.5616691579
684 848825.8602654956
688 849527.2604080937
691 850242.7357591500
701 851702.3119085750
706 853773.0911011390
754 854572.1472267533
770 854870.5741071831
776 855249.8936540678
799 855490.7111393624
804 855735.3793881785
805 856336.8183699609
814 856432.8605915861
821 856509.1246529153
824 856977.0309447841
831 858042.8721195186
858 858143.4153280937
861 858839.8297558696
862 858858.0781333467
882 859091.3909491891
888 859259.8337213930
891 859277.7241369173
896 859282.0403364800
898 859910.0274749831
904 860831.1905631069
921 860993.7977877014
925 861385.4894651016
937 861649.1875175878
944 862732.2301647896
972 863284.0654178638
985 863863.2251674203
1000 864143.9194428861
1006 864262.0649167409
1014 864839.3063790842
1022 866588.4724428804
1051 866883.6847585370
1065 866945.0185757939
1068 867369.9368789156
1074 868257.5473059566
1092 869137.1140617009
1101 870127.3352046777
1113 870404.5797996254
1114 870758.1182258937
1121 871177.8170763295
1123 871277.8423781152
1128 871387.1868701262
1149 871598.9145413871
1161 872312.9902082373
1178 872337.1822363565
1181 872828.7683890844
1187 873404.0325385496
1202 873800.4853585929
1209 874083.8802385055
1232 875401.0682157894
1268 875629.6442402668
1270 877195.7952503485
1296 877844.2289821377
1304 878250.4887573710
1311 879357.4611153252
1347 879940.9358360453
1350 880037.1214865809
1356 880111.9217724614
1363 881015.5792205898
1383 881166.6698410613
1386 881831.9709940103
1405 882081.5152112881
1415 882561.6847573139
1421 882603.0417877102
1428 882709.6928608539
1433 883271.9158351234
1449 883282.7052117882
1451 884086.6681764869
1453 884290.8778650202
1466 884614.6725923332
1469 886116.5228848329
1492 886524.2213942013
1502 886699.8418000930
1509 886966.8202227580
1522 890505.6191219979
1567 892069.7039048753
1596 892315.0409665772
1598 892322.7239904628
1601 892853.1432316260
1627 893022.0131568882
1633 893822.5306546952
1634 894371.4735954065
1648 894625.1752808564
1661 894869.2433160112
1664 896537.4963033110
1690 896878.1302745643
1694 896991.4647942326
1695 897020.5129317925
1702 898899.5701149076
1722 899429.4912670318
1760 899560.4476453671
1764 900020.6586556422
1779 900164.7481672523
1787 901800.9664252135
1810 902118.3970853389
1822 902428.5249774108
1824 903425.1549624291
1843 903606.5311300179
1846 903885.3709226392
1883 904289.0012845821
1899 904491.1352470375
1906 904745.2491781206
1913 905157.4196282488
1915 905374.3596993599
1921 906788.5143987153
1941 907118.5300886421
1955 907227.2547716314
1958 907288.3345815669
1975 908013.6941587664
1985 909126.2644573709
2013 909456.1411901676
2034 909476.4075262623
2037 909770.3890193105
2047 910177.1108275433
2050 910297.5194574236
2061 911958.3967898581
2081 912607.1316604253
2101 912849.1473968807
2102 914624.5237512004
2123 915368.5069873101
2145 915409.1477399817
2148 915557.5770627017
2151 916146.2033237482
2164 916900.3370109692
2166 917262.2471936333
2172 917351.7732647402
2189 917418.3154091263
2200 918426.3118048597
2222 918586.4348611775
2225 919472.6675550333
2231 919787.8004831169
2248 920138.5773005860
2260 920336.3872933974
2271 921128.5804290074
2281 922136.3899190029
2303 922934.8003180056
2306 922961.6124755164
2331 923326.4754205630
2341 924609.5366578273
2371 925047.8889074506
2384 925553.3572213229
2386 926397.1783452526
2406 926981.2311093698
2411 927156.6425403892
2428 928170.3428212318
2440 928416.1066239546
2449 928528.3988965861
2456 928666.0075843498
2463 929006.4680190269
2472 929213.6435136594
2482 930302.6199493400
2507 930479.1559399567
2517 930805.6743791680
2518 933356.7468110496
2563 933453.8442661084
2570 933709.4754568418
2580 934173.9486565233
2603 934389.5472145526
2606 934657.4393171383
2610 935095.2972769694
2625 935822.5989266455
2647 936051.7513110645
2657 936212.8256864095
2662 936565.2577557339
2665 936749.3742191030
2668 936918.6389193154
2672 937153.6629366329
2683 937690.4886081330
2684 938260.9614159260
2701 939213.7267563464
2711 940167.8106969029
2725 941351.7842660015
2742 941526.1127404255
