evaluations raw_y
1 -299.0000000000
2 -293.0000000000
3 -267.0000000000
22 -264.0000000000
41 -250.0000000000
60 -247.0000000000
82 -246.0000000000
84 -240.0000000000
103 -237.0000000000
106 -230.0000000000
128 -226.0000000000
144 -224.0000000000
158 -221.0000000000
162 -213.0000000000
201 -208.0000000000
210 -206.0000000000
212 -205.0000000000
228 -202.0000000000
264 -201.0000000000
266 -196.0000000000
289 -194.0000000000
305 -193.0000000000
322 -192.0000000000
336 -191.0000000000
341 -189.0000000000
351 -187.0000000000
362 -186.0000000000
376 -185.0000000000
399 -184.0000000000
401 -183.0000000000
409 -180.0000000000
425 -179.0000000000
442 -177.0000000000
443 -176.0000000000
462 -175.0000000000
464 -173.0000000000
486 -172.0000000000
523 -170.0000000000
539 -169.0000000000
570 -168.0000000000
592 -166.0000000000
603 -165.0000000000
624 -162.0000000000
659 -160.0000000000
663 -159.0000000000
693 -157.0000000000
721 -156.0000000000
727 -154.0000000000
761 -152.0000000000
783 -151.0000000000
803 -150.0000000000
806 -148.0000000000
848 -147.0000000000
859 -145.0000000000
872 -143.0000000000
889 -141.0000000000
914 -140.0000000000
941 -137.0000000000
976 -136.0000000000
985 -135.0000000000
993 -134.0000000000
1019 -133.0000000000
1042 -132.0000000000
1048 -131.0000000000
1068 -129.0000000000
1106 -128.0000000000
1123 -126.0000000000
1164 -125.0000000000
1192 -124.0000000000
1195 -123.0000000000
1215 -122.0000000000
1232 -120.0000000000
1255 -118.0000000000
1304 -117.0000000000
1332 -115.0000000000
1343 -113.0000000000
1370 -112.0000000000
1430 -111.0000000000
1453 -110.0000000000
1499 -108.0000000000
1541 -107.0000000000
1564 -106.0000000000
1577 -105.0000000000
1601 -104.0000000000
1604 -103.0000000000
1647 -102.0000000000
1665 -101.0000000000
1685 -100.0000000000
1710 -98.0000000000
1756 -97.0000000000
1777 -96.0000000000
1789 -95.0000000000
1808 -93.0000000000
1821 -92.0000000000
1869 -91.0000000000
1901 -90.0000000000
1945 -89.0000000000
1953 -88.0000000000
1976 -87.0000000000
1981 -86.0000000000
2007 -85.0000000000
2022 -83.0000000000
2076 -82.0000000000
2105 -80.0000000000
2150 -79.0000000000
2171 -78.0000000000
2181 -77.0000000000
2235 -75.0000000000
2268 -74.0000000000
2271 -73.0000000000
2305 -72.0000000000
2323 -71.0000000000
2343 -70.0000000000
2366 -69.0000000000
2381 -68.0000000000
2426 -67.0000000000
2452 -66.0000000000
2516 -65.0000000000
2526 -64.0000000000
2565 -63.0000000000
2575 -62.0000000000
2615 -61.0000000000
2646 -60.0000000000
2680 -59.0000000000
2694 -58.0000000000
2711 -57.0000000000
2727 -56.0000000000
2754 -55.0000000000
2802 -54.0000000000
2835 -53.0000000000
2885 -52.0000000000
2893 -51.0000000000
2928 -50.0000000000
2974 -49.0000000000
3045 -48.0000000000
3075 -47.0000000000
3127 -46.0000000000
3162 -45.0000000000
3201 -44.0000000000
3256 -43.0000000000
3283 -42.0000000000
3324 -41.0000000000
3372 -40.0000000000
3422 -39.0000000000
3490 -38.0000000000
3534 -37.0000000000
3563 -36.0000000000
3583 -35.0000000000
3605 -34.0000000000
3625 -33.0000000000
3653 -32.0000000000
3677 -31.0000000000
3757 -30.0000000000
3807 -29.0000000000
3831 -28.0000000000
3854 -27.0000000000
3890 -26.0000000000
3907 -25.0000000000
3980 -24.0000000000
4057 -23.0000000000
4095 -22.0000000000
4103 -21.0000000000
4169 -19.0000000000
4227 -18.0000000000
4338 -17.0000000000
4518 -16.0000000000
4619 -15.0000000000
4657 -14.0000000000
4739 -13.0000000000
4749 -12.0000000000
4839 -11.0000000000
4866 -10.0000000000
4897 -9.0000000000
4990 -8.0000000000
5063 -7.0000000000
5125 -6.0000000000
5210 -5.0000000000
5323 -4.0000000000
5368 -3.0000000000
5543 -2.0000000000
5636 -1.0000000000
5644 462.0000000000
5748 464.0000000000
5868 466.0000000000
5877 480.0000000000
5913 483.0000000000
6021 495.0000000000
6157 504.0000000000
6392 511.0000000000
6403 517.0000000000
6500 520.0000000000
6634 521.0000000000
6702 528.0000000000
7109 529.0000000000
8406 533.0000000000
9821 535.0000000000
10838 536.0000000000
10944 541.0000000000
10945 544.0000000000
13114 545.0000000000
24035 546.0000000000
34275 549.0000000000
37240 553.0000000000
41301 558.0000000000
100000 -1.0000000000
