evaluations raw_y
1 1.4196479273
4 1.5422578655
35 1.5537600994
38 1.5913430936
41 1.5954052329
44 1.7793594306
50 1.7946877243
72 1.8670649739
90 1.9516003123
93 2.0955574183
103 2.1132713440
133 2.1987686895
149 2.2104332449
150 2.2831050228
166 2.3041474654
189 2.4154589372
203 2.5588536336
286 2.6680896478
321 2.7262813522
324 2.8441410694
385 2.9036004646
387 2.9446407538
402 3.0229746070
412 3.1289111389
481 3.2679738562
512 3.3467202142
1039 3.6496350365
1358 3.6603221083
17682 3.6818851252
18446 3.7821482602
18541 3.7936267071
18558 3.8284839204
100000 3.0674846626
