evaluations raw_y
1 -1731.0000000000
2 -1224.0000000000
7 -1195.0000000000
10 -1079.0000000000
13 -1021.0000000000
16 -972.0000000000
17 -923.0000000000
27 -788.0000000000
32 -778.0000000000
33 -739.0000000000
37 -710.0000000000
48 -623.0000000000
60 -622.0000000000
62 -506.0000000000
80 -477.0000000000
86 -467.0000000000
89 -428.0000000000
91 -419.0000000000
111 -409.0000000000
113 -361.0000000000
133 -351.0000000000
134 -341.0000000000
138 -332.0000000000
145 -293.0000000000
161 -264.0000000000
182 -235.0000000000
185 -226.0000000000
205 -206.0000000000
206 -197.0000000000
213 -187.0000000000
233 -158.0000000000
240 -139.0000000000
253 -138.0000000000
260 -110.0000000000
267 -52.0000000000
301 -42.0000000000
321 -4.0000000000
364 5.0000000000
500 6.0000000000
534 7.0000000000
741 8.0000000000
770 9.0000000000
100000 -98.0000000000
