evaluations raw_y
1 54.0000000000
6 56.0000000000
7 57.0000000000
10 59.0000000000
15 64.0000000000
19 66.0000000000
33 68.0000000000
41 70.0000000000
48 72.0000000000
55 73.0000000000
59 77.0000000000
78 78.0000000000
84 79.0000000000
88 80.0000000000
125 81.0000000000
139 82.0000000000
153 83.0000000000
169 84.0000000000
180 85.0000000000
198 88.0000000000
231 89.0000000000
234 90.0000000000
255 92.0000000000
295 93.0000000000
316 95.0000000000
363 96.0000000000
372 97.0000000000
521 98.0000000000
571 99.0000000000
625 100.0000000000
100000 100.0000000000
