evaluations raw_y
1 5.8000000000
2 6.0000000000
3 7.6000000000
6 8.6000000000
10 9.8000000000
35 10.4000000000
53 10.6000000000
66 10.8000000000
71 11.0000000000
76 11.2000000000
87 11.4000000000
123 11.6000000000
145 11.8000000000
158 12.0000000000
166 12.2000000000
177 12.4000000000
183 12.6000000000
190 12.8000000000
215 13.0000000000
246 13.2000000000
257 13.4000000000
265 13.6000000000
281 13.8000000000
326 14.0000000000
334 14.2000000000
345 14.4000000000
379 14.6000000000
452 14.8000000000
495 15.0000000000
515 15.2000000000
542 15.4000000000
622 15.6000000000
731 15.8000000000
737 16.0000000000
819 16.2000000000
897 16.4000000000
100000 15.8000000000
