evaluations raw_y
1 -0.5207274449
3 -0.4839093214
6 -0.4641387948
10 -0.4609606862
12 -0.4551733193
13 -0.4532379288
23 -0.4435246105
29 -0.4433883830
34 -0.4251928506
48 -0.4207131016
60 -0.4172027638
63 -0.4160207534
68 -0.4106693607
75 -0.4058245060
93 -0.4032624308
98 -0.4010511185
100 -0.3991056255
103 -0.3984890433
109 -0.3977480259
123 -0.3977396408
145 -0.3906217849
157 -0.3898199439
158 -0.3770040656
173 -0.3728721750
175 -0.3700347021
182 -0.3686835944
184 -0.3597305187
186 -0.3582893634
195 -0.3559816129
199 -0.3477155253
219 -0.3470572707
236 -0.3462554297
269 -0.3459313914
277 -0.3404056794
293 -0.3403430034
325 -0.3379803826
326 -0.3352153100
340 -0.3315287512
361 -0.3280659925
404 -0.3268735624
453 -0.3245658119
528 -0.3239959280
549 -0.3222850325
581 -0.3216507879
595 -0.3166967993
730 -0.3159345016
746 -0.3149334612
4223 -0.3136074633
10154 -0.3120188619
10366 -0.3118924564
10587 -0.3091348958
10626 -0.3065728206
30398 -0.3052126230
30444 -0.2998534272
38987 -0.2969051701
40948 -0.2950664852
100000 -0.2950664852
