evaluations raw_y
1 1.0000000000
2 2.0000000000
26 4.0000000000
55 6.0000000000
170 8.0000000000
195 9.0000000000
261 11.0000000000
277 12.0000000000
333 13.0000000000
349 14.0000000000
438 15.0000000000
638 16.0000000000
809 19.0000000000
934 21.0000000000
1086 23.0000000000
1150 29.0000000000
1317 31.0000000000
1828 32.0000000000
1992 33.0000000000
2074 35.0000000000
2320 38.0000000000
2435 39.0000000000
2632 42.0000000000
2946 43.0000000000
3078 44.0000000000
3198 45.0000000000
3268 47.0000000000
3286 48.0000000000
3319 53.0000000000
3887 54.0000000000
3950 55.0000000000
4123 56.0000000000
4243 57.0000000000
4457 59.0000000000
4966 60.0000000000
5220 61.0000000000
5227 62.0000000000
5240 63.0000000000
5304 64.0000000000
5311 66.0000000000
5337 67.0000000000
5494 68.0000000000
5527 69.0000000000
5542 72.0000000000
5686 73.0000000000
6061 76.0000000000
6066 80.0000000000
6078 81.0000000000
6089 82.0000000000
6128 87.0000000000
6142 89.0000000000
6378 91.0000000000
6597 95.0000000000
6645 96.0000000000
6656 97.0000000000
7043 98.0000000000
7074 100.0000000000
100000 67.0000000000
