evaluations raw_y
1 2482.0000000000
5 2563.0000000000
6 2723.0000000000
7 2844.0000000000
16 3166.0000000000
27 3343.0000000000
35 3441.0000000000
41 3453.0000000000
49 3568.0000000000
51 3667.0000000000
64 3728.0000000000
68 3779.0000000000
86 3782.0000000000
96 3829.0000000000
114 3837.0000000000
115 3865.0000000000
126 3915.0000000000
134 3930.0000000000
156 4005.0000000000
176 4057.0000000000
191 4132.0000000000
198 4236.0000000000
214 4315.0000000000
232 4323.0000000000
234 4353.0000000000
243 4373.0000000000
255 4397.0000000000
297 4398.0000000000
314 4443.0000000000
316 4518.0000000000
318 4544.0000000000
329 4607.0000000000
340 4708.0000000000
361 4711.0000000000
363 4794.0000000000
372 4874.0000000000
382 4924.0000000000
412 4956.0000000000
549 4964.0000000000
571 4998.0000000000
596 5009.0000000000
750 5028.0000000000
861 5050.0000000000
100000 5050.0000000000
