evaluations raw_y
1 111.0000000000
2 184.0000000000
3 267.0000000000
4 338.0000000000
5 379.0000000000
6 453.0000000000
7 494.0000000000
8 534.0000000000
9 566.0000000000
10 585.0000000000
100000 -1.0000000000
evaluations raw_y
1 117.0000000000
2 212.0000000000
3 286.0000000000
4 367.0000000000
5 421.0000000000
6 475.0000000000
7 505.0000000000
8 560.0000000000
9 576.0000000000
10 603.0000000000
100000 -1.0000000000
evaluations raw_y
1 142.0000000000
2 208.0000000000
3 254.0000000000
4 358.0000000000
5 428.0000000000
6 462.0000000000
7 503.0000000000
8 537.0000000000
9 577.0000000000
10 602.0000000000
100000 -1.0000000000
evaluations raw_y
1 111.0000000000
2 191.0000000000
3 262.0000000000
4 360.0000000000
5 420.0000000000
6 461.0000000000
7 502.0000000000
8 547.0000000000
9 555.0000000000
10 578.0000000000
100000 -1.0000000000
evaluations raw_y
1 108.0000000000
2 222.0000000000
3 318.0000000000
4 410.0000000000
5 475.0000000000
6 516.0000000000
7 545.0000000000
8 576.0000000000
9 592.0000000000
10 611.0000000000
100000 -1.0000000000
evaluations raw_y
1 153.0000000000
2 229.0000000000
3 299.0000000000
4 356.0000000000
5 411.0000000000
6 473.0000000000
7 537.0000000000
8 569.0000000000
9 597.0000000000
10 608.0000000000
100000 -1.0000000000
evaluations raw_y
1 115.0000000000
2 219.0000000000
3 305.0000000000
4 366.0000000000
5 421.0000000000
6 462.0000000000
7 491.0000000000
8 510.0000000000
9 559.0000000000
10 598.0000000000
100000 -1.0000000000
evaluations raw_y
1 76.0000000000
2 198.0000000000
3 252.0000000000
4 352.0000000000
5 410.0000000000
6 453.0000000000
7 485.0000000000
8 541.0000000000
9 585.0000000000
10 612.0000000000
100000 -1.0000000000
evaluations raw_y
1 113.0000000000
2 240.0000000000
3 316.0000000000
4 357.0000000000
5 410.0000000000
6 448.0000000000
7 494.0000000000
8 536.0000000000
9 557.0000000000
10 574.0000000000
100000 -1.0000000000
evaluations raw_y
1 119.0000000000
2 213.0000000000
3 257.0000000000
4 350.0000000000
5 445.0000000000
6 476.0000000000
7 505.0000000000
8 517.0000000000
9 552.0000000000
10 560.0000000000
100000 -1.0000000000
evaluations raw_y
1 113.0000000000
2 181.0000000000
3 284.0000000000
4 363.0000000000
5 443.0000000000
6 476.0000000000
7 528.0000000000
8 560.0000000000
9 587.0000000000
10 609.0000000000
100000 -1.0000000000
evaluations raw_y
1 142.0000000000
2 273.0000000000
3 317.0000000000
4 370.0000000000
5 422.0000000000
6 462.0000000000
8 501.0000000000
9 545.0000000000
10 551.0000000000
11 592.0000000000
100000 -1.0000000000
evaluations raw_y
1 57.0000000000
2 176.0000000000
3 255.0000000000
4 322.0000000000
5 351.0000000000
6 427.0000000000
7 473.0000000000
8 512.0000000000
9 551.0000000000
10 572.0000000000
100000 -1.0000000000
evaluations raw_y
1 105.0000000000
2 236.0000000000
3 321.0000000000
4 362.0000000000
5 413.0000000000
6 457.0000000000
7 497.0000000000
8 547.0000000000
9 575.0000000000
10 603.0000000000
100000 -1.0000000000
evaluations raw_y
1 125.0000000000
2 203.0000000000
3 288.0000000000
4 361.0000000000
5 409.0000000000
6 474.0000000000
7 538.0000000000
8 564.0000000000
9 607.0000000000
10 634.0000000000
100000 -1.0000000000
evaluations raw_y
1 95.0000000000
2 195.0000000000
3 259.0000000000
4 320.0000000000
5 392.0000000000
6 454.0000000000
7 493.0000000000
8 531.0000000000
9 565.0000000000
10 592.0000000000
100000 -1.0000000000
evaluations raw_y
1 119.0000000000
2 226.0000000000
3 316.0000000000
4 386.0000000000
5 417.0000000000
6 456.0000000000
7 490.0000000000
8 544.0000000000
9 578.0000000000
10 601.0000000000
100000 -1.0000000000
evaluations raw_y
1 110.0000000000
2 232.0000000000
3 342.0000000000
4 440.0000000000
5 477.0000000000
6 527.0000000000
7 561.0000000000
8 581.0000000000
9 613.0000000000
10 637.0000000000
100000 -1.0000000000
evaluations raw_y
1 110.0000000000
2 233.0000000000
3 332.0000000000
4 383.0000000000
5 434.0000000000
6 466.0000000000
7 510.0000000000
8 540.0000000000
9 573.0000000000
10 588.0000000000
100000 -1.0000000000
evaluations raw_y
1 105.0000000000
2 233.0000000000
3 316.0000000000
4 364.0000000000
5 417.0000000000
6 444.0000000000
7 491.0000000000
8 531.0000000000
9 564.0000000000
10 597.0000000000
100000 -1.0000000000
evaluations raw_y
1 141.0000000000
2 234.0000000000
3 343.0000000000
4 389.0000000000
5 435.0000000000
6 486.0000000000
7 505.0000000000
8 521.0000000000
9 546.0000000000
10 558.0000000000
100000 -1.0000000000
evaluations raw_y
1 135.0000000000
2 242.0000000000
3 318.0000000000
4 374.0000000000
5 405.0000000000
6 449.0000000000
7 473.0000000000
8 525.0000000000
9 549.0000000000
10 553.0000000000
100000 -1.0000000000
evaluations raw_y
1 102.0000000000
2 179.0000000000
3 241.0000000000
4 296.0000000000
5 354.0000000000
6 393.0000000000
7 457.0000000000
8 494.0000000000
9 512.0000000000
10 546.0000000000
100000 -1.0000000000
evaluations raw_y
1 142.0000000000
2 194.0000000000
3 268.0000000000
4 347.0000000000
5 411.0000000000
6 460.0000000000
7 506.0000000000
8 531.0000000000
9 545.0000000000
10 573.0000000000
100000 -1.0000000000
evaluations raw_y
1 144.0000000000
2 214.0000000000
3 266.0000000000
4 338.0000000000
5 375.0000000000
6 433.0000000000
7 480.0000000000
8 516.0000000000
9 562.0000000000
10 589.0000000000
100000 -1.0000000000
evaluations raw_y
1 106.0000000000
2 235.0000000000
3 308.0000000000
4 367.0000000000
5 403.0000000000
6 457.0000000000
7 489.0000000000
8 540.0000000000
9 564.0000000000
10 592.0000000000
100000 -1.0000000000
evaluations raw_y
1 117.0000000000
2 210.0000000000
3 321.0000000000
4 375.0000000000
5 450.0000000000
6 493.0000000000
7 520.0000000000
8 563.0000000000
9 592.0000000000
10 608.0000000000
100000 -1.0000000000
evaluations raw_y
1 142.0000000000
2 229.0000000000
3 325.0000000000
4 376.0000000000
5 435.0000000000
6 493.0000000000
7 537.0000000000
8 570.0000000000
9 588.0000000000
10 599.0000000000
100000 -1.0000000000
evaluations raw_y
1 80.0000000000
2 185.0000000000
3 270.0000000000
4 329.0000000000
5 391.0000000000
6 414.0000000000
7 447.0000000000
8 478.0000000000
9 519.0000000000
10 536.0000000000
100000 -1.0000000000
evaluations raw_y
1 112.0000000000
2 200.0000000000
3 292.0000000000
4 357.0000000000
5 418.0000000000
6 475.0000000000
7 507.0000000000
8 533.0000000000
9 563.0000000000
10 588.0000000000
100000 -1.0000000000
